candidate,period,weights,start_date,end_date,n_observations,total_return,cagr,annualized_volatility,sharpe,max_drawdown,mdd_peak_date,mdd_trough_date
QQQ,dot_com_2000_2002,QQQ:1.00,2000-03-01,2002-12-31,712,-0.7735657203151043,-0.4079477602445868,0.5133430498444579,-0.762635529431362,-0.8296391886597256,2000-03-27,2002-10-09
QQQ,gfc_2008_2009,QQQ:1.00,2008-01-02,2009-12-31,505,-0.08412817246813364,-0.04307459332649988,0.33632058791186825,0.013339633859921074,-0.4939733542216749,2008-01-03,2008-11-20
QQQ,rate_shock_2022,QQQ:1.00,2022-01-03,2022-12-30,251,-0.33219884339599937,-0.33536567943064743,0.32150242891336384,-1.0697916823904725,-0.34827972532273754,2022-01-03,2022-11-03
SPY,dot_com_2000_2002,SPY:1.00,2000-03-01,2002-12-31,712,-0.3373932360404722,-0.13518850463867005,0.2397374172911956,-0.477239569109056,-0.4751585463159551,2000-03-24,2002-10-09
SPY,gfc_2008_2009,SPY:1.00,2008-01-02,2009-12-31,505,-0.19434019207140052,-0.1026139842846987,0.34783921554808395,-0.14961553329538546,-0.5187372672124287,2008-01-02,2009-03-09
SPY,rate_shock_2022,SPY:1.00,2022-01-03,2022-12-30,251,-0.1864641824947154,-0.188438275804635,0.24242971643539205,-0.7095874739769358,-0.24496391141213647,2022-01-03,2022-10-12
IEF,dot_com_2000_2002,IEF:1.00,2002-07-30,2002-12-31,108,0.07573948654084295,0.1890536265514069,0.07978038213922858,2.175573253831127,-0.04034771761560174,2002-10-09,2002-10-22
IEF,gfc_2008_2009,IEF:1.00,2008-01-02,2009-12-31,505,0.09363539584209435,0.04586654546097124,0.09647678486723141,0.5478027887261983,-0.10401401034625024,2008-12-30,2009-06-10
IEF,rate_shock_2022,IEF:1.00,2022-01-03,2022-12-30,251,-0.14358311692010917,-0.14514445475250792,0.10196111462753395,-1.5669927985528866,-0.17410825449398803,2022-01-03,2022-10-20
TLT,dot_com_2000_2002,TLT:1.00,2002-07-30,2002-12-31,108,0.11082503115133968,0.2830992065039091,0.12584321223172254,2.0121839666565835,-0.06681622330496284,2002-09-24,2002-10-22
TLT,gfc_2008_2009,TLT:1.00,2008-01-02,2009-12-31,505,0.032547895222130085,0.016177123679157912,0.17900753521866639,0.21832239353019475,-0.2658535908414298,2008-12-30,2009-06-10
TLT,rate_shock_2022,TLT:1.00,2022-01-03,2022-12-30,251,-0.2938079790493655,-0.2966942036957315,0.20348784364057526,-1.7448817951779994,-0.3493310416310803,2022-01-03,2022-10-24
GLD,gfc_2008_2009,GLD:1.00,2008-01-02,2009-12-31,505,0.2645533441759562,0.12479519088350899,0.27406421136456505,0.6160484723321555,-0.2941413603663834,2008-03-17,2008-11-12
GLD,rate_shock_2022,GLD:1.00,2022-01-03,2022-12-30,251,0.007782317735067323,0.007874297603496894,0.15280613306780436,0.025099022034848387,-0.21032844203783363,2022-03-08,2022-09-26
