stress,candidate,grid,weights,window_start,window_end,peak_date,trough_date,daily_mdd,recovery_date,recovery_days,QQQ_return_contribution,SPY_return_contribution,H001_return_contribution,IEF_return_contribution,total_return_contribution
2020_covid,A01_QQQ70_H00130_IEF00,I003-A,QQQ70/H00130,2020-02-01,2020-04-30,2020-02-19,2020-03-16,-0.25242484554362465,2020-06-03,79,-0.18864788974477187,0.0,-0.0637769557988528,0.0,-0.25242484554362465
2020_covid,A02_QQQ60_H00130_IEF10,I003-A,QQQ60/H00130/IEF10,2020-02-01,2020-04-30,2020-02-19,2020-03-19,-0.21854337194467433,2020-05-28,70,-0.1307568629901366,0.0,-0.09504744402835105,0.007260935073813296,-0.21854337194467438
2020_covid,A03_P07_QQQ50_H00130_IEF20,I003-A,QQQ50/H00130/IEF20,2020-02-01,2020-04-30,2020-02-19,2020-03-19,-0.19096136348697368,2020-05-20,62,-0.10981035971854042,0.0,-0.09578566307331848,0.01463465930488497,-0.19096136348697393
2020_covid,A04_QQQ40_H00130_IEF30,I003-A,QQQ40/H00130/IEF30,2020-02-01,2020-04-30,2020-02-19,2020-03-19,-0.1629475507398095,2020-05-18,60,-0.08853593290302186,0.0,-0.0965354391501339,0.022123821313346365,-0.1629475507398094
2020_covid,B01_SPY46_QQQ34_H00120_IEF00,I003-B,SPY46/QQQ34/H00120,2020-02-01,2020-04-30,2020-02-19,2020-03-23,-0.2729484112037922,2020-06-16,85,-0.0823045506868479,-0.13282379107508366,-0.057820069441860744,0.0,-0.2729484112037923
2020_covid,B02_P08_SPY40_QQQ30_H00120_IEF10,I003-B,SPY40/QQQ30/H00120/IEF10,2020-02-01,2020-04-30,2020-02-19,2020-03-23,-0.23428470583478467,2020-06-05,74,-0.0729328500454619,-0.11599386788181454,-0.05806783150587886,0.012709843598370449,-0.23428470583478486
2020_covid,B03_SPY34_QQQ26_H00120_IEF20,I003-B,SPY34/QQQ26/H00120/IEF20,2020-02-01,2020-04-30,2020-02-20,2020-03-23,-0.19582418511329158,2020-06-02,71,-0.06255055944872612,-0.09960620750610118,-0.057436109550614164,0.02376869139214985,-0.1958241851132916
2020_covid,B04_SPY29_QQQ21_H00120_IEF30,I003-B,SPY29/QQQ21/H00120/IEF30,2020-02-01,2020-04-30,2020-02-20,2020-03-19,-0.16407731360394917,2020-05-25,67,-0.046224479055791835,-0.07341976813842081,-0.06415176744748421,0.019718701037747616,-0.16407731360394925
2020_covid,C01_P07_QQQ50_SPY00_H00130_IEF20,I003-C,QQQ50/H00130/IEF20,2020-02-01,2020-04-30,2020-02-19,2020-03-19,-0.19096136348697368,2020-05-20,62,-0.10981035971854042,0.0,-0.09578566307331848,0.01463465930488497,-0.19096136348697393
2020_covid,C02_QQQ40_SPY10_H00130_IEF20,I003-C,QQQ40/SPY10/H00130/IEF20,2020-02-01,2020-04-30,2020-02-19,2020-03-19,-0.19482724880446123,2020-05-25,67,-0.08836743846012447,-0.024829234346487664,-0.09635172069248497,0.014721144694635792,-0.1948272488044613
2020_covid,C03_QQQ35_SPY15_H00130_IEF20,I003-C,QQQ35/SPY15/H00130/IEF20,2020-02-01,2020-04-30,2020-02-19,2020-03-19,-0.19677737669994477,2020-05-28,70,-0.07755065641086546,-0.03735422630720401,-0.09663726582973824,0.014764771847862984,-0.19677737669994472
2020_covid,C04_QQQ30_SPY20_H00130_IEF20,I003-C,QQQ30/SPY20/H00130/IEF20,2020-02-01,2020-04-30,2020-02-19,2020-03-19,-0.19873909763604547,2020-06-01,74,-0.06666957119772915,-0.04995367632826991,-0.09692450846405413,0.014808658354007784,-0.19873909763604541
2020_covid,C05_QQQ25_SPY25_H00130_IEF20,I003-C,QQQ25/SPY25/H00130/IEF20,2020-02-01,2020-04-30,2020-02-20,2020-03-19,-0.20079724957542489,2020-06-02,75,-0.05486338913009471,-0.06310225978893029,-0.09593780504317508,0.013106204386775084,-0.200797249575425
