candidate,grid,weights,calendar_year_return_krw,QQQ_weight,IEF_weight,QQQ_2022_return_usd,IEF_2022_return_usd,QQQ_2022_return_krw,IEF_2022_return_krw,QQQ_weighted_krw_impact,IEF_weighted_krw_impact,QQQ_return_contribution,SPY_return_contribution,H001_return_contribution,IEF_return_contribution,total_return_contribution
A01_QQQ70_H00130_IEF00,I003-A,QQQ70/H00130,-0.23150056444186629,0.7,0.0,-0.3321988174801985,-0.14358361992956303,-0.29364045846632636,-0.09413475533858495,-0.20554832092642844,-0.0,-0.20672345554344382,0.0,-0.024777108898422724,0.0,-0.23150056444186654
A02_QQQ60_H00130_IEF10,I003-A,QQQ60/H00130/IEF10,-0.2115081268973832,0.6,0.1,-0.3321988174801985,-0.14358361992956303,-0.29364045846632636,-0.09413475533858495,-0.1761842750797958,-0.009413475533858497,-0.1785620963953879,0.0,-0.024752209899777892,-0.008193820602217843,-0.21150812689738363
A03_P07_QQQ50_H00130_IEF20,I003-A,QQQ50/H00130/IEF20,-0.19137536265546418,0.5,0.2,-0.3321988174801985,-0.14358361992956303,-0.29364045846632636,-0.09413475533858495,-0.14682022923316318,-0.018826951067716993,-0.1499483499433621,0.0,-0.024726977673576622,-0.01670003503852563,-0.19137536265546434
A04_QQQ40_H00130_IEF30,I003-A,QQQ40/H00130/IEF30,-0.1711017414405811,0.4,0.3,-0.3321988174801985,-0.14358361992956303,-0.29364045846632636,-0.09413475533858495,-0.11745618338653055,-0.028240426601575483,-0.12087953788747739,0.0,-0.024701411186400582,-0.025520792366703397,-0.17110174144058138
B01_SPY46_QQQ34_H00120_IEF00,I003-B,SPY46/QQQ34/H00120,-0.1817558661387889,0.34,0.0,-0.3321988174801985,-0.14358361992956303,-0.29364045846632636,-0.09413475533858495,-0.09983775587855097,-0.0,-0.10259032195546966,-0.06271389198101146,-0.016451652202307755,0.0,-0.18175586613878889
B02_P08_SPY40_QQQ30_H00120_IEF10,I003-B,SPY40/QQQ30/H00120/IEF10,-0.17042705115965462,0.3,0.1,-0.3321988174801985,-0.14358361992956303,-0.29364045846632636,-0.09413475533858495,-0.0880921375398979,-0.009413475533858497,-0.09094496283971072,-0.05464430554615601,-0.016443665904875265,-0.008394116868912265,-0.17042705115965426
B03_SPY34_QQQ26_H00120_IEF20,I003-B,SPY34/QQQ26/H00120/IEF20,-0.15918689753773718,0.26,0.2,-0.3321988174801985,-0.14358361992956303,-0.29364045846632636,-0.09413475533858495,-0.07634651920124486,-0.018826951067716993,-0.0791867409068917,-0.04654133956391897,-0.01643570584257007,-0.017023111224356655,-0.1591868975377374
B04_SPY29_QQQ21_H00120_IEF30,I003-B,SPY29/QQQ21/H00120/IEF30,-0.14641470998939488,0.21,0.3,-0.3321988174801985,-0.14358361992956303,-0.29364045846632636,-0.09413475533858495,-0.061664496277928534,-0.028240426601575483,-0.06428806899223817,-0.03979212053762449,-0.016426089665965427,-0.025908430793567267,-0.14641470998939535
C01_P07_QQQ50_SPY00_H00130_IEF20,I003-C,QQQ50/H00130/IEF20,-0.19137536265546418,0.5,0.2,-0.3321988174801985,-0.14358361992956303,-0.29364045846632636,-0.09413475533858495,-0.14682022923316318,-0.018826951067716993,-0.1499483499433621,0.0,-0.024726977673576622,-0.01670003503852563,-0.19137536265546434
C02_QQQ40_SPY10_H00130_IEF20,I003-C,QQQ40/SPY10/H00130/IEF20,-0.17565465530499114,0.4,0.2,-0.3321988174801985,-0.14358361992956303,-0.29364045846632636,-0.09413475533858495,-0.11745618338653055,-0.018826951067716993,-0.12056691002720457,-0.013546137974373802,-0.024702514223379508,-0.01683909308003335,-0.17565465530499122
C03_QQQ35_SPY15_H00130_IEF20,I003-C,QQQ35/SPY15/H00130/IEF20,-0.16772059278795703,0.35,0.2,-0.3321988174801985,-0.14358361992956303,-0.29364045846632636,-0.09413475533858495,-0.10277416046321422,-0.018826951067716993,-0.10576268680327683,-0.02035878707879451,-0.024690200640251056,-0.016908918265634842,-0.16772059278795723
C04_QQQ30_SPY20_H00130_IEF20,I003-C,QQQ30/SPY20/H00130/IEF20,-0.15973719851854606,0.3,0.2,-0.3321988174801985,-0.14358361992956303,-0.29364045846632636,-0.09413475533858495,-0.0880921375398979,-0.018826951067716993,-0.09088258877506074,-0.027197836556893104,-0.0246778324764006,-0.016978940710191445,-0.1597371985185459
C05_QQQ25_SPY25_H00130_IEF20,I003-C,QQQ25/SPY25/H00130/IEF20,-0.1517043281508086,0.25,0.2,-0.3321988174801985,-0.14358361992956303,-0.29364045846632636,-0.09413475533858495,-0.07341011461658159,-0.018826951067716993,-0.07592646165620072,-0.03406329649394886,-0.024665409725295316,-0.017049160275363226,-0.15170432815080812
