candidate,grid,period,start_date,end_date,cagr,sharpe,max_drawdown,mdd_peak_date,mdd_trough_date,mdd_length_days
A01_QQQ70_H00130_IEF00,I003-A,2010_2017,2010-01-04,2017-12-29,0.12576270841508386,1.0357200587404012,-0.11847417222158851,2011-02-14,2011-08-22,189
A01_QQQ70_H00130_IEF00,I003-A,2018_2026,2018-01-02,2026-05-18,0.2327702095526123,1.2292771729909393,-0.25242484554362465,2020-02-19,2020-03-16,26
A01_QQQ70_H00130_IEF00,I003-A,2021_2022_drawdown,2021-01-04,2023-12-29,0.1127224855461344,0.668170185362274,-0.24057184262493458,2021-12-27,2022-12-28,366
A02_QQQ60_H00130_IEF10,I003-A,2010_2017,2010-01-04,2017-12-29,0.11352858057652693,1.07211182366025,-0.09144393577568122,2011-02-14,2011-08-22,189
A02_QQQ60_H00130_IEF10,I003-A,2018_2026,2018-01-02,2026-05-18,0.21350520525941885,1.2762578127211235,-0.21974132129868373,2021-12-28,2022-12-28,365
A02_QQQ60_H00130_IEF10,I003-A,2021_2022_drawdown,2021-01-04,2023-12-29,0.09636183571549384,0.6443879776953485,-0.21974132129868373,2021-12-28,2022-12-28,365
A03_P07_QQQ50_H00130_IEF20,I003-A,2010_2017,2010-01-04,2017-12-29,0.10104491910758862,1.0988693920444592,-0.07505028417671011,2012-09-06,2012-11-15,70
A03_P07_QQQ50_H00130_IEF20,I003-A,2018_2026,2018-01-02,2026-05-18,0.19388028852438466,1.324198846441894,-0.19907004458487965,2021-12-28,2022-12-28,365
A03_P07_QQQ50_H00130_IEF20,I003-A,2021_2022_drawdown,2021-01-04,2023-12-29,0.0797956843846972,0.6092015028995326,-0.19907004458487965,2021-12-28,2022-12-28,365
A04_QQQ40_H00130_IEF30,I003-A,2010_2017,2010-01-04,2017-12-29,0.08832196604441456,1.0960476302580808,-0.06374227007268085,2012-09-06,2012-11-14,69
A04_QQQ40_H00130_IEF30,I003-A,2018_2026,2018-01-02,2026-05-18,0.17392018771310092,1.3646100914656785,-0.17821908189016777,2021-12-28,2022-12-28,365
A04_QQQ40_H00130_IEF30,I003-A,2021_2022_drawdown,2021-01-04,2023-12-29,0.0630405339433242,0.5556492778209784,-0.17821908189016777,2021-12-28,2022-12-28,365
B01_SPY46_QQQ34_H00120_IEF00,I003-B,2010_2017,2010-01-04,2017-12-29,0.12115690222224784,0.95641953211319,-0.1397767225026395,2011-02-14,2011-08-22,189
B01_SPY46_QQQ34_H00120_IEF00,I003-B,2018_2026,2018-01-02,2026-05-18,0.212439949562657,1.1720030824164918,-0.2729484112037922,2020-02-19,2020-03-23,33
B01_SPY46_QQQ34_H00120_IEF00,I003-B,2021_2022_drawdown,2021-01-04,2023-12-29,0.13260329690844253,0.7832965398136781,-0.18828166083061548,2021-12-28,2022-12-28,365
B02_P08_SPY40_QQQ30_H00120_IEF10,I003-B,2010_2017,2010-01-04,2017-12-29,0.11133539083863475,0.9873010338467433,-0.11478332719587847,2011-02-14,2011-08-08,175
