portfolio,candidate_id,role,weights,cagr,sharpe,max_drawdown,return_2022,covid_mdd,spike_exclusion_sharpe,spike_sharpe_delta,source
P08_IEF30,B04_SPY29_QQQ21_H00120_IEF30,primary_candidate,SPY29/QQQ21/H00120/IEF30,0.12738381267998689,1.1721425677902564,-0.16407731360394917,-0.14641470998939488,-0.16407731360394917,1.1316208645278387,-0.0405217032624177,reports/experiments/I003_5_static_allocation_frontier
P08_IEF30_proxy_full_history,SPY40_QQQ30_IEF30_P08_IEF30_PROXY,long_history_proxy_1993_2026_available_2002_2026,SPY40/QQQ30/IEF30,0.10928066383335144,0.8423607683157472,-0.3704673376125933,-0.2144416189206061,,,,reports/experiments/I003_6_long_history
P07,A03_P07_QQQ50_H00130_IEF20,challenger,QQQ50/H00130/IEF20,0.1477238282103388,1.2109843607959934,-0.19907004458487965,-0.19137536265546418,-0.19096136348697368,1.1333532822849968,-0.0776310785109966,reports/experiments/I003_5_static_allocation_frontier
P07_IEF30,A04_QQQ40_H00130_IEF30,challenger,QQQ40/H00130/IEF30,0.13129223972705684,1.2348456501191707,-0.17821908189016777,-0.1711017414405811,-0.1629475507398095,1.1289872563584156,-0.1058583937607551,reports/experiments/I003_5_static_allocation_frontier
P08,B02_P08_SPY40_QQQ30_H00120_IEF10,challenger,SPY40/QQQ30/H00120/IEF10,0.15432819931022057,1.109627381557699,-0.23428470583478467,-0.17042705115965462,-0.23428470583478467,1.0997330903490699,-0.0098942912086291,reports/experiments/I003_5_static_allocation_frontier
QQQ,P01_QQQ_100,benchmark,QQQ100,0.20975621064641436,1.003577059337693,-0.306440001368977,,,,,reports/experiments/I001_6_daily_nav_metrics/daily_metrics.csv
SPY,P02_SPY_100,benchmark,SPY100,0.15912602601584314,0.9131865771759198,-0.29616554781389004,,,,,reports/experiments/I001_6_daily_nav_metrics/daily_metrics.csv
QQQ_SPY_50_50,P03_QQQ50_SPY50,benchmark,QQQ50/SPY50,0.1851647419853104,0.9793592986158394,-0.26781103692627795,,,,,reports/experiments/I001_6_daily_nav_metrics/daily_metrics.csv
H001,H001,benchmark,H001100,0.09731468407829946,0.6567516709095065,-0.3392346174957135,,,,,reports/experiments/I001_6_daily_nav_metrics/daily_metrics.csv
IEF,IEF,benchmark,IEF100,0.04176966651520053,0.41302090825496274,-0.1819362126636227,,,,,reports/experiments/I001_6_daily_nav_metrics/daily_metrics.csv
