stress_window,ticker,start_date,end_date,trading_days,total_return,max_drawdown,sharpe,status
dot_com_2000_2002,VWO,,,0,,,,unavailable
dot_com_2000_2002,EWY,2000-05-12,2002-12-31,661,0.0005418251211000147,-0.42716055310699574,0.225200943556352,measured
dot_com_2000_2002,EWJ,2000-01-03,2002-12-31,752,-0.5092095438311603,-0.5270418150481712,-0.7568733126486441,measured
dot_com_2000_2002,EWZ,2000-07-14,2002-12-31,618,-0.5093002013947957,-0.7039741493664873,-0.42309676385281914,measured
dot_com_2000_2002,MCHI,,,0,,,,unavailable
gfc_2008_2009,VWO,2008-01-02,2009-12-31,505,0.04439391836327333,-0.5017299407343381,0.2980544558461029,measured
gfc_2008_2009,EWY,2008-01-02,2009-12-31,505,-0.02842485117513993,-0.5430912147687255,0.2061582673496373,measured
gfc_2008_2009,EWJ,2008-01-02,2009-12-31,505,-0.059883043910319955,-0.2666351289496871,0.11069846068851252,measured
gfc_2008_2009,EWZ,2008-01-02,2009-12-31,505,0.2559417486328406,-0.6148393337423776,0.49211502111339833,measured
gfc_2008_2009,MCHI,,,0,,,,unavailable
covid_2020_02_2020_03,VWO,2020-02-03,2020-03-31,41,-0.18952513680074723,-0.2676412912977535,-1.7088292739086377,measured
covid_2020_02_2020_03,EWY,2020-02-03,2020-03-31,41,-0.1828748754846765,-0.3421661179613419,-1.1359397740440078,measured
covid_2020_02_2020_03,EWJ,2020-02-03,2020-03-31,41,-0.1340942875193728,-0.2523895325569605,-1.6921676857608738,measured
covid_2020_02_2020_03,EWZ,2020-02-03,2020-03-31,41,-0.4590227051123903,-0.506047822527774,-2.4240344127932025,measured
covid_2020_02_2020_03,MCHI,2020-02-03,2020-03-31,41,-0.042057821805276174,-0.17181080585351816,-0.08808838899167312,measured
rate_shock_2022,VWO,2022-01-03,2022-12-30,251,-0.13852602599642894,-0.15954733098632945,-0.5134626956321022,measured
rate_shock_2022,EWY,2022-01-03,2022-12-30,251,-0.22341070298220556,-0.284120443571346,-0.8440612409572604,measured
rate_shock_2022,EWJ,2022-01-03,2022-12-30,251,-0.13063531742833456,-0.16526545036882823,-0.5518324063722259,measured
rate_shock_2022,EWZ,2022-01-03,2022-12-30,251,0.21640520587967638,-0.2683036336635142,0.66464038001009,measured
rate_shock_2022,MCHI,2022-01-03,2022-12-30,251,-0.18290876655497834,-0.3413666334931875,-0.2903091964912065,measured
