variant,period,start_date,end_date,n_observations,total_return,cagr,sharpe,annualized_volatility,max_drawdown,mdd_peak_date,mdd_trough_date,measurement_type
J002-A,dot_com_proxy_2000_2002,2000-01-03,2002-12-31,752,-0.27202010033911783,-0.10065948296530203,-0.24099120406878813,0.27932038612243193,-0.41373730072302517,2002-04-17,2002-10-09,proxy_em_momentum_only
J002-B,dot_com_proxy_2000_2002,2000-01-03,2002-12-31,752,-0.27202010033911783,-0.10065948296530203,-0.24099120406878813,0.27932038612243193,-0.41373730072302517,2002-04-17,2002-10-09,proxy_em_momentum_only
J002-C,dot_com_proxy_2000_2002,2000-01-03,2002-12-31,752,-0.27202010033911783,-0.10065948296530203,-0.24099120406878813,0.27932038612243193,-0.41373730072302517,2002-04-17,2002-10-09,proxy_em_momentum_only
P08_IEF30,dot_com_proxy_2000_2002,2002-07-30,2002-12-31,108,0.02629201857623875,0.0634863392421896,0.38348459191644346,0.2209035322017726,-0.07667436784825066,2002-12-02,2002-12-31,proxy_p08_us_core
SPY_100,dot_com_proxy_2000_2002,2000-01-03,2002-12-31,752,-0.33668671340192535,-0.12818692184867408,-0.4234488067897925,0.2507649246466241,-0.4541082832985167,2001-01-30,2002-07-23,exact_or_proxy_registered_components
QQQ_100,dot_com_proxy_2000_2002,2000-01-03,2002-12-31,752,-0.7295034588164049,-0.3539824105026742,-0.5891482572937083,0.5174578612623252,-0.8090506687027679,2000-03-27,2002-10-09,exact_or_proxy_registered_components
J002-A,gfc_proxy_2008_2009,2008-01-02,2009-12-31,505,-0.060589288181959855,-0.030830300846004244,0.17806923508151765,0.49048685141844695,-0.4935898210035613,2008-05-19,2008-10-15,proxy_em_momentum_only
J002-B,gfc_proxy_2008_2009,2008-01-02,2009-12-31,505,-0.060589288181959855,-0.030830300846004244,0.17806923508151765,0.49048685141844695,-0.4935898210035613,2008-05-19,2008-10-15,proxy_em_momentum_only
J002-C,gfc_proxy_2008_2009,2008-01-02,2009-12-31,505,-0.060589288181959855,-0.030830300846004244,0.17806923508151765,0.49048685141844695,-0.4935898210035613,2008-05-19,2008-10-15,proxy_em_momentum_only
P08_IEF30,gfc_proxy_2008_2009,2008-01-02,2009-12-31,505,0.2004237740934991,0.09584445368899264,0.46727266527116046,0.2763150206616033,-0.16916305005760357,2008-10-08,2008-10-15,proxy_p08_us_core
SPY_100,gfc_proxy_2008_2009,2008-01-02,2009-12-31,505,0.0009673665343958859,0.0004845615825073146,0.19118716431008922,0.38375636343464253,-0.28177638064679145,2008-05-19,2009-03-09,exact_or_proxy_registered_components
QQQ_100,gfc_proxy_2008_2009,2008-01-02,2009-12-31,505,0.1378969166212407,0.06686429161676721,0.3577651588508659,0.3858150366366077,-0.298481727039995,2008-05-15,2008-12-29,exact_or_proxy_registered_components
J002-A,covid_2020_02_2020_03,2020-02-03,2020-03-31,42,-0.09677292603635501,-0.47910344034492525,-1.7425603143467554,0.32087462853689863,-0.1791306060189125,2020-02-19,2020-03-18,exact
J002-B,covid_2020_02_2020_03,2020-02-03,2020-03-31,42,-0.1255524996405295,-0.5767120129524543,-2.0900486726592002,0.3547041646020431,-0.2017778335651348,2020-02-19,2020-03-18,exact
J002-C,covid_2020_02_2020_03,2020-02-03,2020-03-31,42,-0.26980147686404377,-0.8666650557336633,-1.8999626266518386,0.8145146284390605,-0.3387128709828303,2020-02-19,2020-03-18,exact
P08_IEF30,covid_2020_02_2020_03,2020-02-03,2020-03-31,42,-0.07525460211309709,-0.3942775120061798,-1.4780819863455432,0.28948505631290633,-0.1640771572257288,2020-02-20,2020-03-19,exact
SPY_100,covid_2020_02_2020_03,2020-02-03,2020-03-31,42,-0.18394551900765121,-0.7281648389869233,-1.6175511725973664,0.6313483436903476,-0.2961655304621421,2020-02-20,2020-03-23,exact
QQQ_100,covid_2020_02_2020_03,2020-02-03,2020-03-31,42,-0.12466231079705192,-0.5739431892131914,-0.9269342901980189,0.6421889533186671,-0.26506296002612595,2020-02-19,2020-03-16,exact
K001-B,covid_2020_02_2020_03,2020-02-03,2020-03-31,42,-0.07921507731456001,-0.4107093989431575,-1.4497600250371945,0.3089672275869069,-0.16202588778383176,2020-02-20,2020-03-20,exact
N001-B,covid_2020_02_2020_03,2020-02-03,2020-03-31,42,-0.06576479304718141,-0.3533241682439162,-1.3864516871009396,0.2686440916131199,-0.15326423293053493,2020-02-21,2020-03-19,exact
N002-B,covid_2020_02_2020_03,2020-02-03,2020-03-31,42,-0.06786183231664111,-0.3625693851903441,-1.4947928092567329,0.25971772929996884,-0.1488173493893029,2020-02-20,2020-03-19,exact
J002-A,rate_shock_2022,2022-01-03,2022-12-30,260,-0.17641280934383263,-0.1782925118732015,-1.2551239636727618,0.14183014134499544,-0.17641280934383263,2022-01-03,2022-12-30,exact
J002-B,rate_shock_2022,2022-01-03,2022-12-30,260,-0.1648172165562699,-0.1665862168426755,-1.2269745530455038,0.1348365190638246,-0.16531235290402024,2022-01-04,2022-12-30,exact
J002-C,rate_shock_2022,2022-01-03,2022-12-30,260,-0.24040394278400357,-0.24285890384601783,-1.049122435846882,0.22897858956632397,-0.25385493393786596,2022-01-12,2022-12-30,exact
P08_IEF30,rate_shock_2022,2022-01-03,2022-12-30,260,-0.1464217505023201,-0.14801121510312232,-0.8861389974053552,0.15892336592957912,-0.15053429530939644,2022-01-03,2022-12-28,exact
SPY_100,rate_shock_2022,2022-01-03,2022-12-30,260,-0.13949121068347847,-0.1410118068592069,-0.45571260117038304,0.2507081293229285,-0.16984962540173687,2022-01-04,2022-06-16,exact
QQQ_100,rate_shock_2022,2022-01-03,2022-12-30,260,-0.2936404858784867,-0.2965254310246498,-0.8805586747503716,0.32326744462564405,-0.3060043377941355,2022-01-03,2022-12-28,exact
