variant,period,start_date,end_date,n_observations,total_return,cagr,sharpe,annualized_volatility,max_drawdown,mdd_peak_date,mdd_trough_date
J002-A,2010_2017,2010-01-04,2017-12-29,2065,0.6424533486589536,0.06412355223631527,0.7251524335092151,0.08896799488347217,-0.06648133974748227,2011-04-26,2011-08-08
J002-B,2010_2017,2010-01-04,2017-12-29,2065,0.3335799459908464,0.03671536958371213,0.4064154885174511,0.09834477731022236,-0.08532952797956006,2011-04-26,2011-08-10
J002-C,2010_2017,2010-01-04,2017-12-29,2065,0.2594068199550035,0.029310772389800732,0.24137956572111396,0.19837739946445648,-0.25877326393381894,2011-04-26,2011-10-03
P08_IEF30,2010_2017,2010-01-04,2017-12-29,2065,0.9973095828637046,0.09051827585551964,1.0116506360407347,0.08722100268502486,-0.06494957602069829,2012-09-13,2012-11-14
SPY_100,2010_2017,2010-01-04,2017-12-29,2065,1.573273141147291,0.12568353414459654,0.8378258512095726,0.15137691423181554,-0.18514137700201272,2011-02-14,2011-08-10
QQQ_100,2010_2017,2010-01-04,2017-12-29,2065,2.40406252697495,0.16583347638711654,0.9723777052987734,0.1683577933086117,-0.17241113225752835,2011-02-14,2011-08-22
K001-B,2010_2017,2010-01-04,2017-12-29,2065,1.0421470301189721,0.0935550003887442,1.0169396047184938,0.08964275071395694,-0.06651247260051185,2012-09-13,2012-11-14
N001-B,2010_2017,2010-01-04,2017-12-29,2065,0.8908957097543369,0.08306521168667369,0.9548620018216618,0.08522943979786207,-0.06623440076695619,2012-09-13,2012-12-28
N002-B,2010_2017,2010-01-04,2017-12-29,2065,0.9038222175866408,0.08398985880621912,1.0393443291887858,0.078578076033496,-0.05805644575007951,2012-09-13,2012-11-14
J002-A,2018_2026,2018-01-02,2026-05-18,2171,1.8142909171732424,0.13154803942861526,1.0736387443439774,0.11843550591016842,-0.2023721713511385,2021-07-14,2023-01-03
J002-B,2018_2026,2018-01-02,2026-05-18,2171,1.1187464217636558,0.09382321899235557,0.7526999444838407,0.12645530834679775,-0.2582895660885318,2021-02-05,2023-01-03
J002-C,2018_2026,2018-01-02,2026-05-18,2171,0.8198828262133395,0.07413729955063797,0.4184458703844914,0.22959323063786732,-0.3904757929627757,2021-02-17,2023-01-03
P08_IEF30,2018_2026,2018-01-02,2026-05-18,2171,2.5626157577644695,0.16386801970915643,1.3123271848432407,0.11768600815529548,-0.1640771572257288,2020-02-20,2020-03-19
SPY_100,2018_2026,2018-01-02,2026-05-18,2171,3.3517330416408493,0.19201669095104212,0.982085330793035,0.1928199386173208,-0.2961655304621421,2020-02-20,2020-03-23
QQQ_100,2018_2026,2018-01-02,2026-05-18,2171,5.54885991832824,0.2516516989934239,1.043321709710069,0.2358324309010297,-0.3064399060301183,2021-12-27,2022-12-28
K001-B,2018_2026,2018-01-02,2026-05-18,2171,2.4735444246460045,0.16035358579213455,1.2969454077569231,0.11672879274127536,-0.16202588778383187,2020-02-20,2020-03-20
N001-B,2018_2026,2018-01-02,2026-05-18,2171,2.693370425832298,0.16888947311540048,1.4195435663841196,0.11122425446063745,-0.15326423293053493,2020-02-21,2020-03-19
N002-B,2018_2026,2018-01-02,2026-05-18,2171,2.2177665780614024,0.1498011149968601,1.3332661993561574,0.10598765256962288,-0.1488173493893029,2020-02-20,2020-03-19
