variant,comparator,stress_window,measurement_type,total_return,comparator_total_return,delta_return_vs_comparator_pp,daily_max_drawdown,comparator_daily_max_drawdown,delta_mdd_vs_comparator_pp,proxy_excluded_sleeves
K001-A,N001-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.27085308264906605,0.2841366743265439,-1.3283591677477835,-0.10806628602052948,-0.10890239353547271,0.08361075149432295,H001
K001-A,N001-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.2025150380534575,0.24381291693307006,-4.129787887961256,-0.16864148476828045,-0.1714163485257817,0.27748637575012447,H001
K001-A,N001-B,covid_2020_02_2020_03,exact,-0.07723330965301989,-0.06576479304718141,-1.1468516605838475,-0.1623415347896695,-0.15326423293053493,-0.9077301859134579,
K001-A,N001-B,rate_shock_2022,exact,-0.1372237919004824,-0.12632411053208126,-1.0899681368401137,-0.14085971510527906,-0.13049714018065406,-1.0362574924625,
K001-B,N001-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.25798552205032044,0.2841366743265439,-2.6151152276223444,-0.10722212616948756,-0.10890239353547271,0.16802673659851441,H001
K001-B,N001-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.2044742044224337,0.24381291693307006,-3.9338712510636364,-0.1681326290995936,-0.1714163485257817,0.3283719426188103,H001
K001-B,N001-B,covid_2020_02_2020_03,exact,-0.07921507731456001,-0.06576479304718141,-1.3450284267378598,-0.16202588778383187,-0.15326423293053493,-0.8761654853296941,
K001-B,N001-B,rate_shock_2022,exact,-0.12796468673503203,-0.12632411053208126,-0.1640576202950772,-0.1311167218224828,-0.13049714018065406,-0.0619581641828737,
K001-C,N001-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.27974745783856214,0.2841366743265439,-0.43892164879817397,-0.10485097768244833,-0.10890239353547271,0.4051415853024376,H001
K001-C,N001-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.1876566035709355,0.24381291693307006,-5.615631336213456,-0.17070694072977288,-0.1714163485257817,0.07094077960088097,H001
K001-C,N001-B,covid_2020_02_2020_03,exact,-0.08047949265370224,-0.06576479304718141,-1.4714699606520831,-0.1675083840473427,-0.15326423293053493,-1.4244151116807768,
K001-C,N001-B,rate_shock_2022,exact,-0.13571317050206277,-0.12632411053208126,-0.9389059969981517,-0.13929528013899983,-0.13049714018065406,-0.8798139958345774,
K001-D,N001-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.27542387387751055,0.2841366743265439,-0.8712800449033331,-0.10183591385369306,-0.10890239353547271,0.7066479681779647,H001
K001-D,N001-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.1751780355953172,0.24381291693307006,-6.863488133775286,-0.17222053042144192,-0.1714163485257817,-0.08041818956602276,H001
K001-D,N001-B,covid_2020_02_2020_03,exact,-0.08567787011922023,-0.06576479304718141,-1.991307707203882,-0.1744850725865955,-0.15326423293053493,-2.1220839656060586,
