variant,stress_window,measurement_type,portfolio_series,weights,start_date,end_date,n_observations,total_return,cagr,gross_sharpe,annualized_volatility,daily_max_drawdown,mdd_peak_date,mdd_trough_date,mdd_recovery_date,registered_weights,proxy_excluded_sleeves
K001-A,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,K001-A,SPY:0.3401;QQQ:0.2463;IEF:0.3519;XLP:0.0617,2002-07-30,2003-12-31,360,0.27085308264906605,0.1837441680607641,1.0957750905631973,0.16564950822892668,-0.10806628602052948,2002-12-02,2003-01-30,2003-03-19,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;XLP:0.0500,H001
K001-A,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,K001-A,SPY:0.3401;QQQ:0.2463;IEF:0.3519;XLP:0.0617,2008-01-02,2009-12-31,505,0.2025150380534575,0.09680054031027008,0.47144058712247494,0.27486876364560875,-0.16864148476828045,2008-10-08,2008-10-15,2008-10-28,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;XLP:0.0500,H001
K001-A,covid_2020_02_2020_03,exact,K001-A,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;XLP:0.0500,2020-02-03,2020-03-31,42,-0.07723330965301989,-0.4025347808125197,-1.4658740519969844,0.29882644456570695,-0.1623415347896695,2020-02-20,2020-03-19,,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;XLP:0.0500,
K001-A,rate_shock_2022,exact,K001-A,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;XLP:0.0500,2022-01-03,2022-12-30,260,-0.1372237919004824,-0.1387217125013429,-0.8223850891767587,0.15866456642672797,-0.14085971510527906,2022-01-03,2022-12-28,,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;XLP:0.0500,
K001-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,K001-B,SPY:0.3183;QQQ:0.2305;IEF:0.3293;XLP:0.1220,2002-07-30,2003-12-31,360,0.25798552205032044,0.1752965299386191,1.0638387468339177,0.16360657511794682,-0.10722212616948756,2002-12-02,2003-01-30,2003-03-19,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;XLP:0.1000,H001
K001-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,K001-B,SPY:0.3183;QQQ:0.2305;IEF:0.3293;XLP:0.1220,2008-01-02,2009-12-31,505,0.2044742044224337,0.09769548198823252,0.4752606068877446,0.2736860675449691,-0.1681326290995936,2008-10-08,2008-10-15,2008-10-28,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;XLP:0.1000,H001
K001-B,covid_2020_02_2020_03,exact,K001-B,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;XLP:0.1000,2020-02-03,2020-03-31,42,-0.07921507731456001,-0.4107093989431575,-1.4497600250372082,0.30896722758690676,-0.16202588778383187,2020-02-20,2020-03-20,,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;XLP:0.1000,
K001-B,rate_shock_2022,exact,K001-B,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;XLP:0.1000,2022-01-03,2022-12-30,260,-0.12796468673503203,-0.12936927712870416,-0.756908993842476,0.15871317177316438,-0.1311167218224828,2022-01-03,2022-12-28,,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;XLP:0.1000,
K001-C,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,K001-C,SPY:0.3401;QQQ:0.2463;IEF:0.3519;XLU:0.0617,2002-07-30,2003-12-31,360,0.27974745783856214,0.18956857518320258,1.1115173780348975,0.16805983318345266,-0.10485097768244833,2002-12-02,2003-01-30,2003-03-18,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;XLU:0.0500,H001
K001-C,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,K001-C,SPY:0.3401;QQQ:0.2463;IEF:0.3519;XLU:0.0617,2008-01-02,2009-12-31,505,0.1876566035709355,0.08998942984488312,0.4477799276028009,0.2764982832927715,-0.17070694072977288,2008-10-08,2008-10-15,2008-10-28,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;XLU:0.0500,H001
K001-C,covid_2020_02_2020_03,exact,K001-C,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;XLU:0.0500,2020-02-03,2020-03-31,42,-0.08047949265370224,-0.4158755148644696,-1.5011255284996141,0.30470754109609616,-0.1675083840473427,2020-02-20,2020-03-19,,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;XLU:0.0500,
K001-C,rate_shock_2022,exact,K001-C,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;XLU:0.0500,2022-01-03,2022-12-30,260,-0.13571317050206277,-0.13719594462524898,-0.8087466477811962,0.15915457507084038,-0.13929528013899983,2022-01-03,2022-12-28,,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;XLU:0.0500,
K001-D,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,K001-D,SPY:0.3183;QQQ:0.2305;IEF:0.3293;XLU:0.1220,2002-07-30,2003-12-31,360,0.27542387387751055,0.1867388154289784,1.0935370900458583,0.16876473616682627,-0.10183591385369306,2002-08-22,2002-10-09,2002-11-04,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;XLU:0.1000,H001
K001-D,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,K001-D,SPY:0.3183;QQQ:0.2305;IEF:0.3293;XLU:0.1220,2008-01-02,2009-12-31,505,0.1751780355953172,0.08423633176853618,0.4282714233090373,0.27718595618647235,-0.17222053042144192,2008-10-08,2008-10-15,2008-10-28,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;XLU:0.1000,H001
K001-D,covid_2020_02_2020_03,exact,K001-D,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;XLU:0.1000,2020-02-03,2020-03-31,42,-0.08567787011922023,-0.436715281229732,-1.5134554117130055,0.3213123305601154,-0.1744850725865955,2020-02-20,2020-03-23,,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;XLU:0.1000,
K001-D,rate_shock_2022,exact,K001-D,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;XLU:0.1000,2022-01-03,2022-12-30,260,-0.12492230837388607,-0.12629597631301648,-0.7291708382556419,0.15988180875450017,-0.12830398359413986,2022-09-12,2022-12-28,,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;XLU:0.1000,
K001-E,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,K001-E,SPY:0.3401;QQQ:0.2463;IEF:0.3519;XLV:0.0617,2002-07-30,2003-12-31,360,0.2777363581975607,0.18825267541535573,1.1031290192302936,0.16838813051020313,-0.10802498741098188,2002-12-02,2003-01-30,2003-03-19,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;XLV:0.0500,H001
K001-E,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,K001-E,SPY:0.3401;QQQ:0.2463;IEF:0.3519;XLV:0.0617,2008-01-02,2009-12-31,505,0.19773414202822948,0.0946135817631164,0.4627481253028709,0.2769305711877091,-0.1713262819577952,2008-10-08,2008-10-15,2008-10-28,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;XLV:0.0500,H001
K001-E,covid_2020_02_2020_03,exact,K001-E,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;XLV:0.0500,2020-02-03,2020-03-31,42,-0.07607735118842662,-0.3977225150736432,-1.430974096577222,0.3005222129143991,-0.1643358582495984,2020-02-20,2020-03-19,,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;XLV:0.0500,
K001-E,rate_shock_2022,exact,K001-E,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;XLV:0.0500,2022-01-03,2022-12-30,260,-0.13743572164505924,-0.13893576467770397,-0.8181763386425825,0.15959464013922625,-0.1414350587881088,2022-01-03,2022-12-28,,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;XLV:0.0500,
K001-F,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,K001-F,SPY:0.3183;QQQ:0.2305;IEF:0.3293;XLV:0.1220,2002-07-30,2003-12-31,360,0.2714861609154904,0.18415913236266634,1.0790205498110028,0.16907399628013742,-0.10716309347431852,2002-12-02,2003-01-30,2003-03-19,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;XLV:0.1000,H001
K001-F,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,K001-F,SPY:0.3183;QQQ:0.2305;IEF:0.3293;XLV:0.1220,2008-01-02,2009-12-31,505,0.19506168869585028,0.09338920468889733,0.4580638013957134,0.27785616347522785,-0.1734345268055233,2008-10-08,2008-10-15,2008-10-28,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;XLV:0.1000,H001
K001-F,covid_2020_02_2020_03,exact,K001-F,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;XLV:0.1000,2020-02-03,2020-03-31,42,-0.07690308068139518,-0.40116335750522936,-1.3843532261370155,0.31203103655115205,-0.16513579981620996,2020-02-20,2020-03-23,,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;XLV:0.1000,
K001-F,rate_shock_2022,exact,K001-F,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;XLV:0.1000,2022-01-03,2022-12-30,260,-0.12838210566501362,-0.12979092882870025,-0.7497058737418087,0.16048778589976045,-0.1322663794441169,2022-01-03,2022-12-28,,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;XLV:0.1000,
