variant,period,start_date,end_date,n_observations,total_return,cagr,sharpe,annualized_volatility,max_drawdown,mdd_peak_date,mdd_trough_date,measurement_type
K002-A,dot_com_proxy_2002_07_2003_12,2002-07-01,2003-12-31,380,0.16940761357071632,0.10994197592442223,0.5504064656362134,0.24117325520905583,-0.212445783963075,2002-07-05,2002-07-23,proxy_sector_momentum_only
K002-B,dot_com_proxy_2002_07_2003_12,2002-07-01,2003-12-31,380,0.16940761357071632,0.10994197592442223,0.5504064656362134,0.24117325520905583,-0.212445783963075,2002-07-05,2002-07-23,proxy_sector_momentum_only
K002-C,dot_com_proxy_2002_07_2003_12,2002-07-01,2003-12-31,380,0.16940761357071632,0.10994197592442223,0.5504064656362134,0.24117325520905583,-0.212445783963075,2002-07-05,2002-07-23,proxy_sector_momentum_only
P08_IEF30,dot_com_proxy_2002_07_2003_12,2002-07-30,2003-12-31,360,0.28413667432654255,0.1924383955697775,1.1256712474495136,0.168079565738052,-0.10890239353547282,2002-12-02,2003-01-30,proxy_p08_us_core
SPY_100,dot_com_proxy_2002_07_2003_12,2002-07-01,2003-12-31,380,0.16743329694257447,0.1086926286830443,0.5354982143578684,0.2495945560688578,-0.21620733627422806,2002-07-05,2002-07-23,exact_us_etf
QQQ_100,dot_com_proxy_2002_07_2003_12,2002-07-01,2003-12-31,380,0.4564134249220064,0.28478843488050853,0.9020542182385107,0.3404916116989401,-0.20884386154217482,2002-07-05,2002-10-09,exact_us_etf
K002-A,gfc_proxy_2008_2009,2008-01-02,2009-12-31,505,0.0899537694080379,0.04410103074492655,0.2935546678636482,0.32400905479635655,-0.26844148327025996,2008-05-20,2008-10-15,proxy_sector_momentum_only
K002-B,gfc_proxy_2008_2009,2008-01-02,2009-12-31,505,0.0899537694080379,0.04410103074492655,0.2935546678636482,0.32400905479635655,-0.26844148327025996,2008-05-20,2008-10-15,proxy_sector_momentum_only
K002-C,gfc_proxy_2008_2009,2008-01-02,2009-12-31,505,0.0899537694080379,0.04410103074492655,0.2935546678636482,0.32400905479635655,-0.26844148327025996,2008-05-20,2008-10-15,proxy_sector_momentum_only
P08_IEF30,gfc_proxy_2008_2009,2008-01-02,2009-12-31,505,0.2004237740934991,0.09584445368899264,0.46727266527116046,0.2763150206616033,-0.16916305005760357,2008-10-08,2008-10-15,proxy_p08_us_core
SPY_100,gfc_proxy_2008_2009,2008-01-02,2009-12-31,505,0.0009673665343958859,0.0004845615825073146,0.19118716431008922,0.38375636343464253,-0.28177638064679145,2008-05-19,2009-03-09,exact_us_etf
QQQ_100,gfc_proxy_2008_2009,2008-01-02,2009-12-31,505,0.1378969166212407,0.06686429161676721,0.3577651588508659,0.3858150366366077,-0.298481727039995,2008-05-15,2008-12-29,exact_us_etf
