날짜,종목코드,종목명,종가,거래대금추정,외국인순매수금액추정,기관순매수금액추정,외국인순매매량
2024-01-02,005930,삼성전자,79600.0,1356958225913.0,183688382800.0,44955532800.0,2307643.0
2024-01-03,005930,삼성전자,77000.0,1691690834824.0,29730162000.0,-299690391000.0,386106.0
2024-01-04,005930,삼성전자,76600.0,1173912901977.0,48583013800.0,-190834652400.0,634243.0
2024-01-05,005930,삼성전자,76600.0,866836486100.0,-41137264000.0,-80548730000.0,-537040.0
2024-01-08,005930,삼성전자,76500.0,852681337648.0,46853190000.0,-105810975000.0,612460.0
2024-01-09,005930,삼성전자,74700.0,1971736955597.0,-98108963100.0,-93550545000.0,-1313373.0
2024-01-10,005930,삼성전자,73600.0,1497565371180.0,-99491302400.0,-75326288000.0,-1351784.0
2024-01-11,005930,삼성전자,73200.0,4206812650490.0,1699841250000.0,-2287995271200.0,23221875.0
2024-01-12,005930,삼성전자,73100.0,956811865637.0,-30003748800.0,-55066449300.0,-410448.0
2024-01-15,005930,삼성전자,73900.0,973180055524.0,59893954700.0,19978273800.0,810473.0
2024-01-16,005930,삼성전자,72600.0,1075976773200.0,-53710641600.0,-110111331000.0,-739816.0
2024-01-17,005930,삼성전자,71000.0,1627050948220.0,-256995860000.0,-37343728000.0,-3619660.0
2024-01-18,005930,삼성전자,71700.0,1274268001300.0,-62087539500.0,4297052700.0,-865935.0
2024-01-19,005930,삼성전자,74700.0,1729032665716.0,483281361000.0,-38088633600.0,6469630.0
2024-01-02,000660,SK하이닉스,142400.0,304025996500.0,18874123200.0,-13172284800.0,132543.0
2024-01-03,000660,SK하이닉스,136800.0,449799956600.0,-76185835200.0,-92864354400.0,-556914.0
2024-01-04,000660,SK하이닉스,136400.0,364515557225.0,-9486756400.0,-56715938400.0,-69551.0
2024-01-05,000660,SK하이닉스,137500.0,252186160000.0,9334600000.0,-28257900000.0,67888.0
2024-01-08,000660,SK하이닉스,136000.0,340752338000.0,1277584000.0,-36875448000.0,9394.0
2024-01-09,000660,SK하이닉스,137400.0,480449816300.0,14173359600.0,32073144600.0,103154.0
2024-01-10,000660,SK하이닉스,133500.0,504545182100.0,-89911048500.0,-4061337000.0,-673491.0
2024-01-11,000660,SK하이닉스,136000.0,485469304242.0,11726192000.0,11513352000.0,86222.0
2024-01-12,000660,SK하이닉스,134100.0,252938171800.0,-5969863800.0,-24456755700.0,-44518.0
2024-01-15,000660,SK하이닉스,134100.0,249236618000.0,-47590883100.0,27457913700.0,-354891.0
2024-01-16,000660,SK하이닉스,132100.0,485781577321.0,-41567510700.0,6156256300.0,-314667.0
2024-01-17,000660,SK하이닉스,131000.0,502258110100.0,-81926090000.0,41911485000.0,-625390.0
2024-01-18,000660,SK하이닉스,136200.0,408810385400.0,46321211400.0,9559605600.0,340097.0
2024-01-19,000660,SK하이닉스,141300.0,692333153000.0,169047928800.0,-29938078800.0,1196376.0
2024-01-02,035720,카카오,57900.0,210983483350.0,36356046900.0,42840499500.0,627911.0
2024-01-03,035720,카카오,56600.0,108775616400.0,-1927569600.0,-10266391000.0,-34056.0
2024-01-04,035720,카카오,57200.0,107565028100.0,-3339908000.0,5468892000.0,-58390.0
2024-01-05,035720,카카오,55800.0,74099039900.0,-6609565800.0,-7456163400.0,-118451.0
2024-01-08,035720,카카오,57200.0,144573932900.0,8648010800.0,10248295200.0,151189.0
2024-01-09,035720,카카오,58700.0,127359290500.0,13016548900.0,29747575100.0,221747.0
2024-01-10,035720,카카오,59200.0,162324444900.0,-5348542400.0,30966691200.0,-90347.0
