종목코드,종목명,날짜,daily_return,tradable,prev_day_tradable
000040,KR모터스,2018-01-12,0.9538461538461538,False,False
000040,KR모터스,2020-02-19,2.7,False,False
000040,KR모터스,2024-03-18,2.0817204301075267,False,False
000100,유한양행,2020-04-08,-0.7926503340757238,False,False
000300,대유플러스,2024-10-25,7.232365145228215,False,False
000480,조선내화,2023-04-13,-0.9123505976095617,False,False
000520,삼일제약,2021-04-12,-0.5010050251256282,False,False
001020,페이퍼코리아,2020-03-24,1.327188940092166,False,False
001070,대한방직,2018-01-18,-0.8121794871794872,False,False
001070,대한방직,2023-01-02,1.5508684863523574,False,False
001080,만호제강,2023-01-02,0.6657142857142857,False,False
001140,국보,2019-05-03,-0.9063694267515924,False,False
001140,국보,2023-05-23,8.473684210526315,False,False
001290,골든브릿지증권,2018-02-20,0.6195652173913044,True,False
001390,KG케미칼,2023-08-28,-0.8144578313253013,False,False
001440,대한전선,2023-05-16,9.630026809651474,False,False
001470,삼부토건,2019-05-02,-0.791675560298826,False,False
001530,DI동일,2021-01-04,1.098515519568151,False,False
001530,DI동일,2023-01-02,-0.9471119133574007,False,False
001790,대한제당,2021-04-14,-0.8,False,False
002070,남영비비안,2020-02-06,-0.9061162079510703,False,False
002070,비비안,2020-08-21,3.318869828456105,False,False
002200,한국수출포장,2023-04-17,-0.8973011363636364,False,False
002390,한독,2024-01-02,-0.5564564564564565,False,False
002420,세기상사,2021-04-21,-0.9,False,False
002420,세기상사,2021-12-22,1.6055194805194803,False,False
002630,오리엔트바이오,2020-02-21,1.2091503267973858,False,False
002820,SUN&L,2024-01-02,-0.5396975425330812,False,False
002880,대유에이텍,2023-12-20,3.1645962732919255,False,False
002900,TYM,2023-05-22,4.108433734939759,False,False
003030,세아제강지주,2022-01-03,1.028397565922921,False,False
003060,에이프로젠바이오로직스,2024-04-16,8.042105263157895,False,False
003120,일성신약,2023-04-17,-0.8167522464698331,False,False
003200,일신방직,2023-04-14,-0.9,False,False
003280,흥아해운,2019-06-24,0.7966101694915255,False,False
003280,흥아해운,2021-07-08,3.011627906976744,False,False
003280,흥아해운,2021-09-15,0.9516908212560387,False,False
003410,쌍용양회,2018-07-11,-0.7869158878504673,False,False
003620,쌍용차,2023-01-02,2.1624548736462095,False,False
003620,KG모빌리티,2023-04-28,0.5776255707762556,False,False
003720,삼영화학,2021-01-04,2.0940892641737032,False,False
003850,보령제약,2018-04-30,-0.7986688851913477,False,False
003920,남양유업,2024-11-20,-0.9014556040756914,False,False
003960,사조대림,2022-01-03,0.659375,False,False
004090,한국석유,2021-04-15,-0.9327402135231316,False,False
004440,삼일씨엔에스,2024-01-02,-0.528108108108108,False,False
004800,효성,2018-07-13,-0.5783582089552239,False,False
004870,티웨이홀딩스,2024-01-02,-0.5174757281553398,False,False
004920,씨아이테크,2021-01-04,0.7391304347826086,False,False
005010,휴스틸,2022-07-13,-0.8066059225512529,False,False
005110,한창,2023-10-27,3.1399999999999997,False,False
005300,롯데칠성,2019-05-03,-0.9043905257076834,False,False
005880,대한해운,2020-10-12,-0.9046961325966851,False,False
005930,삼성전자,2018-05-04,-0.9804150943396226,False,False
005980,성지건설,2018-01-24,9.268292682926829,False,False
005980,성지건설,2018-09-19,-0.8643101482326112,False,False
006040,동원산업,2022-11-28,-0.8036734693877551,False,False
006980,우성사료,2021-04-19,8.608323133414933,False,False
007120,미래아이앤지,2023-05-04,3.4171428571428573,False,False
007340,DN오토모티브,2024-10-08,-0.811949069539667,False,False
007460,에이프로젠,2023-01-19,1.8758741258741258,False,False
007700,F&F홀딩스,2021-05-21,-0.65,False,False
008600,윌비스,2023-01-02,-0.6053412462908012,False,False
009410,태영건설,2020-09-22,-0.5592592592592592,False,False
009410,태영건설,2024-07-12,1.0,False,False
009810,엔케이물산,2020-11-24,0.7531486146095718,False,False
010100,한국프랜지,2018-05-04,-0.8,False,False
010580,지코,2022-01-03,4.0,False,False
010580,에스엠벡셀,2022-09-08,0.7647058823529411,False,False
010660,화천기계,2019-05-15,-0.9102222222222223,False,False
011690,와이투솔루션,2022-01-03,1.0,False,False
011690,와이투솔루션,2022-06-16,-0.639344262295082,False,False
011690,와이투솔루션,2023-09-12,4.0,False,False
012170,키위미디어그룹,2021-01-04,8.9,False,False
012170,아센디오,2021-05-03,2.5384615384615383,False,False
012200,계양전기,2024-01-02,-0.5454100367197062,False,False
013000,세우글로벌,2021-09-27,1.5991902834008096,False,False
013700,까뮤이앤씨,2018-05-08,-0.9095679012345679,False,False
014130,한익스프레스,2018-04-30,-0.9089393939393939,False,False
014280,금강공업,2019-05-07,-0.8100616016427105,False,False
015260,에이엔피,2020-10-22,5.96969696969697,False,False
016380,동부제철,2019-09-19,1.7666666666666666,False,False
016590,신대양제지,2023-04-24,-0.8998826291079812,False,False
016710,대성홀딩스,2022-01-03,0.9090909090909092,False,False
017670,SK텔레콤,2021-11-29,-0.812924071082391,False,False
017810,풀무원,2019-05-07,-0.898062015503876,False,False
017860,DS단석,2024-11-25,-0.5667701863354038,False,True
020560,아시아나항공,2021-01-15,3.2755344418052257,False,False
020760,일진디스플,2022-01-03,-0.6231454005934718,False,False
023450,동남합성,2019-03-04,-0.6502057613168724,False,False
024720,한국콜마홀딩스,2023-10-19,-0.5232308791994282,False,False
025560,미래산업,2020-07-02,45.835443037974684,False,False
025560,미래산업,2021-04-30,3.6326836581709143,False,False
025560,미래산업,2023-08-17,-0.7825479930191972,False,False
025620,제이준코스메틱,2022-12-19,16.86082474226804,False,False
027740,마니커,2022-01-03,0.7276720351390922,False,False
030790,동양네트웍스,2020-03-02,16.981072555205046,False,False
031430,신세계인터내셔날,2022-04-11,-0.8119760479041916,False,False
033180,KH 필룩스,2023-10-04,2.0,False,False
034300,신세계건설,2023-01-02,-0.5230547550432276,False,False
035420,NAVER,2018-10-12,-0.7982954545454546,False,False
035510,신세계 I&C,2024-01-02,-0.9043824701195219,False,False
035720,카카오,2021-04-15,-0.7840501792114696,False,False
036420,제이콘텐트리,2019-08-02,8.145021645021645,False,False
042700,한미반도체,2022-04-06,-0.5185714285714286,False,False
044380,주연테크,2020-05-07,1.1787709497206702,False,False
057050,현대홈쇼핑,2024-01-02,-0.5686868686868687,False,False
071090,하이스틸,2021-04-05,-0.906282722513089,False,False
071840,롯데하이마트,2023-01-02,-0.5228628230616302,False,False
071950,코아스,2024-10-04,8.57943925233645,False,False
071970,STX중공업,2018-12-27,4.427312775330397,False,False
077500,유니퀘스트,2023-10-23,-0.65,False,False
081660,휠라코리아,2018-05-09,-0.8081081081081081,False,False
086280,현대글로비스,2024-07-12,-0.5053465346534654,False,True
090370,메타랩스,2022-12-02,3.7745571658615136,False,False
091090,세원이앤씨,2023-08-14,4.0,False,False
093230,이아이디,2022-05-24,8.6045197740113,False,False
096300,베트남개발1,2022-01-03,-0.5337078651685394,False,False
096300,베트남개발1,2022-09-08,-0.6743119266055047,False,False
097230,한진중공업,2019-04-23,0.6722689075630253,False,False
097230,한진중공업,2019-05-21,4.428571428571429,False,False
099340,하나니켈1호,2019-08-29,-0.5089285714285714,False,False
099340,하나니켈1호,2020-02-27,-0.5945378151260504,False,False
100840,SNT에너지,2024-04-16,-0.6545180722891566,False,False
109070,컨버즈,2020-03-05,14.590909090909092,False,False
145210,다이나믹디자인,2022-05-04,27.10924369747899,False,False
183190,아세아시멘트,2022-04-06,-0.9040579710144927,False,False
192400,쿠쿠홀딩스,2021-08-27,-0.8041666666666667,False,False
204320,만도,2018-05-08,-0.8006607929515419,False,False
210980,SK디앤디,2024-03-29,-0.5060728744939271,False,False
214330,금호에이치티,2020-07-23,-0.5823117338003503,False,False
234080,JW생명과학,2018-04-25,-0.5343053173241852,False,False
267250,현대중공업지주,2021-04-13,-0.7925795053003534,False,False
267260,현대일렉트릭,2018-11-23,-0.503919372900336,False,False
278470,에이피알,2024-10-31,-0.8120075046904315,False,False
281820,케이씨텍,2023-01-02,-0.5170731707317073,False,False
284740,쿠쿠홈시스,2019-05-07,-0.7962703962703963,False,False
298690,에어부산,2022-08-10,1.9133574007220218,False,False
300720,한일시멘트,2021-09-13,-0.9088235294117647,False,False
306200,세아제강,2022-01-03,0.6824561403508771,False,False
339770,교촌에프앤비,2024-01-02,-0.5421686746987953,False,False
339770,교촌에프앤비,2024-12-27,-0.5148936170212766,False,False
363280,티와이홀딩스,2023-01-02,-0.6312056737588653,False,False
375500,DL이앤씨,2022-04-08,-0.5116279069767442,False,True
383220,F&F,2022-04-13,-0.8103896103896104,False,False
457190,이수스페셜티케미컬,2024-05-02,-0.8203240058910162,False,False
900140,엘브이엠씨홀딩스,2020-01-02,0.7789699570815452,False,False
