variant,stress_window,measurement_type,portfolio_series,weights,start_date,end_date,n_observations,total_return,cagr,gross_sharpe,annualized_volatility,daily_max_drawdown,mdd_peak_date,mdd_trough_date,mdd_recovery_date,registered_weights,proxy_excluded_sleeves
N002-A,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,N002-A,SPY:0.5800;QQQ:0.4200,2002-07-01,2003-12-31,380,0.2936468318235559,0.18720800397449566,0.7839098452331317,0.26108293982050135,-0.22188709149471175,2002-07-05,2002-10-09,2002-12-02,SPY:0.2900;QQQ:0.2100;H001:0.2000;SHY:0.3000,H001;SHY
N002-A,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,N002-A,SPY:0.5800;QQQ:0.4200,2008-01-02,2009-12-31,505,-0.1464287595756436,-0.07626128466576809,-0.067430429745305,0.3365355642959996,-0.5048129072403422,2008-01-03,2009-03-09,,SPY:0.2900;QQQ:0.2100;H001:0.2000;SHY:0.3000,H001;SHY
N002-A,covid_2020_02_2020_03,exact,N002-A,SPY:0.2900;QQQ:0.2100;H001:0.2000;SHY:0.3000,2020-02-03,2020-03-31,42,-0.10571701016345358,-0.5112838212846643,-1.7509045027160435,0.34832493498714673,-0.2141034310059351,2020-02-17,2020-03-23,,SPY:0.2900;QQQ:0.2100;H001:0.2000;SHY:0.3000,
N002-A,rate_shock_2022,exact,N002-A,SPY:0.2900;QQQ:0.2100;H001:0.2000;SHY:0.3000,2022-01-03,2022-12-30,260,-0.1534770674296284,-0.15513595311172912,-1.0975640006837817,0.13839625178545287,-0.17887200292335248,2022-01-03,2022-10-14,,SPY:0.2900;QQQ:0.2100;H001:0.2000;SHY:0.3000,
N002-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,N002-B,SPY:0.3183;QQQ:0.2305;IEF:0.3293;cash:0.1220,2002-07-30,2003-12-31,360,0.2529869899091284,0.17200806560493742,1.3260115638156422,0.12495998787594159,-0.1000046690970211,2002-08-22,2002-10-09,2002-11-05,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;cash:0.1000,H001
N002-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,N002-B,SPY:0.3183;QQQ:0.2305;IEF:0.3293;cash:0.1220,2008-01-02,2009-12-31,505,-0.017883912175393202,-0.009000695582804696,0.024780681736621676,0.16162490325145215,-0.2753777063587848,2008-05-16,2009-03-09,,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;cash:0.1000,H001
N002-B,covid_2020_02_2020_03,exact,N002-B,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;cash:0.1000,2020-02-03,2020-03-31,42,-0.08132395653438484,-0.41930447235003543,-1.6180131738390169,0.2888944244951407,-0.18075580176360084,2020-02-17,2020-03-23,,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;cash:0.1000,
N002-B,rate_shock_2022,exact,N002-B,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;cash:0.1000,2022-01-03,2022-12-30,260,-0.16388758869880804,-0.16564763069115707,-1.2610428471978212,0.1307727885392401,-0.18978212446976406,2022-01-03,2022-10-14,,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;cash:0.1000,
N002-C,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,N002-C,SPY:0.4462;QQQ:0.3231;IEF:0.2308,2002-07-30,2003-12-31,360,0.3104400802738474,0.20957605297372828,1.1400794128424745,0.18024530970829772,-0.15045787195623372,2002-08-22,2002-10-09,2002-11-06,SPY:0.2900;QQQ:0.2100;H001:0.2000;IEF:0.1500;SHY:0.1500,H001;SHY
N002-C,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,N002-C,SPY:0.4462;QQQ:0.3231;IEF:0.2308,2008-01-02,2009-12-31,505,-0.07430119055335338,-0.037943991309362435,-0.04055648871856605,0.24045907087157345,-0.38961752464510846,2008-05-16,2009-03-09,,SPY:0.2900;QQQ:0.2100;H001:0.2000;IEF:0.1500;SHY:0.1500,H001;SHY
N002-C,covid_2020_02_2020_03,exact,N002-C,SPY:0.2900;QQQ:0.2100;H001:0.2000;IEF:0.1500;SHY:0.1500,2020-02-03,2020-03-31,42,-0.09801604839003619,-0.4836803024994303,-1.6806812820788908,0.3350108914151452,-0.20691110576437033,2020-02-17,2020-03-23,,SPY:0.2900;QQQ:0.2100;H001:0.2000;IEF:0.1500;SHY:0.1500,
N002-C,rate_shock_2022,exact,N002-C,SPY:0.2900;QQQ:0.2100;H001:0.2000;IEF:0.1500;SHY:0.1500,2022-01-03,2022-12-30,260,-0.16863132793217306,-0.17043695374039058,-1.1931877710273122,0.1415962760559086,-0.19499551777205515,2022-01-03,2022-10-14,,SPY:0.2900;QQQ:0.2100;H001:0.2000;IEF:0.1500;SHY:0.1500,
