variant,mdd_improved_stress_count,mdd_worsened_stress_count,return_improved_stress_count,return_worsened_stress_count,all_stress_mdd_improved,all_stress_return_improved,all_stress_return_and_mdd_improved,has_mdd_trade_off,has_return_trade_off,mdd_improved_stresses,mdd_worsened_stresses,return_improved_stresses,return_worsened_stresses,best_mdd_stress,best_mdd_delta_pp,worst_mdd_stress,worst_mdd_delta_pp
N001-A,3,0,3,0,False,False,False,False,False,gfc_proxy_2008_2009;covid_2020_02_2020_03;rate_shock_2022,,gfc_proxy_2008_2009;covid_2020_02_2020_03;rate_shock_2022,,gfc_proxy_2008_2009,1.7822666996002767,dot_com_proxy_2002_07_2003_12,1.9428902930940243e-14
N001-B,3,0,3,0,False,False,False,False,False,gfc_proxy_2008_2009;covid_2020_02_2020_03;rate_shock_2022,,gfc_proxy_2008_2009;covid_2020_02_2020_03;rate_shock_2022,,gfc_proxy_2008_2009,3.454799522616392,dot_com_proxy_2002_07_2003_12,4.1633363423443377e-14
N002-A,1,3,2,2,False,False,False,True,True,rate_shock_2022,dot_com_proxy_2002_07_2003_12;gfc_proxy_2008_2009;covid_2020_02_2020_03,dot_com_proxy_2002_07_2003_12;rate_shock_2022,gfc_proxy_2008_2009;covid_2020_02_2020_03,rate_shock_2022,3.202917497678051,gfc_proxy_2008_2009,-19.215578425721013
N002-B,4,0,3,1,True,False,False,False,True,dot_com_proxy_2002_07_2003_12;gfc_proxy_2008_2009;covid_2020_02_2020_03;rate_shock_2022,,gfc_proxy_2008_2009;covid_2020_02_2020_03;rate_shock_2022,dot_com_proxy_2002_07_2003_12,gfc_proxy_2008_2009,3.7279416624347306,dot_com_proxy_2002_07_2003_12,1.3937787743612402
N002-C,1,3,2,2,False,False,False,True,True,rate_shock_2022,dot_com_proxy_2002_07_2003_12;gfc_proxy_2008_2009;covid_2020_02_2020_03,dot_com_proxy_2002_07_2003_12;rate_shock_2022,gfc_proxy_2008_2009;covid_2020_02_2020_03,rate_shock_2022,1.590566012807784,gfc_proxy_2008_2009,-7.696040166197637
N003-A,3,1,2,2,False,False,False,True,True,dot_com_proxy_2002_07_2003_12;gfc_proxy_2008_2009;covid_2020_02_2020_03,rate_shock_2022,dot_com_proxy_2002_07_2003_12;covid_2020_02_2020_03,gfc_proxy_2008_2009;rate_shock_2022,gfc_proxy_2008_2009,1.8190006787833115,rate_shock_2022,-4.361067663832027
N003-B,1,3,2,2,False,False,False,True,True,rate_shock_2022,dot_com_proxy_2002_07_2003_12;gfc_proxy_2008_2009;covid_2020_02_2020_03,dot_com_proxy_2002_07_2003_12;rate_shock_2022,gfc_proxy_2008_2009;covid_2020_02_2020_03,rate_shock_2022,1.590566012807784,gfc_proxy_2008_2009,-7.696040166197637
N003-C,1,3,2,2,False,False,False,True,True,covid_2020_02_2020_03,dot_com_proxy_2002_07_2003_12;gfc_proxy_2008_2009;rate_shock_2022,dot_com_proxy_2002_07_2003_12;covid_2020_02_2020_03,gfc_proxy_2008_2009;rate_shock_2022,covid_2020_02_2020_03,0.1747511694481035,gfc_proxy_2008_2009,-4.059731002508482
N004-A,1,1,1,1,False,False,False,True,True,rate_shock_2022,covid_2020_02_2020_03,rate_shock_2022,covid_2020_02_2020_03,rate_shock_2022,1.9332552779298933,covid_2020_02_2020_03,-0.2131202152832162
N004-B,2,0,2,0,False,False,False,False,False,covid_2020_02_2020_03;rate_shock_2022,,covid_2020_02_2020_03;rate_shock_2022,,rate_shock_2022,1.7157788210530516,dot_com_proxy_2002_07_2003_12,1.9428902930940243e-14
N004-C,2,0,1,1,False,False,False,False,True,covid_2020_02_2020_03;rate_shock_2022,,rate_shock_2022,covid_2020_02_2020_03,rate_shock_2022,3.67956667201064,dot_com_proxy_2002_07_2003_12,4.1633363423443377e-14
