date,quarter,groups_present,groups_with_n_ge_3,total_n_stocks,total_market_cap,total_traded_value,hard_pass_ge_8_non_thin_groups
2010-03-31,Q1-2010,12,9,80,654941635530200.0,3564602623889.0,True
2010-06-30,Q2-2010,12,9,86,687092682503530.0,4100986862873.0,True
2010-09-30,Q3-2010,12,9,86,755889520030380.0,4450982752430.0,True
2010-12-30,Q4-2010,11,10,85,850995794541900.0,3998346882342.0,True
2011-03-31,Q1-2011,12,8,83,870320013967980.0,6442514577787.0,True
2011-06-30,Q2-2011,11,9,85,870600881529210.0,4986228152185.0,True
2011-09-30,Q3-2011,12,8,83,736506101876150.0,5175698227059.0,True
2011-12-29,Q4-2011,12,10,87,747847718705995.0,2722164346479.0,True
2012-03-30,Q1-2012,12,10,85,833821543909135.0,4182818974330.0,True
2012-06-29,Q2-2012,12,9,86,783372688676335.0,3340055349671.0,True
2012-09-28,Q3-2012,12,10,84,827920246779029.0,3807854082652.0,True
2012-12-28,Q4-2012,12,10,86,830604276804266.0,2406282666488.0,True
2013-03-29,Q1-2013,12,11,86,831611991732540.0,2336296633139.0,True
2013-06-28,Q2-2013,12,9,88,794054440550310.0,3410367401949.0,True
2013-09-30,Q3-2013,12,10,88,844443984786800.0,2949633306643.0,True
2013-12-30,Q4-2013,12,9,86,870009710077620.0,2360851612045.0,True
2014-03-31,Q1-2014,12,10,88,843420267956950.0,3149108789724.0,True
2014-06-30,Q2-2014,12,9,87,842017705793211.0,2138130828429.0,True
2014-09-30,Q3-2014,12,10,87,856998647383860.0,3445401843238.0,True
2014-12-30,Q4-2014,12,10,89,870008656097765.0,2614010505835.0,True
2015-03-31,Q1-2015,12,11,89,837311538401638.0,3449260292244.0,True
2015-06-30,Q2-2015,12,10,93,843243863549772.0,3592151443231.0,True
2015-09-30,Q3-2015,12,10,90,863961970616502.0,4069798401515.0,True
2015-12-30,Q4-2015,12,10,91,871145577083699.0,2423320485505.0,True
2016-03-31,Q1-2016,12,10,91,910737391247290.0,3597219746730.0,True
2016-06-30,Q2-2016,12,10,90,851883693716040.0,4001812947550.0,True
2016-09-30,Q3-2016,12,10,94,916889773276825.0,4388710374031.0,True
2016-12-29,Q4-2016,12,10,92,949209260368988.0,2182837319749.0,True
2017-03-31,Q1-2017,12,11,95,1002090748390425.0,3420853658323.0,True
2017-06-30,Q2-2017,12,10,96,1149308596736205.0,3895348370844.0,True
2017-09-29,Q3-2017,12,10,94,1152591697049160.0,3729566173860.0,True
2017-12-28,Q4-2017,12,11,94,1154886842859825.0,3238663556373.0,True
2018-03-30,Q1-2018,12,9,92,1161412623439890.0,4892810976543.0,True
2018-06-29,Q2-2018,12,11,92,1093779435245590.0,4544466731531.0,True
2018-09-28,Q3-2018,12,11,93,1133006608640300.0,5621671404707.0,True
2018-12-28,Q4-2018,12,10,92,954428864469230.0,3141076134479.0,True
2019-03-29,Q1-2019,12,10,94,1027700143794505.0,4002687010852.0,True
2019-06-28,Q2-2019,12,9,95,977565983239495.0,3030553039410.0,True
2019-09-30,Q3-2019,12,10,96,1004199849102940.0,2809389962495.0,True
2019-12-30,Q4-2019,12,10,94,1063497813472532.0,2896658525466.0,True
2020-03-31,Q1-2020,12,10,95,878367130598925.0,11668897547001.0,True
2020-06-30,Q2-2020,12,10,96,1007290188535103.0,8827225161364.0,True
2020-09-29,Q3-2020,11,9,98,1141611119952920.0,7297312010755.0,True
2020-12-30,Q4-2020,12,10,96,1455736374277330.0,13584644261345.0,True
2021-03-31,Q1-2021,12,10,92,1531202175943200.0,10718565691743.0,True
2021-06-30,Q2-2021,12,10,94,1618072559574515.0,11808918930928.0,True
2021-09-30,Q3-2021,12,8,97,1545855612530530.0,11670312150469.0,True
2021-12-30,Q4-2021,12,10,98,1617851507133435.0,6932992668478.0,True
2022-03-31,Q1-2022,12,11,98,1545963598642243.0,7409513098427.0,True
2022-06-30,Q2-2022,12,10,94,1308094417049325.0,7014026557172.0,True
2022-09-30,Q3-2022,12,11,95,1256098148775575.0,6127557187961.0,True
2022-12-29,Q4-2022,12,10,93,1266622143071360.0,4408046029260.0,True
2023-03-31,Q1-2023,12,9,97,1418336935841515.0,10737037158075.0,True
2023-06-30,Q2-2023,12,10,97,1462003166320800.0,6370644000931.0,True
2023-09-27,Q3-2023,12,10,98,1436285666843235.0,5526277021537.0,True
2023-12-28,Q4-2023,12,10,97,1601368424720980.0,7859661140117.0,True
2024-03-29,Q1-2024,11,8,96,1663369409622497.0,9372758265713.0,True
2024-06-28,Q2-2024,11,9,96,1678550823250015.0,9025810317528.0,True
2024-09-30,Q3-2024,12,9,96,1572186469535325.0,9209389527257.0,True
2024-12-30,Q4-2024,12,9,97,1451667219448430.0,4243014940874.0,True
2025-03-31,Q1-2025,12,9,96,1534952294119143.0,6749837348134.0,True
2025-06-30,Q2-2025,12,10,97,1917246381325205.0,11175081406076.0,True
2025-09-30,Q3-2025,12,8,97,2160865840127291.0,9317260510185.0,True
2025-12-30,Q4-2025,12,10,98,2748421251781712.0,11310885799748.0,True
2026-03-31,Q1-2026,12,9,98,3349553905126814.0,25931408550210.0,True
2026-05-06,Q2-2026,12,9,96,5140362616783150.0,52607227000000.0,True
