ticker,row_count,first_date,last_date
042670,2669,2010-01-04,2025-12-26
010620,2567,2010-01-04,2025-11-26
000830,1401,2010-01-04,2015-08-26
003600,1304,2010-01-04,2015-07-29
053000,1171,2010-01-04,2014-10-29
001300,1108,2010-01-04,2014-06-26
117930,1103,2010-01-04,2017-02-27
000030,905,2014-11-20,2019-01-08
010520,604,2010-01-13,2015-06-26
115390,572,2010-01-28,2024-04-18
033180,568,2012-07-16,2023-02-03
102280,557,2010-04-19,2023-06-22
067250,509,2010-01-07,2014-01-06
003450,496,2010-01-04,2016-10-14
004940,435,2010-01-04,2013-04-02
064420,424,2010-03-10,2012-12-18
037620,312,2010-01-04,2016-12-20
103130,312,2010-06-30,2019-03-26
900050,308,2010-01-11,2017-09-21
003190,305,2010-01-04,2013-04-23
068870,301,2010-01-06,2016-12-27
093230,274,2012-05-30,2023-05-12
005390,216,2012-02-08,2025-06-10
010050,201,2013-01-29,2022-06-17
002550,200,2010-01-18,2017-05-10
008080,172,2010-01-13,2013-03-26
003410,147,2011-03-15,2024-03-15
005280,144,2010-01-04,2011-03-10
003560,143,2010-08-17,2022-12-02
030790,132,2010-11-09,2022-05-12
007630,128,2015-12-07,2019-06-12
006390,109,2016-05-12,2020-04-22
079440,107,2017-05-11,2020-01-21
010600,104,2010-12-02,2024-04-02
110570,102,2011-10-14,2017-04-06
001140,98,2010-04-08,2023-11-29
008000,96,2010-01-05,2017-10-20
138490,95,2011-06-15,2025-04-22
091090,93,2010-01-06,2023-03-20
002530,90,2013-07-22,2014-02-05
450140,90,2023-01-31,2025-12-10
152550,87,2023-04-05,2026-04-07
101060,81,2010-06-07,2021-07-16
068400,76,2012-07-27,2024-01-10
011800,70,2010-01-07,2012-07-20
015540,63,2015-10-02,2021-03-17
005900,57,2012-10-23,2014-01-28
005190,54,2011-12-06,2015-10-01
144620,54,2012-04-05,2021-02-05
096300,53,2014-12-16,2023-01-25
004550,50,2010-01-06,2011-08-17
010420,50,2010-04-20,2022-01-21
104110,49,2010-04-23,2016-09-29
005980,47,2010-12-13,2018-01-24
000420,44,2010-05-06,2014-01-16
004010,44,2010-07-05,2012-12-26
104120,41,2010-04-20,2016-09-29
027390,39,2014-07-10,2019-11-27
002250,38,2012-10-25,2017-04-10
045710,35,2010-01-05,2011-02-24
005270,34,2010-01-28,2011-05-12
002270,33,2012-10-18,2020-06-11
004130,31,2010-03-31,2018-08-09
004740,31,2012-08-14,2017-06-26
019440,31,2011-06-01,2023-02-27
079660,31,2014-06-03,2019-05-17
017300,29,2010-01-12,2010-03-17
008110,25,2014-01-22,2022-10-28
090970,25,2017-01-10,2017-04-17
008900,21,2012-02-17,2016-03-21
099350,21,2017-07-04,2020-04-24
108070,20,2010-01-04,2010-03-22
051310,19,2010-03-15,2016-04-05
099340,18,2019-02-25,2020-05-08
192520,17,2014-05-22,2015-04-28
011720,14,2012-07-03,2015-12-01
017170,14,2010-08-16,2010-12-09
138250,14,2015-03-27,2021-08-19
034300,12,2014-10-15,2024-05-30
152330,11,2015-12-29,2019-04-30
000360,10,2013-01-28,2013-12-03
012410,9,2012-12-27,2013-03-13
018410,9,2010-02-22,2010-03-26
019300,9,2015-09-14,2016-08-03
011160,8,2010-08-18,2019-11-25
103150,8,2010-05-19,2010-11-30
008540,7,2010-02-19,2010-05-03
016420,7,2010-04-15,2014-04-21
012600,6,2016-10-07,2020-01-17
015350,6,2013-11-20,2013-12-02
192530,6,2014-05-22,2014-05-30
002000,5,2018-07-31,2018-09-13
005620,5,2010-04-13,2017-06-20
007190,5,2016-01-06,2016-10-18
950070,5,2011-01-25,2011-03-22
950100,5,2012-04-30,2014-08-08
022520,4,2011-09-15,2011-10-27
033660,4,2016-12-23,2021-04-15
090980,4,2017-03-07,2017-03-16
168490,4,2024-04-02,2024-11-22
000800,3,2014-11-07,2015-04-08
002300,3,2018-05-04,2020-05-08
003940,3,2010-07-22,2015-04-16
008020,3,2012-06-29,2016-05-11
008320,3,2010-01-14,2010-01-20
010460,3,2011-11-07,2014-04-11
012580,3,2010-06-11,2010-06-28
049770,3,2011-01-17,2024-05-24
011400,2,2010-03-22,2010-03-25
014590,2,2010-01-14,2010-09-16
026870,2,2012-08-08,2012-08-17
114410,2,2010-04-13,2010-04-14
005450,1,2018-06-11,2018-06-11
007490,1,2010-03-26,2010-03-26
009280,1,2013-04-15,2013-04-15
009720,1,2010-10-07,2010-10-07
012090,1,2010-02-03,2010-02-03
013240,1,2010-03-26,2010-03-26
021960,1,2017-04-17,2017-04-17
153360,1,2017-03-16,2017-03-16
159650,1,2012-12-28,2012-12-28
172580,1,2017-03-16,2017-03-16
282690,1,2017-11-29,2017-11-29
950010,1,2015-10-28,2015-10-28
