ticker,final_sector_code,final_sector_name,classification_date,krx_industry_name
095570,99,기타,2026-05-06,일반서비스
006840,06,금융,2026-05-06,기타금융
027410,06,금융,2026-05-06,기타금융
282330,09,소비재/유통,2026-05-06,유통
138930,06,금융,2026-05-06,기타금융
001460,09,소비재/유통,2026-05-06,섬유·의류
001465,09,소비재/유통,2026-05-06,섬유·의류
001040,06,금융,2026-05-06,기타금융
079160,08,인터넷/게임/SW,2026-05-06,오락·문화
00104K,06,금융,2026-05-06,기타금융
000120,05,조선/기계/산업재,2026-05-06,운송·창고
011150,10,음식료,2026-05-06,음식료·담배
011155,10,음식료,2026-05-06,음식료·담배
001045,06,금융,2026-05-06,기타금융
097950,10,음식료,2026-05-06,음식료·담배
097955,10,음식료,2026-05-06,음식료·담배
000480,03,2차전지/화학/소재,2026-05-06,비금속
000590,06,금융,2026-05-06,기타금융
012030,08,인터넷/게임/SW,2026-05-06,IT 서비스
005830,06,금융,2026-05-06,보험
016610,06,금융,2026-05-06,증권
000990,01,반도체/IT하드웨어,2026-05-06,전기·전자
000300,02,자동차/운송장비,2026-05-06,운송장비·부품
001530,09,소비재/유통,2026-05-06,유통
015590,05,조선/기계/산업재,2026-05-06,기계·장비
000210,03,2차전지/화학/소재,2026-05-06,화학
000215,03,2차전지/화학/소재,2026-05-06,화학
375500,12,건설/부동산,2026-05-06,건설
37550L,12,건설/부동산,2026-05-06,건설
37550K,12,건설/부동산,2026-05-06,건설
007340,01,반도체/IT하드웨어,2026-05-06,전기·전자
004840,03,2차전지/화학/소재,2026-05-06,화학
155660,04,철강금속,2026-05-06,금속
069730,04,철강금속,2026-05-06,금속
017860,03,2차전지/화학/소재,2026-05-06,화학
092780,02,자동차/운송장비,2026-05-06,운송장비·부품
017940,09,소비재/유통,2026-05-06,유통
365550,12,건설/부동산,2026-05-06,부동산
383220,09,소비재/유통,2026-05-06,섬유·의류
007700,06,금융,2026-05-06,기타금융
114090,08,인터넷/게임/SW,2026-05-06,오락·문화
078930,06,금융,2026-05-06,기타금융
006360,12,건설/부동산,2026-05-06,건설
001250,09,소비재/유통,2026-05-06,유통
007070,09,소비재/유통,2026-05-06,유통
078935,06,금융,2026-05-06,기타금융
499790,06,금융,2026-05-06,기타금융
012630,06,금융,2026-05-06,기타금융
039570,12,건설/부동산,2026-05-06,건설
089470,03,2차전지/화학/소재,2026-05-06,화학
267270,05,조선/기계/산업재,2026-05-06,기계·장비
009540,06,금융,2026-05-06,기타금융
267250,06,금융,2026-05-06,기타금융
443060,99,기타,2026-05-06,일반서비스
071970,05,조선/기계/산업재,2026-05-06,기계·장비
322000,01,반도체/IT하드웨어,2026-05-06,전기·전자
267260,01,반도체/IT하드웨어,2026-05-06,전기·전자
329180,02,자동차/운송장비,2026-05-06,운송장비·부품
097230,12,건설/부동산,2026-05-06,건설
014790,12,건설/부동산,2026-05-06,건설
003580,09,소비재/유통,2026-05-06,유통
204320,02,자동차/운송장비,2026-05-06,운송장비·부품
060980,06,금융,2026-05-06,기타금융
011200,05,조선/기계/산업재,2026-05-06,운송·창고
035000,99,기타,2026-05-06,일반서비스
002460,12,건설/부동산,2026-05-06,건설
487570,06,금융,2026-05-06,기타금융
298050,03,2차전지/화학/소재,2026-05-06,화학
015360,99,기타,2026-05-06,일반서비스
294870,12,건설/부동산,2026-05-06,건설
175330,06,금융,2026-05-06,기타금융
234080,07,헬스케어,2026-05-06,제약
001060,07,헬스케어,2026-05-06,제약
001067,07,헬스케어,2026-05-06,제약
001065,07,헬스케어,2026-05-06,제약
096760,06,금융,2026-05-06,기타금융
008970,04,철강금속,2026-05-06,금속
105560,06,금융,2026-05-06,기타금융
415640,06,금융,2026-05-06,기타금융
432320,12,건설/부동산,2026-05-06,부동산
002380,03,2차전지/화학/소재,2026-05-06,화학
344820,03,2차전지/화학/소재,2026-05-06,비금속
009070,05,조선/기계/산업재,2026-05-06,운송·창고
009440,06,금융,2026-05-06,기타금융
119650,05,조선/기계/산업재,2026-05-06,기계·장비
092220,01,반도체/IT하드웨어,2026-05-06,전기·전자
003620,02,자동차/운송장비,2026-05-06,운송장비·부품
016380,04,철강금속,2026-05-06,금속
001390,03,2차전지/화학/소재,2026-05-06,화학
001940,04,철강금속,2026-05-06,금속
025000,03,2차전지/화학/소재,2026-05-06,화학
092230,03,2차전지/화학/소재,2026-05-06,화학
000040,02,자동차/운송장비,2026-05-06,운송장비·부품
044450,05,조선/기계/산업재,2026-05-06,운송·창고
030200,08,인터넷/게임/SW,2026-05-06,통신
033780,10,음식료,2026-05-06,음식료·담배
058850,08,인터넷/게임/SW,2026-05-06,IT 서비스
058860,08,인터넷/게임/SW,2026-05-06,IT 서비스
093050,09,소비재/유통,2026-05-06,섬유·의류
003550,06,금융,2026-05-06,기타금융
034220,01,반도체/IT하드웨어,2026-05-06,전기·전자
051900,03,2차전지/화학/소재,2026-05-06,화학
051905,03,2차전지/화학/소재,2026-05-06,화학
064400,08,인터넷/게임/SW,2026-05-06,IT 서비스
373220,01,반도체/IT하드웨어,2026-05-06,전기·전자
003555,06,금융,2026-05-06,기타금융
032640,08,인터넷/게임/SW,2026-05-06,통신
011070,01,반도체/IT하드웨어,2026-05-06,전기·전자
066570,01,반도체/IT하드웨어,2026-05-06,전기·전자
066575,01,반도체/IT하드웨어,2026-05-06,전기·전자
037560,08,인터넷/게임/SW,2026-05-06,오락·문화
051910,03,2차전지/화학/소재,2026-05-06,화학
051915,03,2차전지/화학/소재,2026-05-06,화학
079550,04,철강금속,2026-05-06,금속
006260,06,금융,2026-05-06,기타금융
010120,01,반도체/IT하드웨어,2026-05-06,전기·전자
000680,09,소비재/유통,2026-05-06,유통
229640,06,금융,2026-05-06,기타금융
108320,01,반도체/IT하드웨어,2026-05-06,전기·전자
001120,09,소비재/유통,2026-05-06,유통
108670,03,2차전지/화학/소재,2026-05-06,화학
108675,03,2차전지/화학/소재,2026-05-06,화학
383800,06,금융,2026-05-06,기타금융
38380K,06,금융,2026-05-06,기타금융
023150,10,음식료,2026-05-06,음식료·담배
035420,08,인터넷/게임/SW,2026-05-06,IT 서비스
036570,08,인터넷/게임/SW,2026-05-06,IT 서비스
181710,08,인터넷/게임/SW,2026-05-06,IT 서비스
400760,12,건설/부동산,2026-05-06,부동산
005940,06,금융,2026-05-06,증권
005945,06,금융,2026-05-06,증권
338100,12,건설/부동산,2026-05-06,부동산
034310,99,기타,2026-05-06,일반서비스
030190,08,인터넷/게임/SW,2026-05-06,IT 서비스
008260,04,철강금속,2026-05-06,금속
004250,03,2차전지/화학/소재,2026-05-06,화학
004255,03,2차전지/화학/소재,2026-05-06,화학
456040,03,2차전지/화학/소재,2026-05-06,화학
010060,06,금융,2026-05-06,기타금융
178920,03,2차전지/화학/소재,2026-05-06,화학
001340,03,2차전지/화학/소재,2026-05-06,화학
005490,04,철강금속,2026-05-06,금속
010950,03,2차전지/화학/소재,2026-05-06,화학
010955,03,2차전지/화학/소재,2026-05-06,화학
034120,08,인터넷/게임/SW,2026-05-06,오락·문화
003080,03,2차전지/화학/소재,2026-05-06,화학
005090,11,에너지/유틸리티,2026-05-06,전기·가스
001380,02,자동차/운송장비,2026-05-06,운송장비·부품
004060,09,소비재/유통,2026-05-06,유통
001770,04,철강금속,2026-05-06,금속
002360,03,2차전지/화학/소재,2026-05-06,화학
009160,04,철강금속,2026-05-06,금속
033530,02,자동차/운송장비,2026-05-06,운송장비·부품
123700,02,자동차/운송장비,2026-05-06,운송장비·부품
025530,09,소비재/유통,2026-05-06,유통
034730,06,금융,2026-05-06,기타금융
011790,03,2차전지/화학/소재,2026-05-06,화학
018670,09,소비재/유통,2026-05-06,유통
001740,09,소비재/유통,2026-05-06,유통
006120,06,금융,2026-05-06,기타금융
006125,06,금융,2026-05-06,기타금융
210980,12,건설/부동산,2026-05-06,부동산
395400,12,건설/부동산,2026-05-06,부동산
302440,07,헬스케어,2026-05-06,제약
326030,99,기타,2026-05-06,일반서비스
402340,06,금융,2026-05-06,기타금융
361610,01,반도체/IT하드웨어,2026-05-06,전기·전자
100090,04,철강금속,2026-05-06,금속
03473K,06,금융,2026-05-06,기타금융
096770,03,2차전지/화학/소재,2026-05-06,화학
096775,03,2차전지/화학/소재,2026-05-06,화학
475150,12,건설/부동산,2026-05-06,건설
001510,06,금융,2026-05-06,증권
001515,06,금융,2026-05-06,증권
