ticker,concept,covered,matched_aliases
AAPL,Revenue,1,RevenueFromContractWithCustomerExcludingAssessedTax|Revenues|SalesRevenueNet
AAPL,NetIncome,1,NetIncomeLoss
AAPL,OperatingIncome,1,OperatingIncomeLoss|IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest|IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments
AAPL,StockholdersEquity,1,StockholdersEquity
AAPL,Assets,1,Assets|AssetsCurrent
AAPL,CFO,1,NetCashProvidedByUsedInOperatingActivities|NetCashProvidedByUsedInOperatingActivitiesContinuingOperations
AAPL,Buybacks,1,PaymentsForRepurchaseOfCommonStock
AAPL,Cash,1,CashAndCashEquivalentsAtCarryingValue|CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents|Cash
AAPL,LongTermDebt,1,LongTermDebt|LongTermDebtNoncurrent|LongTermDebtCurrent
AAPL,TotalLiabilities,1,Liabilities|LiabilitiesAndStockholdersEquity|LiabilitiesCurrent
AAPL,EPS_Basic,1,EarningsPerShareBasic
AAPL,EPS_Diluted,1,EarningsPerShareDiluted
AAPL,CapEx,1,PaymentsToAcquirePropertyPlantAndEquipment|PaymentsToAcquireProductiveAssets|CapitalExpendituresIncurredButNotYetPaid
AAPL,Shares,1,WeightedAverageNumberOfDilutedSharesOutstanding|WeightedAverageNumberOfSharesOutstandingBasic|CommonStockSharesOutstanding
AAPL,Dividends,1,PaymentsOfDividends|PaymentsOfDividendsCommonStock|CommonStockDividendsPerShareDeclared
MSFT,Revenue,1,RevenueFromContractWithCustomerExcludingAssessedTax|Revenues|SalesRevenueNet|SalesRevenueGoodsNet
MSFT,NetIncome,1,NetIncomeLoss
MSFT,OperatingIncome,1,OperatingIncomeLoss|IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest|IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments
MSFT,StockholdersEquity,1,StockholdersEquity
MSFT,Assets,1,Assets|AssetsCurrent
MSFT,CFO,1,NetCashProvidedByUsedInOperatingActivities|NetCashProvidedByUsedInOperatingActivitiesContinuingOperations
MSFT,Buybacks,1,PaymentsForRepurchaseOfCommonStock
MSFT,Cash,1,CashAndCashEquivalentsAtCarryingValue|CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents
MSFT,LongTermDebt,1,LongTermDebt|LongTermDebtNoncurrent|LongTermDebtCurrent|DebtLongtermAndShorttermCombinedAmount
MSFT,TotalLiabilities,1,Liabilities|LiabilitiesAndStockholdersEquity|LiabilitiesCurrent
MSFT,EPS_Basic,1,EarningsPerShareBasic
MSFT,EPS_Diluted,1,EarningsPerShareDiluted
MSFT,CapEx,1,PaymentsToAcquirePropertyPlantAndEquipment
MSFT,Shares,1,WeightedAverageNumberOfDilutedSharesOutstanding|WeightedAverageNumberOfSharesOutstandingBasic|CommonStockSharesOutstanding
MSFT,Dividends,1,PaymentsOfDividendsCommonStock|CommonStockDividendsPerShareDeclared
GOOGL,Revenue,1,RevenueFromContractWithCustomerExcludingAssessedTax|Revenues
GOOGL,NetIncome,1,NetIncomeLoss|NetIncomeLossAvailableToCommonStockholdersBasic
GOOGL,OperatingIncome,1,OperatingIncomeLoss|IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest|IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments
GOOGL,StockholdersEquity,1,StockholdersEquity
GOOGL,Assets,1,Assets|AssetsCurrent
GOOGL,CFO,1,NetCashProvidedByUsedInOperatingActivities
GOOGL,Buybacks,1,PaymentsForRepurchaseOfCommonStock
GOOGL,Cash,1,CashAndCashEquivalentsAtCarryingValue|CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents|Cash
GOOGL,LongTermDebt,1,LongTermDebt|LongTermDebtNoncurrent|LongTermDebtCurrent
GOOGL,TotalLiabilities,1,Liabilities|LiabilitiesAndStockholdersEquity|LiabilitiesCurrent
GOOGL,EPS_Basic,1,EarningsPerShareBasic|IncomeLossFromContinuingOperationsPerBasicShare
GOOGL,EPS_Diluted,1,EarningsPerShareDiluted|IncomeLossFromContinuingOperationsPerDilutedShare
GOOGL,CapEx,1,PaymentsToAcquirePropertyPlantAndEquipment|CapitalExpendituresIncurredButNotYetPaid
