sector,sic,ticker_count
Pharmaceutical Preparations,2834,10
Semiconductors & Related Devices,3674,7
Services-Prepackaged Software,7372,6
National Commercial Banks,6021,4
"Biological Products, (No Diagnostic Substances)",2836,3
Electric Services,4911,3
Hospital & Medical Service Plans,6324,3
Motor Vehicles & Passenger Car Bodies,3711,3
"Security Brokers, Dealers & Flotation Companies",6211,3
"Services-Business Services, NEC",7389,3
"Services-Computer Programming, Data Processing, Etc.",7370,3
Beverages,2080,2
Cable & Other Pay Television Services,4841,2
Industrial Inorganic Chemicals,2810,2
Petroleum Refining,2911,2
Retail-Variety Stores,5331,2
"Special Industry Machinery, NEC",3559,2
Telephone Communications (No Radiotelephone),4813,2
Air Courier Services,4513,1
Aircraft,3721,1
Aircraft Engines & Engine Parts,3724,1
Computer & office Equipment,3570,1
Computer Communications Equipment,3576,1
Construction Machinery & Equip,3531,1
Electric & Other Services Combined,4931,1
Electromedical & Electrotherapeutic Apparatus,3845,1
Electronic & Other Electrical Equipment (No Computer Equip),3600,1
Electronic Computers,3571,1
Farm Machinery & Equipment,3523,1
Finance Services,6199,1
"Fire, Marine & Casualty Insurance",6331,1
Gold and Silver Ores,1040,1
Guided Missiles & Space Vehicles & Parts,3760,1
"Industrial Instruments For Measurement, Display, and Control",3823,1
Investment Advice,6282,1
"Measuring & Controlling Devices, NEC",3829,1
Metal Mining,1000,1
Optical Instruments & Lenses,3827,1
"Orthopedic, Prosthetic & Surgical Appliances & Supplies",3842,1
"Plastic Materials, Synth Resins & Nonvulcan Elastomers",2821,1
Radio & Tv Broadcasting & Communications Equipment,3663,1
Radiotelephone Communications,4812,1
"Railroads, Line-Haul Operating",4011,1
Retail-Catalog & Mail-Order Houses,5961,1
Retail-Eating  Places,5812,1
Retail-Eating & Drinking Places,5810,1
Retail-Lumber & Other Building Materials Dealers,5211,1
Rubber & Plastics Footwear,3021,1
"Services-Consumer Credit Reporting, Collection Agencies",7320,1
Services-Miscellaneous Amusement & Recreation,7990,1
Services-Video Tape Rental,7841,1
"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",2840,1
Surgical & Medical Instruments & Apparatus,3841,1
Trucking & Courier Services (No Air),4210,1
"Wholesale-Jewelry, Watches, Precious Stones & Metals",5094,1
