rebalance_period_end,available_date,execution_date,ticker,sector,value_score,rank,weight,entry_close
2012-03-31,2012-05-05,2012-05-07,NFLX,Services-Video Tape Rental,11.819199553595304,1,0.03333333333333333,1.0492860078811646
2012-03-31,2012-05-05,2012-05-07,MA,"Services-Business Services, NEC",0.3975594374344058,2,0.03333333333333333,40.21076965332031
2012-03-31,2012-05-05,2012-05-07,C,National Commercial Banks,0.25697803586284346,3,0.03333333333333333,23.30144500732422
2012-03-31,2012-05-05,2012-05-07,VZ,Telephone Communications (No Radiotelephone),0.0204178624105606,4,0.03333333333333333,19.910314559936523
2012-03-31,2012-05-05,2012-05-07,GILD,"Biological Products, (No Diagnostic Substances)",0.010693290335014913,5,0.03333333333333333,17.23615837097168
2012-03-31,2012-05-05,2012-05-07,UNP,"Railroads, Line-Haul Operating",-0.02244467610342677,6,0.03333333333333333,41.83892440795898
2012-03-31,2012-05-05,2012-05-07,LMT,Guided Missiles & Space Vehicles & Parts,-0.06009355189216316,7,0.03333333333333333,57.80459976196289
2012-03-31,2012-05-05,2012-05-07,DHR,"Industrial Instruments For Measurement, Display, and Control",-0.07466917949899475,8,0.03333333333333333,21.68198585510254
2012-03-31,2012-05-05,2012-05-07,NKE,Rubber & Plastics Footwear,-0.11496019512854846,9,0.03333333333333333,23.22284698486328
2012-03-31,2012-05-05,2012-05-07,CVX,Petroleum Refining,-0.1355386390102442,10,0.03333333333333333,58.14188003540039
2012-03-31,2012-05-05,2012-05-07,T,Telephone Communications (No Radiotelephone),-0.14550937089637456,11,0.03333333333333333,9.389631271362305
2012-03-31,2012-05-05,2012-05-07,ELV,Hospital & Medical Service Plans,-0.15670875613034851,12,0.03333333333333333,53.91519165039063
2012-03-31,2012-05-05,2012-05-07,MSFT,Services-Prepackaged Software,-0.2590628463602858,13,0.03333333333333333,24.10713577270508
2012-03-31,2012-05-05,2012-05-07,RTX,Aircraft Engines & Engine Parts,-0.2638054409349376,14,0.03333333333333333,35.77824783325195
2012-03-31,2012-05-05,2012-05-07,UNH,Hospital & Medical Service Plans,-0.27390118738505664,15,0.03333333333333333,43.98545837402344
2012-03-31,2012-05-05,2012-05-07,AXP,Finance Services,-0.31458263854512747,16,0.03333333333333333,49.54586791992188
2012-03-31,2012-05-05,2012-05-07,KO,Beverages,-0.3499394301435983,17,0.03333333333333333,25.081043243408203
2012-03-31,2012-05-05,2012-05-07,CSCO,Computer Communications Equipment,-0.35222554217006125,18,0.03333333333333333,12.506620407104492
2012-03-31,2012-05-05,2012-05-07,SBUX,Retail-Eating & Drinking Places,-0.3540963904766244,19,0.03333333333333333,21.19735145568848
2012-03-31,2012-05-05,2012-05-07,AMAT,Semiconductors & Related Devices,-0.3601748017885269,20,0.03333333333333333,9.08803939819336
2012-03-31,2012-05-05,2012-05-07,INTC,Semiconductors & Related Devices,-0.404384274154364,21,0.03333333333333333,19.47865867614746
2012-03-31,2012-05-05,2012-05-07,MCD,Retail-Eating  Places,-0.4223098599763435,22,0.03333333333333333,65.73583984375
2012-03-31,2012-05-05,2012-05-07,PG,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",-0.4398681412629055,23,0.03333333333333333,43.05352020263672
2012-03-31,2012-05-05,2012-05-07,TXN,Semiconductors & Related Devices,-0.46991983999303455,24,0.03333333333333333,20.88493537902832
2012-03-31,2012-05-05,2012-05-07,SYK,Surgical & Medical Instruments & Apparatus,-0.49296967558917415,25,0.03333333333333333,45.511505126953125
2012-03-31,2012-05-05,2012-05-07,MU,Semiconductors & Related Devices,-0.4935913101465677,26,0.03333333333333333,6.339367866516113
2012-03-31,2012-05-05,2012-05-07,BMY,Pharmaceutical Preparations,-0.4945408045535685,27,0.03333333333333333,21.040807723999023
2012-03-31,2012-05-05,2012-05-07,ADBE,Services-Prepackaged Software,-0.5108310898566204,28,0.03333333333333333,32.52000045776367
2012-03-31,2012-05-05,2012-05-07,AMZN,Retail-Catalog & Mail-Order Houses,-0.5115737322073313,29,0.03333333333333333,11.258000373840332
2012-03-31,2012-05-05,2012-05-07,APD,Industrial Inorganic Chemicals,-0.5246597511921213,30,0.03333333333333333,55.91165542602539
2012-06-30,2012-08-04,2012-08-06,NFLX,Services-Video Tape Rental,13.219127922567806,1,0.03333333333333333,0.8112859725952148
2012-06-30,2012-08-04,2012-08-06,MA,"Services-Business Services, NEC",0.8160031297748873,2,0.03333333333333333,38.73696517944336
2012-06-30,2012-08-04,2012-08-06,C,National Commercial Banks,0.5283269269330788,3,0.03333333333333333,21.02108383178711
2012-06-30,2012-08-04,2012-08-06,NKE,Rubber & Plastics Footwear,0.1623677664198786,4,0.03333333333333333,19.97507095336914
2012-06-30,2012-08-04,2012-08-06,VZ,Telephone Communications (No Radiotelephone),0.12224359036437632,5,0.03333333333333333,22.20119285583496
2012-06-30,2012-08-04,2012-08-06,ELV,Hospital & Medical Service Plans,0.12102082757814726,6,0.03333333333333333,44.42649841308594
2012-06-30,2012-08-04,2012-08-06,WMT,Retail-Variety Stores,0.09653510250744407,7,0.03333333333333333,18.835538864135746
2012-06-30,2012-08-04,2012-08-06,UNP,"Railroads, Line-Haul Operating",0.07050565794810967,8,0.03333333333333333,45.67753219604492
2012-06-30,2012-08-04,2012-08-06,DHR,"Industrial Instruments For Measurement, Display, and Control",0.04446357985829899,9,0.03333333333333333,21.42176055908203
2012-06-30,2012-08-04,2012-08-06,GILD,"Biological Products, (No Diagnostic Substances)",0.03839977658005478,10,0.03333333333333333,19.9096622467041
2012-06-30,2012-08-04,2012-08-06,LMT,Guided Missiles & Space Vehicles & Parts,0.03670408186812681,11,0.03333333333333333,59.62960815429688
2012-06-30,2012-08-04,2012-08-06,ABT,Pharmaceutical Preparations,0.019648757031978645,12,0.03333333333333333,24.40003776550293
2012-06-30,2012-08-04,2012-08-06,CVX,Petroleum Refining,-0.06234551454747178,13,0.03333333333333333,63.208003997802734
2012-06-30,2012-08-04,2012-08-06,T,Telephone Communications (No Radiotelephone),-0.15187172917793573,14,0.03333333333333333,10.878500938415527
2012-06-30,2012-08-04,2012-08-06,UNH,Hospital & Medical Service Plans,-0.156433170237594,15,0.03333333333333333,40.75202941894531
2012-06-30,2012-08-04,2012-08-06,RTX,Aircraft Engines & Engine Parts,-0.15806008513499056,16,0.03333333333333333,34.97394180297852
2012-06-30,2012-08-04,2012-08-06,SBUX,Retail-Eating & Drinking Places,-0.16978685324858564,17,0.03333333333333333,16.67705726623535
2012-06-30,2012-08-04,2012-08-06,CSCO,Computer Communications Equipment,-0.215820018036937,18,0.03333333333333333,10.99122714996338
2012-06-30,2012-08-04,2012-08-06,AXP,Finance Services,-0.23033044608710324,19,0.03333333333333333,47.2326774597168
2012-06-30,2012-08-04,2012-08-06,MSFT,Services-Prepackaged Software,-0.25834632611449343,20,0.03333333333333333,23.71113586425781
2012-06-30,2012-08-04,2012-08-06,KO,Beverages,-0.29253833334600643,21,0.03333333333333333,26.350231170654297
2012-06-30,2012-08-04,2012-08-06,UPS,Trucking & Courier Services (No Air),-0.3111319304520998,22,0.03333333333333333,46.09366607666016
2012-06-30,2012-08-04,2012-08-06,AMGN,"Biological Products, (No Diagnostic Substances)",-0.31355933360640265,23,0.03333333333333333,56.49958419799805
2012-06-30,2012-08-04,2012-08-06,INTC,Semiconductors & Related Devices,-0.3346814725152889,24,0.03333333333333333,18.622941970825195
2012-06-30,2012-08-04,2012-08-06,HD,Retail-Lumber & Other Building Materials Dealers,-0.3349422935777747,25,0.03333333333333333,37.89851760864258
2012-06-30,2012-08-04,2012-08-06,AMAT,Semiconductors & Related Devices,-0.34976277872165185,26,0.03333333333333333,9.23913288116455
2012-06-30,2012-08-04,2012-08-06,CAT,Construction Machinery & Equip,-0.35531364840413887,27,0.03333333333333333,61.19430923461914
2012-06-30,2012-08-04,2012-08-06,MCD,Retail-Eating  Places,-0.36749306295476347,28,0.03333333333333333,62.21347427368164
2012-06-30,2012-08-04,2012-08-06,PG,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",-0.4250587921897332,29,0.03333333333333333,44.48138427734375
2012-06-30,2012-08-04,2012-08-06,SYK,Surgical & Medical Instruments & Apparatus,-0.436671433693969,30,0.03333333333333333,44.69609451293945
2012-09-30,2012-11-04,2012-11-05,NFLX,Services-Video Tape Rental,11.251961528560518,1,0.03333333333333333,1.1177140474319458
2012-09-30,2012-11-04,2012-11-05,LRCX,"Special Industry Machinery, NEC",3.0480575626015485,2,0.03333333333333333,3.1276869773864746
