rebalance_period_end,available_date,execution_date,ticker,sector,qvsy_score,rank,weight,entry_close
2012-03-31,2012-05-05,2012-05-07,NFLX,Services-Video Tape Rental,17.522179193930018,1,0.03333333333333333,1.0492860078811646
2012-03-31,2012-05-05,2012-05-07,UNH,Hospital & Medical Service Plans,5.101297827852651,2,0.03333333333333333,43.98545837402344
2012-03-31,2012-05-05,2012-05-07,T,Telephone Communications (No Radiotelephone),2.8894227323858446,3,0.03333333333333333,9.389631271362305
2012-03-31,2012-05-05,2012-05-07,MCD,Retail-Eating  Places,2.769016348134033,4,0.03333333333333333,65.73583984375
2012-03-31,2012-05-05,2012-05-07,KO,Beverages,1.8087393769351803,5,0.03333333333333333,25.081043243408203
2012-03-31,2012-05-05,2012-05-07,MA,"Services-Business Services, NEC",1.587861690312423,6,0.03333333333333333,40.21076965332031
2012-03-31,2012-05-05,2012-05-07,MSFT,Services-Prepackaged Software,1.5149205540983899,7,0.03333333333333333,24.10713577270508
2012-03-31,2012-05-05,2012-05-07,CVX,Petroleum Refining,1.3717914199519325,8,0.03333333333333333,58.14188003540039
2012-03-31,2012-05-05,2012-05-07,NKE,Rubber & Plastics Footwear,1.2660439501547938,9,0.03333333333333333,23.22284698486328
2012-03-31,2012-05-05,2012-05-07,BMY,Pharmaceutical Preparations,1.00528399967758,10,0.03333333333333333,21.040807723999023
2012-03-31,2012-05-05,2012-05-07,GILD,"Biological Products, (No Diagnostic Substances)",0.7993443487261698,11,0.03333333333333333,17.23615837097168
2012-03-31,2012-05-05,2012-05-07,SBUX,Retail-Eating & Drinking Places,0.7920482215911497,12,0.03333333333333333,21.19735145568848
2012-03-31,2012-05-05,2012-05-07,INTC,Semiconductors & Related Devices,0.3345187156305628,13,0.03333333333333333,19.47865867614746
2012-03-31,2012-05-05,2012-05-07,AMAT,Semiconductors & Related Devices,0.30219140459247085,14,0.03333333333333333,9.08803939819336
2012-03-31,2012-05-05,2012-05-07,SPGI,"Services-Consumer Credit Reporting, Collection Agencies",0.2678376246510898,15,0.03333333333333333,39.52089309692383
2012-03-31,2012-05-05,2012-05-07,UNP,"Railroads, Line-Haul Operating",0.08195819464105308,16,0.03333333333333333,41.83892440795898
2012-03-31,2012-05-05,2012-05-07,VZ,Telephone Communications (No Radiotelephone),0.06871006798467988,17,0.03333333333333333,19.910314559936523
2012-03-31,2012-05-05,2012-05-07,RTX,Aircraft Engines & Engine Parts,-0.010132383449322324,18,0.03333333333333333,35.77824783325195
2012-03-31,2012-05-05,2012-05-07,PG,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",-0.3543812354023418,19,0.03333333333333333,43.05352020263672
2012-03-31,2012-05-05,2012-05-07,APD,Industrial Inorganic Chemicals,-0.4863116767949797,20,0.03333333333333333,55.91165542602539
2012-03-31,2012-05-05,2012-05-07,ELV,Hospital & Medical Service Plans,-1.0743571181170273,21,0.03333333333333333,53.91519165039063
2012-03-31,2012-05-05,2012-05-07,BIIB,"Biological Products, (No Diagnostic Substances)",-1.144773971474742,22,0.03333333333333333,132.50999450683594
2012-03-31,2012-05-05,2012-05-07,SYK,Surgical & Medical Instruments & Apparatus,-1.266134907690059,23,0.03333333333333333,45.511505126953125
2012-03-31,2012-05-05,2012-05-07,DHR,"Industrial Instruments For Measurement, Display, and Control",-1.4477776094604689,24,0.03333333333333333,21.68198585510254
2012-03-31,2012-05-05,2012-05-07,ADBE,Services-Prepackaged Software,-1.467378577449573,25,0.03333333333333333,32.52000045776367
2012-03-31,2012-05-05,2012-05-07,AMZN,Retail-Catalog & Mail-Order Houses,-1.5642966981871829,26,0.03333333333333333,11.258000373840332
2012-03-31,2012-05-05,2012-05-07,COST,Retail-Variety Stores,-1.571523327724532,27,0.03333333333333333,60.507911682128906
2012-03-31,2012-05-05,2012-05-07,CSCO,Computer Communications Equipment,-1.5761947042982873,28,0.03333333333333333,12.506620407104492
2012-03-31,2012-05-05,2012-05-07,FDX,Air Courier Services,-1.6487291505110995,29,0.03333333333333333,74.6551284790039
2012-03-31,2012-05-05,2012-05-07,PEP,Beverages,-1.7604610921750488,30,0.03333333333333333,43.85214614868164
2012-06-30,2012-08-04,2012-08-06,NFLX,Services-Video Tape Rental,14.06500754680205,1,0.03333333333333333,0.8112859725952148
2012-06-30,2012-08-04,2012-08-06,WMT,Retail-Variety Stores,3.2443203648019225,2,0.03333333333333333,18.835538864135746
2012-06-30,2012-08-04,2012-08-06,T,Telephone Communications (No Radiotelephone),3.141882874506968,3,0.03333333333333333,10.878500938415527
2012-06-30,2012-08-04,2012-08-06,MCD,Retail-Eating  Places,2.851144213347438,4,0.03333333333333333,62.21347427368164
2012-06-30,2012-08-04,2012-08-06,UPS,Trucking & Courier Services (No Air),2.8366957062237566,5,0.03333333333333333,46.09366607666016
2012-06-30,2012-08-04,2012-08-06,KO,Beverages,2.800542043105647,6,0.03333333333333333,26.350231170654297
2012-06-30,2012-08-04,2012-08-06,NKE,Rubber & Plastics Footwear,2.569484156913841,7,0.03333333333333333,19.97507095336914
2012-06-30,2012-08-04,2012-08-06,UNH,Hospital & Medical Service Plans,2.5192012871903207,8,0.03333333333333333,40.75202941894531
2012-06-30,2012-08-04,2012-08-06,MA,"Services-Business Services, NEC",2.4670154001899203,9,0.03333333333333333,38.73696517944336
2012-06-30,2012-08-04,2012-08-06,SPGI,"Services-Consumer Credit Reporting, Collection Agencies",1.969858660670503,10,0.03333333333333333,39.615909576416016
2012-06-30,2012-08-04,2012-08-06,CVX,Petroleum Refining,1.8756821019533132,11,0.03333333333333333,63.208003997802734
2012-06-30,2012-08-04,2012-08-06,ABT,Pharmaceutical Preparations,1.5739006079819642,12,0.03333333333333333,24.40003776550293
2012-06-30,2012-08-04,2012-08-06,BMY,Pharmaceutical Preparations,1.5353788272653195,13,0.03333333333333333,20.68884658813477
2012-06-30,2012-08-04,2012-08-06,MSFT,Services-Prepackaged Software,1.3854281120743182,14,0.03333333333333333,23.71113586425781
2012-06-30,2012-08-04,2012-08-06,HD,Retail-Lumber & Other Building Materials Dealers,1.0633479414097076,15,0.03333333333333333,37.89851760864258
2012-06-30,2012-08-04,2012-08-06,INTC,Semiconductors & Related Devices,1.025537185728357,16,0.03333333333333333,18.622941970825195
2012-06-30,2012-08-04,2012-08-06,AMAT,Semiconductors & Related Devices,0.8051226688113591,17,0.03333333333333333,9.23913288116455
2012-06-30,2012-08-04,2012-08-06,ELV,Hospital & Medical Service Plans,0.7864585423421205,18,0.03333333333333333,44.42649841308594
2012-06-30,2012-08-04,2012-08-06,APD,Industrial Inorganic Chemicals,0.5534359815079981,19,0.03333333333333333,54.38053894042969
2012-06-30,2012-08-04,2012-08-06,SBUX,Retail-Eating & Drinking Places,0.5307718660696337,20,0.03333333333333333,16.67705726623535
2012-06-30,2012-08-04,2012-08-06,GILD,"Biological Products, (No Diagnostic Substances)",0.48673991091097046,21,0.03333333333333333,19.9096622467041
2012-06-30,2012-08-04,2012-08-06,UNP,"Railroads, Line-Haul Operating",0.4293736098567886,22,0.03333333333333333,45.67753219604492
2012-06-30,2012-08-04,2012-08-06,PFE,Pharmaceutical Preparations,0.2900808350019073,23,0.03333333333333333,12.972514152526855
2012-06-30,2012-08-04,2012-08-06,MRK,Pharmaceutical Preparations,0.228367502756055,24,0.03333333333333333,27.475473403930664
2012-06-30,2012-08-04,2012-08-06,PG,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",0.1907528521042417,25,0.03333333333333333,44.48138427734375
2012-06-30,2012-08-04,2012-08-06,VZ,Telephone Communications (No Radiotelephone),0.15331118386927903,26,0.03333333333333333,22.20119285583496
2012-06-30,2012-08-04,2012-08-06,TXN,Semiconductors & Related Devices,0.0541436561569579,27,0.03333333333333333,19.389766693115234
2012-06-30,2012-08-04,2012-08-06,JNJ,Pharmaceutical Preparations,-0.16765376467000895,28,0.03333333333333333,46.76876068115234
2012-06-30,2012-08-04,2012-08-06,RTX,Aircraft Engines & Engine Parts,-0.34372084533845926,29,0.03333333333333333,34.97394180297852
2012-06-30,2012-08-04,2012-08-06,SYK,Surgical & Medical Instruments & Apparatus,-0.6294272751612304,30,0.03333333333333333,44.69609451293945
