experiment,ticker,rcept_no,holding_days,signal_date,execution_date,expected_execution_date,execution_alignment_ok,exit_date,expected_exit_date,exit_alignment_ok,entry_price,expected_entry_price,entry_price_ok,exit_price,expected_exit_price,exit_price_ok,gross_return,expected_gross_return,gross_return_ok,kospi_return,expected_kospi_return,kospi_return_ok,excess_return,expected_excess_return,excess_return_ok,same_trading_day_window_ok
R001,003850,20180103000227,21,2018-01-03,2018-01-04,2018-01-04,True,2018-02-02,2018-02-02,True,47000.0,47000.0,True,56100.0,56100.0,True,0.1936170212765957,0.19361702127659575,True,0.0320282546285342,0.0320282546285342,True,0.1615887666480615,0.16158876664806154,True,True
R001,008490,20180104000195,21,2018-01-04,2018-01-05,2018-01-05,True,2018-02-05,2018-02-05,True,32100.0,32100.0,True,34700.0,34700.0,True,0.0809968847352025,0.0809968847352025,True,0.005692458998072,0.005692458998072025,True,0.0753044257371304,0.07530442573713048,True,True
R001,000180,20180109000255,21,2018-01-09,2018-01-10,2018-01-10,True,2018-02-08,2018-02-08,True,2630.0,2630.0,True,2880.0,2880.0,True,0.0950570342205323,0.09505703422053235,True,-0.0296427410698016,-0.029642741069801692,True,0.124699775290334,0.12469977529033405,True,True
R001,003850,20180103000227,63,2018-01-03,2018-01-04,2018-01-04,True,2018-04-06,2018-04-06,True,47000.0,47000.0,True,59000.0,59000.0,True,0.2553191489361701,0.25531914893617014,True,0.0107172246849713,0.010717224684971383,True,0.2446019242511987,0.24460192425119875,True,True
R001,008490,20180104000195,63,2018-01-04,2018-01-05,2018-01-05,True,2018-04-09,2018-04-09,True,32100.0,32100.0,True,32100.0,32100.0,True,0.0,0.0,True,0.0041786930084537,0.004178693008453749,True,-0.0041786930084537,-0.004178693008453749,True,True
R001,000180,20180109000255,63,2018-01-09,2018-01-10,2018-01-10,True,2018-04-12,2018-04-12,True,2630.0,2630.0,True,2755.0,2755.0,True,0.0475285171102661,0.04752851711026618,True,0.0019703234913721,0.0019703234913721612,True,0.045558193618894,0.045558193618894016,True,True
R001,003850,20180103000227,126,2018-01-03,2018-01-04,2018-01-04,True,2018-07-11,2018-07-11,True,47000.0,47000.0,True,9170.0,9170.0,True,-0.8048936170212766,-0.8048936170212766,True,-0.0193416008400287,-0.019341600840028783,True,-0.7855520161812478,-0.7855520161812478,True,True
R001,008490,20180104000195,126,2018-01-04,2018-01-05,2018-01-05,True,2018-07-12,2018-07-12,True,32100.0,32100.0,True,30150.0,30150.0,True,-0.0607476635514018,-0.06074766355140182,True,-0.0296179843927512,-0.029617984392751207,True,-0.0311296791586506,-0.031129679158650614,True,True
R001,000180,20180109000255,126,2018-01-09,2018-01-10,2018-01-10,True,2018-07-17,2018-07-17,True,2630.0,2630.0,True,2605.0,2605.0,True,-0.0095057034220532,-0.009505703422053258,True,-0.025750159054848,-0.02575015905484801,True,0.0162444556327947,0.016244455632794752,True,True
R002,021240,20180212800641,21,2018-02-12,2018-02-13,2018-02-13,True,2018-03-19,2018-03-19,True,86600.0,86600.0,True,85300.0,85300.0,True,-0.0150115473441108,-0.01501154734411081,True,0.0420056802449069,0.04200568024490692,True,-0.0570172275890177,-0.05701722758901773,True,True
R002,084670,20180220800446,21,2018-02-20,2018-02-21,2018-02-21,True,2018-03-23,2018-03-23,True,29000.0,29000.0,True,29450.0,29450.0,True,0.0155172413793103,0.01551724137931032,True,0.0025853962752968,0.0025853962752968584,True,0.0129318451040134,0.012931845104013462,True,True
R002,012450,20180223800632,21,2018-02-23,2018-02-26,2018-02-26,True,2018-03-28,2018-03-28,True,28750.0,28750.0,True,28700.0,28700.0,True,-0.0017391304347825,-0.0017391304347825765,True,-0.0073921953639933,-0.007392195363993381,True,0.0056530649292108,0.005653064929210805,True,True
R002,021240,20180212800641,63,2018-02-12,2018-02-13,2018-02-13,True,2018-05-18,2018-05-18,True,86600.0,86600.0,True,90600.0,90600.0,True,0.046189376443418,0.04618937644341803,True,0.0573693219751978,0.05736932197519784,True,-0.0111799455317798,-0.011179945531779811,True,True
R002,084670,20180220800446,63,2018-02-20,2018-02-21,2018-02-21,True,2018-05-25,2018-05-25,True,29000.0,29000.0,True,24200.0,24200.0,True,-0.1655172413793103,-0.16551724137931034,True,0.0436741253819532,0.043674125381953255,True,-0.2091913667612636,-0.2091913667612636,True,True
R002,012450,20180223800632,63,2018-02-23,2018-02-26,2018-02-26,True,2018-05-30,2018-05-30,True,28750.0,28750.0,True,31900.0,31900.0,True,0.1095652173913044,0.10956521739130443,True,0.0121577920701174,0.012157792070117468,True,0.0974074253211869,0.09740742532118696,True,True
R002,021240,20180212800641,126,2018-02-12,2018-02-13,2018-02-13,True,2018-08-21,2018-08-21,True,86600.0,86600.0,True,92900.0,92900.0,True,0.0727482678983832,0.07274826789838329,True,0.0039234968406189,0.00392349684061899,True,0.0688247710577643,0.0688247710577643,True,True
R002,084670,20180220800446,126,2018-02-20,2018-02-21,2018-02-21,True,2018-08-27,2018-08-27,True,29000.0,29000.0,True,25200.0,25200.0,True,-0.1310344827586207,-0.13103448275862073,True,0.0022812298881489,0.002281229888148939,True,-0.1333157126467696,-0.13331571264676967,True,True
R002,012450,20180223800632,126,2018-02-23,2018-02-26,2018-02-26,True,2018-08-30,2018-08-30,True,28750.0,28750.0,True,25900.0,25900.0,True,-0.0991304347826087,-0.09913043478260875,True,-0.0057020278884903,-0.005702027888490391,True,-0.0934284068941183,-0.09342840689411835,True,True
R003,004310,20180104800364,21,2018-01-04,2018-01-05,2018-01-05,True,2018-02-05,2018-02-05,True,3855.0,3855.0,True,5450.0,5450.0,True,0.4137483787289235,0.41374837872892356,True,0.005692458998072,0.005692458998072025,True,0.4080559197308515,0.40805591973085154,True,True
R003,006890,20180115800723,21,2018-01-15,2018-01-16,2018-01-16,True,2018-02-14,2018-02-14,True,4490.0,4490.0,True,4565.0,4565.0,True,0.0167037861915366,0.016703786191536674,True,-0.0313555132921169,-0.03135551329211694,True,0.0480592994836536,0.04805929948365362,True,True
R003,026960,20180122800298,21,2018-01-22,2018-01-23,2018-01-23,True,2018-02-23,2018-02-23,True,28150.0,28150.0,True,28250.0,28250.0,True,0.0035523978685612,0.003552397868561208,True,-0.0252272000101949,-0.02522720001019496,True,0.0287795978787561,0.02877959787875617,True,True
R003,004310,20180104800364,63,2018-01-04,2018-01-05,2018-01-05,True,2018-04-09,2018-04-09,True,3855.0,3855.0,True,7230.0,7230.0,True,0.8754863813229572,0.8754863813229572,True,0.0041786930084537,0.004178693008453749,True,0.8713076883145034,0.8713076883145034,True,True
R003,006890,20180115800723,63,2018-01-15,2018-01-16,2018-01-16,True,2018-04-18,2018-04-18,True,4490.0,4490.0,True,4700.0,4700.0,True,0.0467706013363029,0.04677060133630295,True,0.0085439768251465,0.008543976825146515,True,0.0382266245111564,0.03822662451115644,True,True
R003,026960,20180122800298,63,2018-01-22,2018-01-23,2018-01-23,True,2018-04-25,2018-04-25,True,28150.0,28150.0,True,27200.0,27200.0,True,-0.0337477797513321,-0.03374777975133214,True,-0.0088087676107128,-0.008808767610712809,True,-0.0249390121406193,-0.024939012140619332,True,True
R003,004310,20180104800364,126,2018-01-04,2018-01-05,2018-01-05,True,2018-07-12,2018-07-12,True,3855.0,3855.0,True,5360.0,5360.0,True,0.3904020752269779,0.3904020752269779,True,-0.0296179843927512,-0.029617984392751207,True,0.4200200596197291,0.4200200596197291,True,True
R003,006890,20180115800723,126,2018-01-15,2018-01-16,2018-01-16,True,2018-07-23,2018-07-23,True,4490.0,4490.0,True,6130.0,6130.0,True,0.3652561247216035,0.3652561247216035,True,-0.0459033431867189,-0.04590334318671896,True,0.4111594679083225,0.4111594679083225,True,True
R003,026960,20180122800298,126,2018-01-22,2018-01-23,2018-01-23,True,2018-07-30,2018-07-30,True,28150.0,28150.0,True,25450.0,25450.0,True,-0.0959147424511545,-0.0959147424511545,True,-0.0406221207032391,-0.04062212070323912,True,-0.0552926217479153,-0.05529262174791538,True,True
R004,003850,20180103000227,21,2018-01-03,2018-01-04,2018-01-04,True,2018-02-02,2018-02-02,True,47000.0,47000.0,True,56100.0,56100.0,True,0.1936170212765957,0.19361702127659575,True,0.0320282546285342,0.0320282546285342,True,0.1615887666480615,0.16158876664806154,True,True
R004,004310,20180104800364,21,2018-01-04,2018-01-05,2018-01-05,True,2018-02-05,2018-02-05,True,3855.0,3855.0,True,5450.0,5450.0,True,0.4137483787289235,0.41374837872892356,True,0.005692458998072,0.005692458998072025,True,0.4080559197308515,0.40805591973085154,True,True
R004,008490,20180104000195,21,2018-01-04,2018-01-05,2018-01-05,True,2018-02-05,2018-02-05,True,32100.0,32100.0,True,34700.0,34700.0,True,0.0809968847352025,0.0809968847352025,True,0.005692458998072,0.005692458998072025,True,0.0753044257371304,0.07530442573713048,True,True
R004,003850,20180103000227,63,2018-01-03,2018-01-04,2018-01-04,True,2018-04-06,2018-04-06,True,47000.0,47000.0,True,59000.0,59000.0,True,0.2553191489361701,0.25531914893617014,True,0.0107172246849713,0.010717224684971383,True,0.2446019242511987,0.24460192425119875,True,True
R004,004310,20180104800364,63,2018-01-04,2018-01-05,2018-01-05,True,2018-04-09,2018-04-09,True,3855.0,3855.0,True,7230.0,7230.0,True,0.8754863813229572,0.8754863813229572,True,0.0041786930084537,0.004178693008453749,True,0.8713076883145034,0.8713076883145034,True,True
R004,008490,20180104000195,63,2018-01-04,2018-01-05,2018-01-05,True,2018-04-09,2018-04-09,True,32100.0,32100.0,True,32100.0,32100.0,True,0.0,0.0,True,0.0041786930084537,0.004178693008453749,True,-0.0041786930084537,-0.004178693008453749,True,True
R004,003850,20180103000227,126,2018-01-03,2018-01-04,2018-01-04,True,2018-07-11,2018-07-11,True,47000.0,47000.0,True,9170.0,9170.0,True,-0.8048936170212766,-0.8048936170212766,True,-0.0193416008400287,-0.019341600840028783,True,-0.7855520161812478,-0.7855520161812478,True,True
