signal,ticker,signal_date,execution_date,exit_date,holding_days,entry_price,exit_price,signal_value,gross_return,net_return,tax_paid_return
r1d_lt_m3_hold1,005420,2020-05-18,2020-05-21,2020-05-21,1,9080.0,9170.0,0.0,0.009911894273127775,0.0017312775330396643,0.0021806167400881104
r1d_lt_m3_hold1,015760,2021-07-26,2021-07-27,2021-07-27,1,24950.0,24750.0,0.0,-0.008016032064128265,-0.014016032064128265,0.0
r1d_lt_m3_hold1,033180,2019-09-19,2019-09-25,2019-09-25,1,4115.0,3840.0,0.0,-0.06682867557715677,-0.07282867557715678,0.0
r1d_lt_m3_hold1,069620,2019-04-10,2019-04-12,2019-04-12,1,196500.0,199000.0,0.0,0.012722646310432628,0.00392366412213745,0.0027989821882951783
r1d_lt_m3_hold1,096770,2024-07-19,2024-07-22,2024-07-22,1,112000.0,107600.0,0.0,-0.03928571428571426,-0.045285714285714256,0.0
r1d_lt_m3_hold1,088790,2021-03-30,2021-04-02,2021-04-02,1,6060.0,6630.0,0.0,0.09405940594059414,0.06736633663366343,0.02069306930693071
r1d_lt_m3_hold1,336370,2022-08-01,2022-08-04,2022-08-04,1,44500.0,44950.0,0.0,0.010112359550561889,0.0018876404494382734,0.0022247191011236156
r1d_lt_m3_hold1,096770,2021-03-03,2021-03-04,2021-03-04,1,262500.0,264000.0,0.0,0.005714285714285783,-0.0015428571428570896,0.0012571428571428722
r1d_lt_m3_hold1,005070,2024-06-17,2024-06-18,2024-06-18,1,157900.0,156100.0,0.0,-0.011399620012666256,-0.017399620012666255,0.0
r1d_lt_m3_hold1,011000,2021-09-08,2021-09-09,2021-09-09,1,40100.0,38700.0,0.0,-0.034912718204488824,-0.04091271820448882,0.0
r1d_lt_m3_hold1,012450,2023-02-03,2023-02-06,2023-02-06,1,80300.0,83400.0,0.0,0.038605230386052236,0.024112079701120746,0.008493150684931491
r1d_lt_m3_hold1,011780,2018-05-23,2018-06-07,2018-06-07,1,103500.0,102500.0,0.0,-0.009661835748792313,-0.015661835748792312,0.0
r1d_lt_m3_hold1,207940,2023-09-11,2023-09-12,2023-09-12,1,738000.0,723000.0,0.0,-0.020325203252032575,-0.026325203252032574,0.0
r1d_lt_m3_hold1,003230,2024-08-20,2024-08-21,2024-08-21,1,520000.0,515000.0,0.0,-0.009615384615384581,-0.015615384615384581,0.0
r1d_lt_m3_hold1,000880,2025-08-28,2025-08-29,2025-08-29,1,84600.0,83800.0,0.0,-0.009456264775413725,-0.015456264775413725,0.0
r1d_lt_m3_hold1,008350,2019-06-04,2019-06-05,2019-06-05,1,4020.0,4150.0,0.0,0.03233830845771135,0.019223880597014856,0.007114427860696497
r1d_lt_m3_hold1,015760,2019-07-31,2019-08-01,2019-08-01,1,27700.0,26650.0,0.0,-0.03790613718411551,-0.043906137184115505,0.0
r1d_lt_m3_hold1,005070,2021-07-15,2021-07-16,2021-07-16,1,37250.0,38400.0,0.0,0.03087248322147662,0.018080536912751764,0.0067919463087248565
r1d_lt_m3_hold1,012510,2019-04-30,2019-05-08,2019-05-08,1,57100.0,59500.0,0.0,0.042031523642731994,0.026784588441330956,0.00924693520140104
r1d_lt_m3_hold1,036570,2023-05-09,2023-05-10,2023-05-10,1,404500.0,387000.0,0.0,-0.04326328800988877,-0.049263288009888766,0.0
r1d_lt_m3_hold1,450080,2024-12-30,2025-01-02,2025-01-02,1,65900.0,61800.0,0.0,-0.06221547799696514,-0.06821547799696515,0.0
r1d_lt_m3_hold1,035720,2024-12-11,2024-12-12,2024-12-12,1,45000.0,43700.0,0.0,-0.028888888888888853,-0.03488888888888885,0.0
r1d_lt_m3_hold1,010130,2026-02-04,2026-02-05,2026-02-05,1,1780000.0,1709000.0,0.0,-0.039887640449438155,-0.045887640449438154,0.0
r1d_lt_m3_hold1,005380,2021-11-09,2021-11-10,2021-11-10,1,211000.0,208500.0,0.0,-0.011848341232227444,-0.017848341232227442,0.0
r1d_lt_m3_hold1,066570,2023-06-15,2023-06-16,2023-06-16,1,124100.0,124500.0,0.0,0.003223207091055613,-0.0034858984689766217,0.0007091055600322349
r1d_lt_m3_hold1,030000,2019-08-20,2019-09-09,2019-09-09,1,24750.0,24150.0,0.0,-0.024242424242424288,-0.030242424242424286,0.0
r1d_lt_m3_hold1,002070,2019-11-14,2019-11-18,2019-11-18,1,20450.0,20800.0,0.0,0.017114914425427896,0.007349633251833759,0.003765281173594137
r1d_lt_m3_hold1,004370,2020-02-12,2020-02-13,2020-02-13,1,262500.0,257500.0,0.0,-0.01904761904761909,-0.02504761904761909,0.0
r1d_lt_m3_hold1,010950,2018-10-12,2018-10-15,2018-10-15,1,128500.0,128000.0,0.0,-0.0038910505836575737,-0.009891050583657574,0.0
r1d_lt_m3_hold1,035420,2019-11-01,2019-11-04,2019-11-04,1,165500.0,164500.0,0.0,-0.0060422960725075026,-0.012042296072507503,0.0
r1d_lt_m3_hold1,020150,2022-04-04,2022-04-05,2022-04-05,1,101000.0,101000.0,0.0,0.0,-0.006,0.0
r1d_lt_m3_hold1,081660,2019-05-09,2019-05-10,2019-05-10,1,77000.0,78200.0,0.0,0.01558441558441559,0.006155844155844159,0.0034285714285714297
r1d_lt_m3_hold1,259960,2025-07-11,2025-07-14,2025-07-14,1,352000.0,347000.0,0.0,-0.014204545454545414,-0.020204545454545413,0.0
r1d_lt_m3_hold1,022100,2025-04-07,2025-04-09,2025-04-09,1,23600.0,23950.0,0.0,0.014830508474576343,0.005567796610169547,0.0032627118644067954
r1d_lt_m3_hold1,034730,2022-07-19,2022-07-20,2022-07-20,1,220500.0,215500.0,0.0,-0.0226757369614512,-0.028675736961451197,0.0
r1d_lt_m3_hold1,009420,2023-12-27,2023-12-28,2023-12-28,1,44000.0,44300.0,0.0,0.006818181818181834,-0.0006818181818181693,0.0015000000000000035
r1d_lt_m3_hold1,001340,2021-04-07,2021-04-22,2021-04-22,1,5340.0,5580.0,0.0,0.04494382022471921,0.029056179775280987,0.009887640449438226
r1d_lt_m3_hold1,004560,2024-01-23,2024-01-24,2024-01-24,1,18260.0,18650.0,0.0,0.021358159912376884,0.01065936473165397,0.0046987951807229145
r1d_lt_m3_hold1,012510,2020-09-10,2020-09-11,2020-09-11,1,115000.0,112000.0,0.0,-0.02608695652173909,-0.03208695652173909,0.0
r1d_lt_m3_hold1,004170,2022-05-12,2022-05-16,2022-05-16,1,257000.0,257000.0,0.0,0.0,-0.006,0.0
r1d_lt_m3_hold1,028260,2020-11-19,2020-11-20,2020-11-20,1,122000.0,121000.0,0.0,-0.008196721311475419,-0.014196721311475419,0.0
r1d_lt_m3_hold1,000210,2020-03-05,2020-03-06,2020-03-06,1,75200.0,73000.0,0.0,-0.0292553191489362,-0.0352553191489362,0.0
