variant,hold_days,count,mean,median,hit_rate,sharpe_like
r1d_lt_2%_hold1,1,1991,-0.0006965090120707131,-0.002816326530612207,0.44650929181315924,-0.24821309777966527
r1d_lt_2%_hold2,2,1978,0.0018440484297609012,-0.0023140794828423543,0.4737108190091001,0.24277596765840742
r1d_lt_2%_hold3,3,1966,0.006742701420951607,-0.00043172616856828423,0.49491353001017296,0.5777309234655321
r1d_lt_2%_hold5,5,1952,0.011507026371826469,0.0016099371787549816,0.5128073770491803,0.5675139345591074
r1d_lt_2%_hold10,10,1890,0.01293037241379037,0.0018694706027751614,0.5121693121693122,0.36085921118022907
r1d_lt_3%_hold1,1,1987,0.0012072326142307465,-0.0018947368421052505,0.47257171615500754,0.38669471979029
r1d_lt_3%_hold2,2,1966,0.008399478294743802,-0.00026048254353289754,0.49745676500508645,0.4859472528269174
r1d_lt_3%_hold3,3,1948,0.015693962384676154,0.0026094419667137513,0.521047227926078,0.6557952426273206
r1d_lt_3%_hold5,5,1930,0.020846633938607095,0.00559299453972858,0.5383419689119171,0.739020932920135
r1d_lt_3%_hold10,10,1857,0.021105956500380735,0.007928571428571379,0.5374259558427571,0.5055555538927532
r1d_lt_4%_hold1,1,1984,0.006091091843797671,0.0015912458692038064,0.5186491935483871,1.6161973292724896
r1d_lt_4%_hold2,2,1961,0.013567540548654689,0.0036296296296296723,0.5277919428862825,0.7384537121461019
r1d_lt_4%_hold3,3,1935,0.022543397689358192,0.007302325581395338,0.5488372093023256,0.8619635202341916
r1d_lt_4%_hold5,5,1903,0.029942501800841646,0.010027397260274035,0.5465055176037835,0.9109177030250608
r1d_lt_4%_hold10,10,1816,0.03631597612608766,0.011366756571373092,0.5379955947136564,0.6744030290490038
r1d_lt_5%_hold1,1,1968,0.009585002670336034,0.005635566873311862,0.5482723577235772,2.263790695362574
r1d_lt_5%_hold2,2,1933,0.019311101314252763,0.008338235294117596,0.5550957061562338,0.9692734724995284
r1d_lt_5%_hold3,3,1904,0.028305539466010034,0.009497368421052598,0.5504201680672269,0.9891100010243873
r1d_lt_5%_hold5,5,1859,0.04039780061789969,0.014565916398713762,0.556750941366326,1.0639036007482414
r1d_lt_5%_hold10,10,1750,0.05359616787497802,0.01631473214285708,0.5457142857142857,0.7886679036395337
r3d_lt_5%_hold1,1,1981,-0.00018839059882081702,-0.0020760201229738,0.4679454820797577,-0.060910707733599266
r3d_lt_5%_hold2,2,1961,0.0009435880302616042,-0.0014913294797687451,0.49005609382967874,0.11777091399747303
r3d_lt_5%_hold3,3,1950,0.006050965151053437,0.00021875141884221644,0.5030769230769231,0.48388548746649557
r3d_lt_5%_hold5,5,1919,0.01125477850935258,0.00444642857142862,0.5294424179260031,0.5469180990944504
r3d_lt_5%_hold10,10,1854,0.018921573146768074,0.008257736239922462,0.5426105717367853,0.49784173731658066
r3d_lt_7%_hold1,1,1975,0.007333270030778237,0.004077519379844921,0.5392405063291139,1.863440731154214
r3d_lt_7%_hold2,2,1948,0.014905557814117606,0.006278506246475654,0.5462012320328542,0.8092340377656848
r3d_lt_7%_hold3,3,1928,0.02471326592407118,0.009409232827832289,0.558091286307054,0.9624487354510399
r3d_lt_7%_hold5,5,1880,0.03047595506170607,0.013727141125774306,0.5606382978723404,0.999423091176548
r3d_lt_7%_hold10,10,1792,0.05140136542965528,0.019592763477416196,0.5680803571428571,0.9427440074043107
r3d_lt_10%_hold1,1,1957,0.014365042232393063,0.010931982633863966,0.5912110373019929,3.251856082423685
r3d_lt_10%_hold2,2,1914,0.028967526215862273,0.018282866043613705,0.6050156739811913,1.4414979489833373
r3d_lt_10%_hold3,3,1883,0.042032723219756776,0.025273584905660305,0.6011683483802442,1.4897816275228655
r3d_lt_10%_hold5,5,1820,0.05557217182467449,0.03120298176203804,0.6049450549450549,1.549740692546036
r3d_lt_10%_hold10,10,1693,0.0834772224075333,0.03913562386980108,0.5912581216774956,1.1249896227848695
