scenario,tax_year,capital_gains_tax_krw,dividend_withholding_krw,total_tax_paid_krw
T000-B,2010,0.0,241553.56064624357,241553.56064624357
T000-B,2011,0.0,265173.06449679064,265173.06449679064
T000-B,2012,67905.7090584611,289424.4360597909,357330.14511825197
T000-B,2013,0.0,309913.4071566865,309913.4071566865
T000-B,2014,0.0,345760.01431574515,345760.01431574515
T000-B,2015,248627.82644304837,390904.30986586696,639532.1363089153
T000-B,2016,340514.09390519233,412173.99282617896,752688.0867313712
T000-B,2017,863593.9291878595,440474.67885148025,1304068.6080393398
T000-B,2018,1394169.586076935,473412.5025591351,1867582.08863607
T000-B,2019,1873516.8250859077,536605.1603554322,2410121.98544134
T000-B,2020,4919828.252398494,616678.1660413607,5536506.418439854
T000-B,2021,4179761.196073789,760058.0088889794,4939819.2049627695
T000-B,2022,3117575.3533870494,735799.6837871887,3853375.037174238
T000-B,2023,3971523.970774294,789165.3061985772,4760689.276972871
T000-B,2024,3266768.489176182,978139.4634064997,4244907.952582682
T000-B,2025,6439343.279472501,1088345.562561587,7527688.842034088
T000-B,2026,0.0,675127.344730956,675127.344730956
T000-C,2010,0.0,241553.56064624357,241553.56064624357
T000-C,2011,0.0,265173.06449679064,265173.06449679064
T000-C,2012,0.0,289424.4360597909,289424.4360597909
T000-C,2013,0.0,310080.97095837287,310080.97095837287
T000-C,2014,0.0,345946.9598740885,345946.9598740885
T000-C,2015,0.0,391127.6243561442,391127.6243561442
T000-C,2016,0.0,412989.7624178034,412989.7624178034
T000-C,2017,745647.7361550295,442274.4237624214,1187922.1599174507
T000-C,2018,1250945.7843916356,475566.63108029234,1726512.415471928
T000-C,2019,0.0,540908.8831214588,540908.8831214588
T000-C,2020,2878754.023181144,626492.2696923538,3505246.292873498
T000-C,2021,2488136.7618210795,777101.5866430345,3265238.348464114
T000-C,2022,1790671.2111778064,755360.0091781381,2546031.2203559447
T000-C,2023,1138614.7920916057,815707.7449774871,1954322.537069093
T000-C,2024,3210196.265814353,1016185.6445980454,4226381.910412398
T000-C,2025,3515681.3466468956,1134252.8107706392,4649934.157417535
T000-C,2026,0.0,706184.4770420216,706184.4770420216
T000-D,2010,0.0,241553.56064624357,241553.56064624357
T000-D,2011,0.0,265173.06449679064,265173.06449679064
T000-D,2012,67905.7090584611,289424.4360597909,357330.14511825197
T000-D,2013,0.0,309913.4071566865,309913.4071566865
T000-D,2014,0.0,345760.01431574515,345760.01431574515
T000-D,2015,248627.82644304837,390904.30986586696,639532.1363089153
T000-D,2016,340514.09390519233,412173.99282617896,752688.0867313712
T000-D,2017,863593.9291878595,440474.67885148025,1304068.6080393398
T000-D,2018,1394169.586076935,473412.5025591351,1867582.08863607
T000-D,2019,1873516.8250859077,536605.1603554322,2410121.98544134
T000-D,2020,4919828.252398494,616678.1660413607,5536506.418439854
T000-D,2021,4179761.196073789,760058.0088889794,4939819.2049627695
T000-D,2022,3117575.3533870494,735799.6837871887,3853375.037174238
T000-D,2023,3971523.970774294,789165.3061985772,4760689.276972871
T000-D,2024,3266768.489176182,978139.4634064997,4244907.952582682
T000-D,2025,6439343.279472501,1088345.562561587,7527688.842034088
T000-D,2026,57794937.72359363,675127.344730956,58470065.06832459
T000-E,2010,0.0,241553.56064624357,241553.56064624357
T000-E,2011,0.0,265173.06449679064,265173.06449679064
T000-E,2012,67905.7090584611,289424.4360597909,357330.145118252
T000-E,2013,0.0,310004.57667811593,310004.57667811593
T000-E,2014,0.0,345776.4772042241,345776.4772042241
T000-E,2015,248261.60217556756,390934.8766537728,639196.4788293403
T000-E,2016,339743.25276136247,412497.46159427275,752240.7143556352
T000-E,2017,833370.735616455,441435.1278792365,1274805.8634956914
T000-E,2018,1383382.5368600748,474978.13449900283,1858360.6713590776
T000-E,2019,1861327.0627268085,540425.9529162563,2401753.015643065
T000-E,2020,4813125.086076685,623946.0313579772,5437071.117434663
T000-E,2021,4439854.012785599,771941.2146643342,5211795.227449933
T000-E,2022,2944830.903953118,747263.2627739239,3692094.166727042
T000-E,2023,3933218.628379282,799717.4728418596,4732936.101221141
T000-E,2024,3417381.789977927,992872.9200054733,4410254.709983401
T000-E,2025,6512552.221289597,1108345.287212502,7620897.5085021
T000-E,2026,0.0,689740.2236739944,689740.2236739944
