frequency,label,stress,metric,value,start_date,end_date,peak_date,trough_date
monthly,Monthly,2020_covid_daily_mdd,daily_mdd,-0.16943923849463938,2020-02-01,2020-04-30,2020-02-20,2020-03-19
monthly,Monthly,2022_krw_return,calendar_year_return,-0.148348100485171,2022-01-01,2022-12-31,,
monthly,Monthly,2025_spike_exclusion,cagr_excluding_2025_return_days,0.11204477999568363,2010-01-04,2026-05-18,,
monthly,Monthly,subperiod_2010_2017,cagr,0.08694420062078967,2010-01-01,2017-12-31,,
monthly,Monthly,subperiod_2010_2017,sharpe,0.973854529697044,2010-01-01,2017-12-31,,
monthly,Monthly,subperiod_2010_2017,max_drawdown,-0.06637030862860882,2010-01-01,2017-12-31,,
monthly,Monthly,subperiod_2018_2026,cagr,0.15372112139583516,2018-01-01,2026-12-31,,
monthly,Monthly,subperiod_2018_2026,sharpe,1.2460441917864322,2018-01-01,2026-12-31,,
monthly,Monthly,subperiod_2018_2026,max_drawdown,-0.16943923849463938,2018-01-01,2026-12-31,,
quarterly,Quarterly,2020_covid_daily_mdd,daily_mdd,-0.16474896948492512,2020-02-01,2020-04-30,2020-02-20,2020-03-19
quarterly,Quarterly,2022_krw_return,calendar_year_return,-0.14952770301995277,2022-01-01,2022-12-31,,
quarterly,Quarterly,2025_spike_exclusion,cagr_excluding_2025_return_days,0.11381390441243444,2010-01-04,2026-05-18,,
quarterly,Quarterly,subperiod_2010_2017,cagr,0.0875328949311287,2010-01-01,2017-12-31,,
quarterly,Quarterly,subperiod_2010_2017,sharpe,0.979786705551281,2010-01-01,2017-12-31,,
quarterly,Quarterly,subperiod_2010_2017,max_drawdown,-0.06553657146186276,2010-01-01,2017-12-31,,
quarterly,Quarterly,subperiod_2018_2026,cagr,0.15609489315140213,2018-01-01,2026-12-31,,
quarterly,Quarterly,subperiod_2018_2026,sharpe,1.2527071893118504,2018-01-01,2026-12-31,,
quarterly,Quarterly,subperiod_2018_2026,max_drawdown,-0.16474896948492512,2018-01-01,2026-12-31,,
semiannual,Semiannual,2020_covid_daily_mdd,daily_mdd,-0.16489348177260044,2020-02-01,2020-04-30,2020-02-20,2020-03-19
semiannual,Semiannual,2022_krw_return,calendar_year_return,-0.1496511337706271,2022-01-01,2022-12-31,,
semiannual,Semiannual,2025_spike_exclusion,cagr_excluding_2025_return_days,0.11309488689810876,2010-01-04,2026-05-18,,
