frequency,label,tax_year,capital_gains_tax_krw,dividend_withholding_krw,total_tax_paid_krw,average_year,max_year
monthly,Monthly,2010,0.0,238889.81954444008,238889.81954444008,1477940.0820329678,5621421.596871065
monthly,Monthly,2011,0.0,261992.93113676156,261992.93113676156,1477940.0820329678,5621421.596871065
monthly,Monthly,2012,0.0,285071.68578118016,285071.68578118016,1477940.0820329678,5621421.596871065
monthly,Monthly,2013,50573.051977986965,309495.75987381,360068.8118517969,1477940.0820329678,5621421.596871065
monthly,Monthly,2014,10001.508300181944,339235.52428293705,349237.032583119,1477940.0820329678,5621421.596871065
monthly,Monthly,2015,14550.653720388998,385726.42269577895,400277.07641616795,1477940.0820329678,5621421.596871065
monthly,Monthly,2016,0.0,404918.9556608264,404918.9556608264,1477940.0820329678,5621421.596871065
monthly,Monthly,2017,592386.7084861806,438659.4913933504,1031046.199879531,1477940.0820329678,5621421.596871065
monthly,Monthly,2018,989939.6757442108,466240.39440907614,1456180.070153287,1477940.0820329678,5621421.596871065
monthly,Monthly,2019,442090.1752930806,522020.79768188414,964110.9729749648,1477940.0820329678,5621421.596871065
monthly,Monthly,2020,2476111.2868410326,624270.6396069281,3100381.9264479605,1477940.0820329678,5621421.596871065
monthly,Monthly,2021,3150054.3786332747,742347.1920560127,3892401.5706892875,1477940.0820329678,5621421.596871065
monthly,Monthly,2022,788018.2845047608,711511.1456728687,1499529.4301776295,1477940.0820329678,5621421.596871065
monthly,Monthly,2023,1188064.7665106081,780271.102895287,1968335.869405895,1477940.0820329678,5621421.596871065
monthly,Monthly,2024,4662801.042439561,958620.5544315033,5621421.596871065,1477940.0820329678,5621421.596871065
monthly,Monthly,2025,1494850.7508445051,1081943.4061243325,2576794.1569688376,1477940.0820329678,5621421.596871065
monthly,Monthly,2026,0.0,714323.2880177023,714323.2880177023,1477940.0820329678,5621421.596871065
quarterly,Quarterly,2010,0.0,241340.29513385278,241340.29513385278,1549637.984559804,4599248.361159856
quarterly,Quarterly,2011,0.0,264325.0099342144,264325.0099342144,1549637.984559804,4599248.361159856
quarterly,Quarterly,2012,0.0,287840.3294584038,287840.3294584038,1549637.984559804,4599248.361159856
quarterly,Quarterly,2013,0.0,307683.6784494061,307683.6784494061,1549637.984559804,4599248.361159856
quarterly,Quarterly,2014,0.0,342486.3183491882,342486.3183491882,1549637.984559804,4599248.361159856
quarterly,Quarterly,2015,1670.7989824684244,386332.26620604977,388003.0651885182,1549637.984559804,4599248.361159856
quarterly,Quarterly,2016,0.0,406989.1055222355,406989.1055222355,1549637.984559804,4599248.361159856
quarterly,Quarterly,2017,771792.7534792657,434833.422364923,1206626.1758441888,1549637.984559804,4599248.361159856
quarterly,Quarterly,2018,1251344.9482713835,466430.4499565095,1717775.398227893,1549637.984559804,4599248.361159856
quarterly,Quarterly,2019,0.0,529235.8654817801,529235.8654817801,1549637.984559804,4599248.361159856
quarterly,Quarterly,2020,2875113.755057353,611485.1571808883,3486598.912238241,1549637.984559804,4599248.361159856
quarterly,Quarterly,2021,2490486.9232114586,756691.4880571235,3247178.411268582,1549637.984559804,4599248.361159856
quarterly,Quarterly,2022,1759136.446961945,733715.4378229997,2492851.8847849444,1549637.984559804,4599248.361159856
quarterly,Quarterly,2023,1199078.4390915888,790432.8152176776,1989511.2543092663,1549637.984559804,4599248.361159856
quarterly,Quarterly,2024,3174298.4386426285,982195.8054052824,4156494.244047911,1549637.984559804,4599248.361159856
quarterly,Quarterly,2025,3505649.8356455704,1093598.5255142858,4599248.361159856,1549637.984559804,4599248.361159856
quarterly,Quarterly,2026,0.0,679657.4281181865,679657.4281181865,1549637.984559804,4599248.361159856
semiannual,Semiannual,2010,0.0,239529.1336283765,239529.1336283765,1455061.8095442113,4278249.7202554615
semiannual,Semiannual,2011,0.0,269515.67162657366,269515.67162657366,1455061.8095442113,4278249.7202554615
semiannual,Semiannual,2012,0.0,281304.9035263439,281304.9035263439,1455061.8095442113,4278249.7202554615
semiannual,Semiannual,2013,0.0,303819.2926324583,303819.2926324583,1455061.8095442113,4278249.7202554615
semiannual,Semiannual,2014,45622.03857047308,342266.0893725949,387888.127943068,1455061.8095442113,4278249.7202554615
semiannual,Semiannual,2015,23648.310222291166,388235.7462424438,411884.05646473495,1455061.8095442113,4278249.7202554615
semiannual,Semiannual,2016,0.0,402717.0882199261,402717.0882199261,1455061.8095442113,4278249.7202554615
semiannual,Semiannual,2017,534742.2980637538,428731.7843359153,963474.0823996691,1455061.8095442113,4278249.7202554615
semiannual,Semiannual,2018,919609.5932517231,463383.5925484858,1382993.185800209,1455061.8095442113,4278249.7202554615
semiannual,Semiannual,2019,222227.363261969,528136.5672307065,750363.9304926754,1455061.8095442113,4278249.7202554615
semiannual,Semiannual,2020,1389036.5999800279,615479.8004308866,2004516.4004109143,1455061.8095442113,4278249.7202554615
