scenario,label,tax_year,baseline_capital_gains_tax_krw,scenario_capital_gains_tax_krw,capital_gains_tax_reduction_vs_t003_a_krw,tlh_true_up_tax_savings_krw
T003-A,No TLH,2010,0.0,0.0,0.0,0.0
T003-A,No TLH,2011,0.0,0.0,0.0,0.0
T003-A,No TLH,2012,0.0,0.0,0.0,0.0
T003-A,No TLH,2013,0.0,0.0,0.0,0.0
T003-A,No TLH,2014,0.0,0.0,0.0,0.0
T003-A,No TLH,2015,0.0,0.0,0.0,0.0
T003-A,No TLH,2016,0.0,0.0,0.0,0.0
T003-A,No TLH,2017,745647.736155032,745647.736155032,0.0,0.0
T003-A,No TLH,2018,1250945.7843916384,1250945.7843916384,0.0,0.0
T003-A,No TLH,2019,0.0,0.0,0.0,0.0
T003-A,No TLH,2020,2878754.023181144,2878754.023181144,0.0,0.0
T003-A,No TLH,2021,2488136.7618210763,2488136.7618210763,0.0,0.0
T003-A,No TLH,2022,1790671.2111778099,1790671.2111778099,0.0,0.0
T003-A,No TLH,2023,1138614.7920916055,1138614.7920916055,0.0,0.0
T003-A,No TLH,2024,3210196.265814355,3210196.265814355,0.0,0.0
T003-A,No TLH,2025,3515681.346646889,3515681.346646889,0.0,0.0
T003-A,No TLH,2026,0.0,0.0,0.0,0.0
T003-B,Year-end TLH: all loss lots,2010,0.0,0.0,0.0,0.0
T003-B,Year-end TLH: all loss lots,2011,0.0,0.0,0.0,0.0
T003-B,Year-end TLH: all loss lots,2012,0.0,0.0,0.0,0.0
T003-B,Year-end TLH: all loss lots,2013,0.0,0.0,0.0,0.0
T003-B,Year-end TLH: all loss lots,2014,0.0,0.0,0.0,0.0
T003-B,Year-end TLH: all loss lots,2015,0.0,24870.391206980366,-24870.391206980366,0.0
T003-B,Year-end TLH: all loss lots,2016,0.0,0.0,0.0,0.0
T003-B,Year-end TLH: all loss lots,2017,745647.736155032,606733.599839421,138914.13631561096,138641.00352370023
T003-B,Year-end TLH: all loss lots,2018,1250945.7843916384,1258510.849657894,-7565.065266255755,0.0
T003-B,Year-end TLH: all loss lots,2019,0.0,0.0,0.0,0.0
T003-B,Year-end TLH: all loss lots,2020,2878754.023181144,2453735.181023196,425018.8421579483,458491.37629103696
T003-B,Year-end TLH: all loss lots,2021,2488136.7618210763,2544131.828321196,-55995.066500119865,0.0
T003-B,Year-end TLH: all loss lots,2022,1790671.2111778099,1408170.458584762,382500.7525930479,457421.54417017085
T003-B,Year-end TLH: all loss lots,2023,1138614.7920916055,1266202.7760193872,-127587.9839277817,15837.045327231195
T003-B,Year-end TLH: all loss lots,2024,3210196.265814355,3237641.0013285694,-27444.735514214262,0.0
T003-B,Year-end TLH: all loss lots,2025,3515681.346646889,3556611.286209401,-40929.939562512096,0.0
T003-B,Year-end TLH: all loss lots,2026,0.0,0.0,0.0,0.0
T003-C,Quarter-end TLH: all loss lots,2010,0.0,0.0,0.0,0.0
T003-C,Quarter-end TLH: all loss lots,2011,0.0,0.0,0.0,0.0
T003-C,Quarter-end TLH: all loss lots,2012,0.0,0.0,0.0,0.0
T003-C,Quarter-end TLH: all loss lots,2013,0.0,0.0,0.0,0.0
T003-C,Quarter-end TLH: all loss lots,2014,0.0,0.0,0.0,0.0
T003-C,Quarter-end TLH: all loss lots,2015,0.0,29824.2379692927,-29824.2379692927,0.0
T003-C,Quarter-end TLH: all loss lots,2016,0.0,0.0,0.0,0.0
T003-C,Quarter-end TLH: all loss lots,2017,745647.736155032,617105.0209625413,128542.7151924906,88323.65322031094
T003-C,Quarter-end TLH: all loss lots,2018,1250945.7843916384,1202357.3136286559,48588.4707629825,6638.439823709615
T003-C,Quarter-end TLH: all loss lots,2019,0.0,0.0,0.0,0.0
T003-C,Quarter-end TLH: all loss lots,2020,2878754.023181144,2486123.117270175,392630.90591096925,456064.0073835295
T003-C,Quarter-end TLH: all loss lots,2021,2488136.7618210763,2412066.7599068657,76070.00191421062,0.0
T003-C,Quarter-end TLH: all loss lots,2022,1790671.2111778099,1540444.756598109,250226.45457970095,443226.9108104894
T003-C,Quarter-end TLH: all loss lots,2023,1138614.7920916055,1245414.1843461297,-106799.39225452417,34211.25942085853
T003-C,Quarter-end TLH: all loss lots,2024,3210196.265814355,3225443.6211913163,-15247.355376961175,0.0
T003-C,Quarter-end TLH: all loss lots,2025,3515681.346646889,3540045.762386947,-24364.415740057826,0.0
T003-C,Quarter-end TLH: all loss lots,2026,0.0,0.0,0.0,0.0
T003-D,Year-end TLH: loss <= -5%,2010,0.0,0.0,0.0,0.0
T003-D,Year-end TLH: loss <= -5%,2011,0.0,0.0,0.0,0.0
T003-D,Year-end TLH: loss <= -5%,2012,0.0,0.0,0.0,0.0
T003-D,Year-end TLH: loss <= -5%,2013,0.0,0.0,0.0,0.0
T003-D,Year-end TLH: loss <= -5%,2014,0.0,0.0,0.0,0.0
T003-D,Year-end TLH: loss <= -5%,2015,0.0,14604.622341703745,-14604.622341703745,0.0
T003-D,Year-end TLH: loss <= -5%,2016,0.0,0.0,0.0,0.0
T003-D,Year-end TLH: loss <= -5%,2017,745647.736155032,626826.2408717293,118821.49528330262,118768.82818280546
T003-D,Year-end TLH: loss <= -5%,2018,1250945.7843916384,1254108.986020451,-3163.2016288125888,0.0
T003-D,Year-end TLH: loss <= -5%,2019,0.0,0.0,0.0,0.0
T003-D,Year-end TLH: loss <= -5%,2020,2878754.023181144,2454886.336085934,423867.68709520996,458668.8555979464
T003-D,Year-end TLH: loss <= -5%,2021,2488136.7618210763,2545356.88736133,-57220.125540253706,0.0
T003-D,Year-end TLH: loss <= -5%,2022,1790671.2111778099,1716390.6367386023,74280.57443920756,150147.540561105
T003-D,Year-end TLH: loss <= -5%,2023,1138614.7920916055,1283939.0605883615,-145324.26849675598,0.0
T003-D,Year-end TLH: loss <= -5%,2024,3210196.265814355,3237516.916967852,-27320.651153496932,0.0
T003-D,Year-end TLH: loss <= -5%,2025,3515681.346646889,3552731.682717526,-37050.33607063675,0.0
T003-D,Year-end TLH: loss <= -5%,2026,0.0,0.0,0.0,0.0
T003-E,Year-end TLH: loss <= -10%,2010,0.0,0.0,0.0,0.0
T003-E,Year-end TLH: loss <= -10%,2011,0.0,0.0,0.0,0.0
T003-E,Year-end TLH: loss <= -10%,2012,0.0,0.0,0.0,0.0
T003-E,Year-end TLH: loss <= -10%,2013,0.0,0.0,0.0,0.0
T003-E,Year-end TLH: loss <= -10%,2014,0.0,0.0,0.0,0.0
T003-E,Year-end TLH: loss <= -10%,2015,0.0,0.0,0.0,0.0
