vehicle,label,tax_year,capital_gains_tax_krw,dividend_withholding_krw,domestic_distribution_tax_krw,isa_separate_tax_krw,pension_tax_credit_krw,total_tax_or_credit_krw
V1,Overseas ETF direct taxable,2010,0.0,241553.56064624363,0.0,0.0,0.0,241553.56064624363
V1,Overseas ETF direct taxable,2011,0.0,265173.06449679064,0.0,0.0,0.0,265173.06449679064
V1,Overseas ETF direct taxable,2012,0.0,289424.4360597909,0.0,0.0,0.0,289424.4360597909
V1,Overseas ETF direct taxable,2013,0.0,310080.9709583728,0.0,0.0,0.0,310080.9709583728
V1,Overseas ETF direct taxable,2014,0.0,345946.9598740886,0.0,0.0,0.0,345946.9598740886
V1,Overseas ETF direct taxable,2015,0.0,391127.6243561443,0.0,0.0,0.0,391127.6243561443
V1,Overseas ETF direct taxable,2016,0.0,412989.7624178034,0.0,0.0,0.0,412989.7624178034
V1,Overseas ETF direct taxable,2017,745647.736155032,442274.4237624215,0.0,0.0,0.0,1187922.1599174533
V1,Overseas ETF direct taxable,2018,1250945.7843916384,475566.6310802923,0.0,0.0,0.0,1726512.4154719305
V1,Overseas ETF direct taxable,2019,0.0,540908.8831214588,0.0,0.0,0.0,540908.8831214588
V1,Overseas ETF direct taxable,2020,2878754.023181144,626492.2696923539,0.0,0.0,0.0,3505246.292873498
V1,Overseas ETF direct taxable,2021,2488136.7618210763,777101.5866430345,0.0,0.0,0.0,3265238.348464111
V1,Overseas ETF direct taxable,2022,1790671.2111778099,755360.0091781381,0.0,0.0,0.0,2546031.220355948
V1,Overseas ETF direct taxable,2023,1138614.7920916055,815707.7449774871,0.0,0.0,0.0,1954322.5370690925
V1,Overseas ETF direct taxable,2024,3210196.265814355,1016185.6445980454,0.0,0.0,0.0,4226381.910412401
V1,Overseas ETF direct taxable,2025,3515681.346646889,1134252.810770639,0.0,0.0,0.0,4649934.157417528
V1,Overseas ETF direct taxable,2026,0.0,706184.4770420216,0.0,0.0,0.0,706184.4770420216
V2,Korean-listed US ETF taxable,2010,0.0,247936.14234126892,105413.0673322504,0.0,0.0,353349.2096735193
V2,Korean-listed US ETF taxable,2011,0.0,271810.205482821,256142.5031347023,0.0,0.0,527952.7086175233
V2,Korean-listed US ETF taxable,2012,0.0,295882.5221225552,253716.9862112058,0.0,0.0,549599.508333761
V2,Korean-listed US ETF taxable,2013,0.0,316534.39915707754,293956.8997984994,0.0,0.0,610491.298955577
V2,Korean-listed US ETF taxable,2014,0.0,352123.2987579266,357173.8003563299,0.0,0.0,709297.0991142564
V2,Korean-listed US ETF taxable,2015,0.0,397242.1938822683,384977.1984865165,0.0,0.0,782219.3923687848
V2,Korean-listed US ETF taxable,2016,0.0,418717.7801299125,168759.28404554704,0.0,0.0,587477.0641754596
V2,Korean-listed US ETF taxable,2017,0.0,447592.6371992304,916912.5347629623,0.0,0.0,1364505.1719621927
V2,Korean-listed US ETF taxable,2018,0.0,481001.3664339825,1245981.2952262776,0.0,0.0,1726982.66166026
V2,Korean-listed US ETF taxable,2019,0.0,547276.9724072875,288271.8336886355,0.0,0.0,835548.806095923
V2,Korean-listed US ETF taxable,2020,0.0,633164.0719905505,2360803.497332232,0.0,0.0,2993967.5693227826
V2,Korean-listed US ETF taxable,2021,0.0,786504.7846938171,2080622.390367863,0.0,0.0,2867127.1750616804
V2,Korean-listed US ETF taxable,2022,0.0,765688.949543344,1588038.7930245043,0.0,0.0,2353727.7425678484
V2,Korean-listed US ETF taxable,2023,0.0,826903.8940789178,1165630.883334399,0.0,0.0,1992534.7774133168
V2,Korean-listed US ETF taxable,2024,0.0,1030505.8056653336,2567033.888918281,0.0,0.0,3597539.694583615
V2,Korean-listed US ETF taxable,2025,0.0,1152215.9393444564,2762040.760439273,0.0,0.0,3914256.6997837294
V2,Korean-listed US ETF taxable,2026,0.0,717933.3623648243,0.0,0.0,0.0,717933.3623648243
V3,Brokerage ISA,2010,0.0,0.0,0.0,29069.639418401555,0.0,29069.639418401555
V3,Brokerage ISA,2011,0.0,0.0,0.0,141165.99941817235,0.0,141165.99941817235
V3,Brokerage ISA,2012,0.0,0.0,0.0,155009.1428278928,0.0,155009.1428278928
V3,Brokerage ISA,2013,0.0,0.0,0.0,192950.86953299638,0.0,192950.86953299638
V3,Brokerage ISA,2014,0.0,0.0,0.0,257160.22751693145,0.0,257160.22751693145
V3,Brokerage ISA,2015,0.0,0.0,0.0,304847.4390777488,0.0,304847.4390777488
V3,Brokerage ISA,2016,0.0,0.0,0.0,181717.28913340846,0.0,181717.28913340846
V3,Brokerage ISA,2017,0.0,0.0,0.0,678874.6609282033,0.0,678874.6609282033
V3,Brokerage ISA,2018,0.0,0.0,0.0,911931.3958114017,0.0,911931.3958114017
V3,Brokerage ISA,2019,0.0,0.0,0.0,342769.88977058616,0.0,342769.88977058616
V3,Brokerage ISA,2020,0.0,0.0,0.0,1729358.3111792512,0.0,1729358.3111792512
V3,Brokerage ISA,2021,0.0,0.0,0.0,1641308.3529244545,0.0,1641308.3529244545
V3,Brokerage ISA,2022,0.0,0.0,0.0,1246819.731400322,0.0,1246819.731400322
V3,Brokerage ISA,2023,0.0,0.0,0.0,1089773.7992587143,0.0,1089773.7992587143
V3,Brokerage ISA,2024,0.0,0.0,0.0,2122238.5706633814,0.0,2122238.5706633814
V3,Brokerage ISA,2025,0.0,0.0,0.0,2335115.1572709507,0.0,2335115.1572709507
V3,Brokerage ISA,2026,0.0,0.0,0.0,270303.5487976446,0.0,270303.5487976446
V4,Pension savings,2010,0.0,0.0,0.0,0.0,-792000.0,-792000.0
V4,Pension savings,2011,0.0,0.0,0.0,0.0,-792000.0,-792000.0
V4,Pension savings,2012,0.0,0.0,0.0,0.0,-792000.0,-792000.0
V4,Pension savings,2013,0.0,0.0,0.0,0.0,-792000.0,-792000.0
V4,Pension savings,2014,0.0,0.0,0.0,0.0,-792000.0,-792000.0
V4,Pension savings,2015,0.0,0.0,0.0,0.0,-792000.0,-792000.0
V4,Pension savings,2016,0.0,0.0,0.0,0.0,-792000.0,-792000.0
V4,Pension savings,2017,0.0,0.0,0.0,0.0,-792000.0,-792000.0
V4,Pension savings,2018,0.0,0.0,0.0,0.0,-792000.0,-792000.0
V4,Pension savings,2019,0.0,0.0,0.0,0.0,-792000.0,-792000.0
V4,Pension savings,2020,0.0,0.0,0.0,0.0,-792000.0,-792000.0
V4,Pension savings,2021,0.0,0.0,0.0,0.0,-792000.0,-792000.0
V4,Pension savings,2022,0.0,0.0,0.0,0.0,-792000.0,-792000.0
V4,Pension savings,2023,0.0,0.0,0.0,0.0,-792000.0,-792000.0
V4,Pension savings,2024,0.0,0.0,0.0,0.0,-792000.0,-792000.0
V4,Pension savings,2025,0.0,0.0,0.0,0.0,-792000.0,-792000.0
V4,Pension savings,2026,0.0,0.0,0.0,0.0,-792000.0,-792000.0
V5,IRP,2010,0.0,0.0,0.0,0.0,-396000.0,-396000.0
V5,IRP,2011,0.0,0.0,0.0,0.0,-396000.0,-396000.0
V5,IRP,2012,0.0,0.0,0.0,0.0,-396000.0,-396000.0
V5,IRP,2013,0.0,0.0,0.0,0.0,-396000.0,-396000.0
V5,IRP,2014,0.0,0.0,0.0,0.0,-396000.0,-396000.0
V5,IRP,2015,0.0,0.0,0.0,0.0,-396000.0,-396000.0
V5,IRP,2016,0.0,0.0,0.0,0.0,-396000.0,-396000.0
V5,IRP,2017,0.0,0.0,0.0,0.0,-396000.0,-396000.0
V5,IRP,2018,0.0,0.0,0.0,0.0,-396000.0,-396000.0
V5,IRP,2019,0.0,0.0,0.0,0.0,-396000.0,-396000.0
V5,IRP,2020,0.0,0.0,0.0,0.0,-396000.0,-396000.0
V5,IRP,2021,0.0,0.0,0.0,0.0,-396000.0,-396000.0
V5,IRP,2022,0.0,0.0,0.0,0.0,-396000.0,-396000.0
V5,IRP,2023,0.0,0.0,0.0,0.0,-396000.0,-396000.0
V5,IRP,2024,0.0,0.0,0.0,0.0,-396000.0,-396000.0
V5,IRP,2025,0.0,0.0,0.0,0.0,-396000.0,-396000.0
V5,IRP,2026,0.0,0.0,0.0,0.0,-396000.0,-396000.0
