ticker,rcept_dt,official_status_category,report_nm,rcept_no,w001_tradable_state,reconciliation_class
227100,2023-09-27,other,소송등의제기ㆍ신청(경영권분쟁소송)(직무집행정지 등 가처분신청서),20230927900947,PANEL_ABSENT_OR_OUT_OF_SCOPE,requires_manual_review
110790,2023-09-27,suspension_related,"주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)",20230927900766,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
073540,2023-09-27,suspension_related,주권매매거래정지(단일판매공급계약),20230927900388,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
089530,2023-09-26,delisting,기타시장안내(상장폐지 관련 이의신청서 접수),20230926900863,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
099520,2023-09-26,suspension_related,주권매매거래정지기간변경(상장폐지 사유 해소),20230926900837,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
099520,2023-09-26,suspension_related,기타시장안내(형식적 상장폐지 사유 해소 및 매매거래정지 지속 안내),20230926900835,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
114120,2023-09-26,delisting,기타시장안내(상장폐지 관련 이의신청서 제출),20230926900798,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
067390,2023-09-26,other,[기재정정]채권은행등의관리절차개시(종속회사의주요경영사항),20230926900768,PANEL_ABSENT_OR_OUT_OF_SCOPE,requires_manual_review
205100,2023-09-26,suspension_related,주권매매거래정지(무상증자),20230926900688,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
058450,2023-09-26,suspension_related,주권매매거래정지(자본감소),20230926900600,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
258830,2023-09-26,suspension_related,주권매매거래정지(중요한 영업정지),20230926900473,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
069110,2023-09-25,resumption_related,기타시장안내(상장폐지결정등 효력정지 가처분 신청 기각결정 및 정리매매절차 재개),20230925900742,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
001080,2023-09-25,delisting,투자유의안내(상장폐지기준 해당),20230925800729,panel_absence,official_status_but_panel_absent
056080,2023-09-25,suspension_related,주권매매거래정지(중요한 영업정지),20230925900497,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
001080,2023-09-25,resumption_related,매매거래정지및정지해제(풍문등조회공시),20230925800473,panel_absence,official_status_but_panel_absent
223250,2023-09-25,suspension_related,주권매매거래정지(무상증자),20230925900380,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
093230,2023-09-22,delisting,기타시장안내(상장폐지 이의신청서 접수),20230922800603,panel_absence,official_status_but_panel_absent
196300,2023-09-22,suspension_related,주권매매거래정지(무상증자),20230922900387,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
021040,2023-09-21,managed,기타시장안내(대호특수강 1우선주 관리종목 지정 우려 예고),20230921900573,PANEL_ABSENT_OR_OUT_OF_SCOPE,proxy_only
404950,2023-09-21,resumption_related,주권매매거래정지해제(상장예비심사결과 통지(승인)),20230921900569,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
009290,2023-09-21,resumption_related,매매거래정지및정지해제(중요내용공시),20230921800367,panel_absence,official_status_but_panel_absent
397880,2023-09-21,suspension_related,주권매매거래정지(SPAC 합병(예비심사청구대상)),20230921900265,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
150840,2023-09-21,suspension_related,주권매매거래정지기간변경(상장폐지 사유 해소),20230921900230,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
150840,2023-09-21,suspension_related,기타시장안내(형식적 상장폐지 사유 해소 및 매매거래정지 지속 안내),20230921900232,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
093510,2023-09-21,delisting,기타시장안내(지정자문인 선임계약 해지에 따른 상장폐지절차 안내),20230921600170,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
093510,2023-09-21,suspension_related,주권매매거래정지(지정자문인 계약해지),20230921600172,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
402030,2023-09-21,suspension_related,주권매매거래정지(무상증자),20230921900106,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
