ticker,markets,first_snapshot,last_snapshot,n_snapshots,permanent_id,permanent_id_source,corp_code_dart,corp_name_dart,name_krx,terminal_status,terminal_date,confidence_flag
000020,KOSPI,2010-01-04,2026-05-04,197,DART_00119195,dart_corp_code,119195.0,동화약품,동화약품,,,still_listed
000030,KOSPI,2014-12-01,2019-02-01,51,KRX_TICKER_000030,krx_ticker_fallback,,,우리은행,suspended_last_known,2018-06-19,delisted_with_terminal
000040,KOSPI,2010-01-04,2026-05-04,197,DART_00112378,dart_corp_code,112378.0,KR모터스,KR모터스,delisted,2022-05-27,delisted_with_terminal
000050,KOSPI,2010-01-04,2026-05-04,197,DART_00101628,dart_corp_code,101628.0,경방,경방,,,still_listed
000060,KOSPI,2010-01-04,2023-02-01,158,,,,,,suspended_last_known,2022-11-21,delisted_with_terminal
000070,KOSPI,2010-01-04,2026-05-04,197,DART_00126937,dart_corp_code,126937.0,삼양홀딩스,삼양홀딩스,delisted,2024-12-23,delisted_with_terminal
000075,KOSPI,2010-01-04,2025-08-01,188,,,,,,,,disappeared_no_terminal
000080,KOSPI,2010-01-04,2026-05-04,197,DART_00150244,dart_corp_code,150244.0,하이트진로,하이트진로,,,still_listed
000087,KOSPI,2011-10-04,2026-05-04,176,,,,,,,,still_listed
000100,KOSPI,2010-01-04,2026-05-04,197,DART_00145109,dart_corp_code,145109.0,유한양행,유한양행,,,still_listed
000105,KOSPI,2010-01-04,2026-05-04,197,,,,,,,,still_listed
000120,KOSPI,2010-01-04,2026-05-04,197,DART_00113410,dart_corp_code,113410.0,CJ대한통운,CJ대한통운,,,still_listed
000140,KOSPI,2010-01-04,2026-05-04,197,DART_00148993,dart_corp_code,148993.0,하이트진로홀딩스,하이트진로홀딩스,active,,still_listed
000145,KOSPI,2010-01-04,2026-05-04,197,,,,,,,,still_listed
000150,KOSPI,2010-01-04,2026-05-04,197,DART_00117212,dart_corp_code,117212.0,두산,두산,active,,still_listed
000155,KOSPI,2010-01-04,2026-05-04,197,,,,,,,,still_listed
000157,KOSPI,2010-01-04,2026-05-04,197,,,,,,,,still_listed
000180,KOSPI,2010-01-04,2026-05-04,197,DART_00133335,dart_corp_code,133335.0,성창기업지주,성창기업지주,active,,still_listed
0001A0,KOSDAQ,2026-02-02,2026-05-04,4,,,,,,,,still_listed
000210,KOSPI,2010-01-04,2026-05-04,197,DART_00109693,dart_corp_code,109693.0,DL,DL,suspended_last_known,2020-09-10,delisted_with_terminal
000215,KOSPI,2010-01-04,2026-05-04,197,,,,,,,,still_listed
000220,KOSPI,2010-01-04,2026-05-04,197,DART_00144818,dart_corp_code,144818.0,유유제약,유유제약,suspended_last_known,2021-03-16,delisted_with_terminal
000225,KOSPI,2010-01-04,2026-05-04,197,,,,,,,,still_listed
000227,KOSPI,2010-01-04,2026-05-04,197,,,,,,,,still_listed
000230,KOSPI,2010-01-04,2026-05-04,197,DART_00146083,dart_corp_code,146083.0,일동홀딩스,일동홀딩스,,,still_listed
000240,KOSPI,2010-01-04,2026-05-04,197,DART_00160047,dart_corp_code,160047.0,한국앤컴퍼니,한국앤컴퍼니,,,still_listed
000250,KOSDAQ,2010-01-04,2026-05-04,197,,,,,,,,still_listed
000270,KOSPI,2010-01-04,2026-05-04,197,DART_00106641,dart_corp_code,106641.0,기아,기아,active,,still_listed
000300,KOSPI,2010-01-04,2026-05-04,197,DART_00126089,dart_corp_code,126089.0,DH오토넥스,DH오토넥스,delisted,2024-04-22,delisted_with_terminal
000320,KOSPI,2010-01-04,2026-05-04,197,DART_00113508,dart_corp_code,113508.0,노루홀딩스,노루홀딩스,,,still_listed
000325,KOSPI,2010-01-04,2026-05-04,197,,,,,,,,still_listed
000327,KOSPI,2010-01-04,2017-09-01,93,,,,,,,,disappeared_no_terminal
000360,KOSPI,2010-01-04,2015-04-01,64,,,,,,,,disappeared_no_terminal
000365,KOSPI,2010-01-04,2015-04-01,64,,,,,,,,disappeared_no_terminal
000370,KOSPI,2010-01-04,2026-05-04,197,DART_00135917,dart_corp_code,135917.0,한화손해보험,한화손해보험,,,still_listed
000390,KOSPI,2010-01-04,2026-05-04,197,DART_00129387,dart_corp_code,129387.0,SP삼화,SP삼화,,,still_listed
000400,KOSPI,2010-01-04,2026-05-04,197,DART_00113562,dart_corp_code,113562.0,롯데손해보험,롯데손해보험,,,still_listed
000420,KOSPI,2010-01-04,2015-02-02,62,,,,,,,,disappeared_no_terminal
000425,KOSPI,2010-01-04,2015-02-02,62,,,,,,,,disappeared_no_terminal
000430,KOSPI,2010-01-04,2026-05-04,197,DART_00111847,dart_corp_code,111847.0,대원강업,대원강업,,,still_listed
000440,KOSDAQ,2010-01-04,2026-05-04,197,,,,,,active,,still_listed
000470,KOSPI,2010-01-04,2012-07-02,31,,,,,,,,disappeared_no_terminal
000480,KOSPI,2010-01-04,2026-05-04,197,DART_00148984,dart_corp_code,148984.0,시알홀딩스,CR홀딩스,suspended_last_known,2023-01-10,delisted_with_terminal
000490,KOSPI,2010-01-04,2026-05-04,197,DART_00109286,dart_corp_code,109286.0,대동,대동,,,still_listed
0004V0,KOSDAQ,2026-02-02,2026-05-04,4,,,,,,,,still_listed
0004Y0,KOSDAQ,2025-08-01,2026-05-04,10,,,,,,,,still_listed
000500,KOSPI,2010-01-04,2026-05-04,197,DART_00104768,dart_corp_code,104768.0,가온전선,가온전선,,,still_listed
000520,KOSPI,2010-01-04,2026-05-04,197,DART_00128032,dart_corp_code,128032.0,삼일제약,삼일제약,suspended_last_known,2023-03-09,delisted_with_terminal
