column_name,pre_phase_callsites,post_phase_callsites,pre_phase_defects,patched,upstream_guarded,still_reopen_blocker,audit_only_no_patch_needed,not_patched_requires_future_work,overall_post_status
Change,10,10,2,1,0,0,1,0,MIXED
KRX종가,196,196,25,5,5,13,2,0,STILL_BLOCKED_OR_FUTURE_WORK
cap_weighted_return,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
category,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
corp_code_dart,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
corp_name,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
corp_name_dart,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
daily_return,104,104,32,10,17,4,0,1,STILL_BLOCKED_OR_FUTURE_WORK
first_snapshot,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
flag_audit_issue,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
flag_capital_raise,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
flag_capital_reduction,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
flag_cb_bw,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
flag_contract,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
flag_earnings,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
flag_event_risk,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
flag_large_holder,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
flag_litigation,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
flag_merger_split,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
flag_trading_halt,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
flag_treasury_stock,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
foreign_net_buy_amount,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
foreign_net_buy_shares,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
institution_net_buy_amount,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
institution_net_buy_shares,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
kospi_foreign_net,11,11,3,2,1,0,0,0,RESOLVED_OR_UPSTREAM_GUARDED
kospi_individual_net,4,4,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
kospi_institution_net,10,10,3,2,1,0,0,0,RESOLVED_OR_UPSTREAM_GUARDED
kospi_trade_volume,2,2,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
krx_foreign,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
krx_institution,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
krx_last_snapshot,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
large_foreign_net,2,2,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
large_institution_net,2,2,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
last_snapshot,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
lstg_abol_dt,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
lstg_stqt,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
markets,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
name,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
name_krx,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
panel_foreign,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
panel_institution,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
program_basis,2,2,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
snapshot_count,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
stock_code,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
sum_foreign_net_buy_amount,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
sum_foreign_net_buy_shares,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
sum_institution_net_buy_amount,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
sum_institution_net_buy_shares,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
ticker,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
tradable_state,10,10,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
거래대금추정,50,50,11,4,3,4,0,0,STILL_BLOCKED_OR_FUTURE_WORK
거래량,12,12,1,0,0,0,1,0,MIXED
고가,21,21,3,0,1,1,1,0,STILL_BLOCKED_OR_FUTURE_WORK
기관순매매량,8,8,1,1,0,0,0,0,RESOLVED_OR_UPSTREAM_GUARDED
기관순매수금액추정,18,18,4,2,2,0,0,0,RESOLVED_OR_UPSTREAM_GUARDED
동적유니버스포함,32,32,7,5,0,0,2,0,MIXED
상장주식수,8,8,4,0,0,4,0,0,STILL_BLOCKED_OR_FUTURE_WORK
시가,91,91,18,3,0,14,1,0,STILL_BLOCKED_OR_FUTURE_WORK
시가총액추정,31,31,15,2,4,3,6,0,STILL_BLOCKED_OR_FUTURE_WORK
외국인순매매량,10,10,2,1,0,0,1,0,MIXED
외국인순매수금액추정,20,20,5,2,2,0,1,0,MIXED
저가,19,19,3,0,1,1,1,0,STILL_BLOCKED_OR_FUTURE_WORK
종가,90,90,2,0,0,0,2,0,MIXED
종목명,0,0,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
키움거래대금순위,3,3,0,0,0,0,0,0,NO_PRE_PHASE_DEFECT
