column_name,n_callsites,n_pass,n_guarded,n_missing_guard,n_invalid_row_leak,n_ambiguous,n_not_applicable,any_callsite_outside_audit,overall_status,remediation
Change,13,0,2,2,0,0,9,True,DEFECT_MISSING_GUARD,add documented guard within ±5 lines or annotate upstream quarantine
KRX종가,200,11,115,15,10,0,49,True,DEFECT_LEAK,block call sites + add invalid-row guard per `invalid_ohlcv_row_contract.md`
cap_weighted_return,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
category,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
corp_code_dart,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
corp_name,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
corp_name_dart,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
daily_return,115,0,8,5,27,0,75,True,DEFECT_LEAK,block call sites + add invalid-row guard per `invalid_ohlcv_row_contract.md`
first_snapshot,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
flag_audit_issue,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
flag_capital_raise,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
flag_capital_reduction,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
