correction_rcept_no,correction_rcept_dt,stock_code,corp_code,corp_name,correction_report_nm,event_category,pass1_link_confidence,pass2_link_confidence,pass2_cross_category,pass2_raw_pool,pass2_long_window,n_cands_730d,root_cause,notes
20100211900740,20100211,036090,00258360,위지트,[기재정정]주권매매거래정지,suspension_related,no_link,low,False,False,False,1,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20100415900118,20100415,036850,00208693,나리지*온,[기재정정]주권매매거래정지,suspension_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20100917900141,20100917,027710,00192499,팜스토리,[기재정정]주권매매거래정지(우회상장여부 및 요건충족확인),suspension_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20100705800432,20100705,001260,00107066,남광토건,[기재정정]매매거래정지및정지해제(중요내용공시),resumption_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20101208900051,20101208,095190,00526951,신화프리텍,[기재정정]주권매매거래정지(무상증자),suspension_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20101126900274,20101126,060900,00367695,에이전트AI,[기재정정]기타경영사항(자율공시)(광업권 매매계약 해제 등),resumption_related,no_link,no_link,False,False,True,10,window_too_short,candidate at 248d (pass-1 used 180d)
20101015900434,20101015,038120,00266989,에이디모터스,[기재정정]주권매매거래정지(무상증자),suspension_related,no_link,medium,False,False,True,1,window_too_short,candidate at 247d (pass-1 used 180d)
20101015900293,20101015,068930,00398808,디지털대성,[기재정정]주권매매거래정지(우회상장여부 및 요건충족확인),suspension_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20110224900602,20110224,026250,00127370,삼우이엠씨,[기재정정]주권매매거래정지,suspension_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20110614900389,20110614,050640,00439053,이룸지엔지,[기재정정]주권매매거래정지기간변경(상장폐지 실질심사 대상 결정),suspension_related,no_link,low,False,False,False,2,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20110531800008,20110531,000800,00101257,경남기업,[기재정정]매매거래정지및정지해제(중요내용공시),resumption_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20110407800122,20110407,005440,00105280,현대지에프홀딩스,[기재정정]매매거래정지및정지해제(중요내용공시),resumption_related,no_link,high,False,False,True,1,window_too_short,candidate at 359d (pass-1 used 180d)
20110923900387,20110923,065940,00155382,바이오빌,[기재정정]주권매매거래정지,suspension_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20120307900749,20120307,037760,00239596,쎄니트,[기재정정]주권매매거래정지(관리종목지정우려),suspension_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20120209900299,20120209,083930,00442145,아바코,[기재정정]주권매매거래정지,suspension_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20120201900424,20120201,042510,00255433,라온시큐어,[기재정정]주권매매거래정지,suspension_related,no_link,medium,False,False,True,2,window_too_short,candidate at 281d (pass-1 used 180d)
20120201900262,20120201,038500,00239639,삼표시멘트,[기재정정]주권매매거래정지,suspension_related,no_link,no_link,False,False,False,1,window_too_short,candidate at 671d (pass-1 used 180d)
20120131800145,20120131,114130,00778040,거북선5호선박투자회사,[기재정정]매매거래정지및정지해제(중요내용공시),resumption_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20120131800143,20120131,114140,00778059,거북선6호선박투자회사,[기재정정]매매거래정지및정지해제(중요내용공시),resumption_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20120423900095,20120423,048460,00275260,엑큐리스,[기재정정]주권매매거래정지(합병 및 감자),suspension_related,no_link,medium,False,False,True,3,window_too_short,candidate at 347d (pass-1 used 180d)
20120423900096,20120423,036170,00232821,에이치엠넥스,[기재정정]주권매매거래정지(합병 및 감자),suspension_related,no_link,no_link,False,False,False,0,attachment_or_body_reference_required,issuer has prior rows but no candidate accepted by scoring; correction may reference body/attachment-only content
20120423900092,20120423,036170,00232821,에이치엠넥스,[기재정정]주권매매거래정지(합병 및 감자),suspension_related,no_link,no_link,False,False,False,0,attachment_or_body_reference_required,issuer has prior rows but no candidate accepted by scoring; correction may reference body/attachment-only content
20120423900091,20120423,048460,00275260,엑큐리스,[기재정정]주권매매거래정지(합병 및 감자),suspension_related,no_link,medium,False,False,True,3,window_too_short,candidate at 347d (pass-1 used 180d)
20120912900348,20120912,034510,00240398,무한투자,[기재정정]주권매매거래정지(상장폐지결정),suspension_related,no_link,medium,False,False,True,3,window_too_short,candidate at 181d (pass-1 used 180d)
20120731900236,20120731,105070,00579379,금강제강,[기재정정]주권매매거래정지(풍문 또는 보도 관련),suspension_related,no_link,no_link,False,False,False,1,window_too_short,candidate at 623d (pass-1 used 180d)
20130315901436,20130315,060910,00353230,프리젠,[기재정정]주권매매거래정지(투자자 보호),suspension_related,no_link,no_link,False,False,False,3,window_too_short,candidate at 366d (pass-1 used 180d)
20130314802024,20130314,003190,00112004,알앤엘재생의학연구소,[기재정정]매매거래정지및정지해제(중요내용공시),resumption_related,no_link,no_link,False,False,False,0,attachment_or_body_reference_required,issuer has prior rows but no candidate accepted by scoring; correction may reference body/attachment-only content
20130520900302,20130520,101170,00567222,우림피티에스,[기재정정]주권매매거래정지(무상증자),suspension_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20140519900313,20140519,099830,00232496,씨그널엔터테인먼트그룹,[기재정정]기타주요경영사항(유형자산 취득 계약 해제),resumption_related,no_link,no_link,False,False,False,1,cross_category_original_likely,candidate in suspension_related
20141016900317,20141016,121440,00674498,골프존홀딩스,[기재정정]주권매매거래정지(분할),suspension_related,no_link,no_link,False,False,False,1,window_too_short,candidate at 469d (pass-1 used 180d)
20150323600022,20150323,160350,00350491,웹솔루스,[기재정정]주권매매거래정지,suspension_related,no_link,low,False,False,False,2,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20150128900203,20150128,035620,00259590,바른손이앤에이,[기재정정]주권매매거래정지,suspension_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20150526800147,20150526,051310,00181934,플랜텍,[기재정정]매매거래정지및정지해제(중요내용공시),resumption_related,no_link,no_link,False,False,False,0,attachment_or_body_reference_required,issuer has prior rows but no candidate accepted by scoring; correction may reference body/attachment-only content
20150911800465,20150911,003940,00132105,삼양제넥스,[기재정정]매매거래정지및정지해제(중요내용공시),resumption_related,no_link,no_link,False,False,False,0,attachment_or_body_reference_required,issuer has prior rows but no candidate accepted by scoring; correction may reference body/attachment-only content
20151127900167,20151127,101330,00498001,모베이스,[기재정정]주권매매거래정지(무상증자),suspension_related,no_link,high,False,False,True,2,window_too_short,candidate at 290d (pass-1 used 180d)
20170223600535,20170223,224810,00607797,엄지하우스,[기재정정]주권매매거래정지(무상증자),suspension_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20170421900722,20170421,039230,00295370,제이앤케이인더스트리,[기재정정]주권매매거래정지(불성실공시법인 지정),suspension_related,no_link,no_link,False,False,False,0,attachment_or_body_reference_required,issuer has prior rows but no candidate accepted by scoring; correction may reference body/attachment-only content
20171110900736,20171110,117670,00605124,알파칩스,[기재정정]최대주주변경을수반하는주식담보제공계약해제ㆍ취소등,resumption_related,no_link,low,True,False,True,4,window_too_short,candidate at 368d (pass-1 used 180d)
20230717800694,2023-07-17,001340,122472,PKC,[기재정정]매매거래정지및정지해제(풍문등조회공시),resumption_related,no_link,no_link,False,False,False,2,window_too_short,candidate at 368d (pass-1 used 180d)
20230214900950,2023-02-14,291650,1265251,압타머사이언스,[기재정정]주권매매거래정지(무상증자),suspension_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
