correction_rcept_no,corp_name,correction_report_nm,tentative_confidence_5tier,blocker,local_adjudication_possible,recovery_requirement,recovery_performed,needs_separate_verdict_and_download_approval,overlaps_universe_zip_unparseable_residual
20150323600022,웹솔루스,[기재정정]주권매매거래정지,no_link,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20150128900203,바른손이앤에이,[기재정정]주권매매거래정지,no_link,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20150122900284,팬스타엔터프라이즈,[기재정정]기타주요경영사항(주식 및 경영권 양수도 계약 해제),no_link,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20150526800147,플랜텍,[기재정정]매매거래정지및정지해제(중요내용공시),no_link,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20150514901020,코데즈컴바인,[기재정정]주권매매거래정지기간변경(개선기간 부여),low_needs_manual,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20150421900128,해피드림,[기재정정]주권매매거래정지해제(상장폐지에 따른 정리매매 개시),medium_needs_manual,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20150925900143,네이트커뮤니케이션즈,[기재정정]최대주주변경을수반하는주식양수도계약해제ㆍ취소등,no_link,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20150911800465,삼양제넥스,[기재정정]매매거래정지및정지해제(중요내용공시),no_link,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20151231900042,제이스코홀딩스,[기재정정]최대주주변경을수반하는주식양수도계약해제ㆍ취소등,no_link,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20151230900233,제이스코홀딩스,[기재정정]최대주주변경을수반하는주식양수도계약해제ㆍ취소등,no_link,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20151127900167,모베이스,[기재정정]주권매매거래정지(무상증자),medium_needs_manual,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20160224900085,제이앤유글로벌,[기재정정]기타주요경영사항(타법인 주식 및 출자증권 취득계약 해제),no_link,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20160429600510,비엘사이언스,[기재정정]주권매매거래정지(구주권 제출),medium_needs_manual,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20160429900427,제이앤유글로벌,[기재정정]주권매매거래정지해제,low_needs_manual,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20160429900298,오상헬스케어,[기재정정]주권매매거래정지해제(상장폐지에 따른 정리매매 개시),medium_needs_manual,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20161125900030,네이트커뮤니케이션즈,[기재정정]주권매매거래정지(자진상장폐지 신청),medium_needs_manual,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20161115900075,케이엔씨글로벌,[기재정정]주권매매거래정지기간변경(투자자 보호),medium_needs_manual,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20161017900147,티엔엔터테인먼트,[기재정정]최대주주변경을수반하는주식담보제공계약해제ㆍ취소등,no_link,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20170330902219,퓨처코어,[기재정정]주권매매거래정지기간변경(상장폐지사유 발생 등),low_needs_manual,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20170327900337,신양오라컴디스플레이,[기재정정]기타주요경영사항(타법인 주식 및 출자증권 취득결정 계약해제),no_link,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20170223600535,엄지하우스,[기재정정]주권매매거래정지(무상증자),no_link,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20170124900649,케이에스피,[기재정정]주권매매거래정지기간변경,low_needs_manual,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20170124900643,케이에스피,[기재정정]주권매매거래정지기간변경,low_needs_manual,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20170421900722,제이앤케이인더스트리,[기재정정]주권매매거래정지(불성실공시법인 지정),no_link,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20171110900736,알파칩스,[기재정정]최대주주변경을수반하는주식담보제공계약해제ㆍ취소등,no_link,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20190322600250,영현무역,[기재정정]주권매매거래정지(상장폐지 사유발생),medium_needs_manual,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20190304900009,일월지엠엘,[기재정정]주권매매거래정지(관리종목지정우려),no_link,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20190117900312,이엠앤아이,[기재정정]기타시장안내(상장적격성 실질심사관련 매매거래정지 안내 ),medium_needs_manual,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20180402900901,엠에스씨,[기재정정]주권매매거래정지(무상증자),no_link,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20180321900419,수성웹툰,[기재정정]주권매매거래정지기간변경(상장폐지 사유 발생),medium_needs_manual,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20181008900702,지디,[기재정정]주권매매거래정지해제,low_needs_manual,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20181008900701,우성아이비,[기재정정]주권매매거래정지해제,no_link,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20190424600679,로지스몬,[기재정정]주권매매거래정지기간변경,low_needs_manual,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20190415900808,모다,[기재정정]주권매매거래정지기간변경(상장폐지 사유 발생),medium_needs_manual,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20190411900687,에스마크,[기재정정]주권매매거래정지기간변경(상장폐지 사유 발생),medium_needs_manual,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20180724800459,금호타이어,[기재정정]채권은행등의관리절차해제,no_link,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20191230800862,씨아이테크,[기재정정]매매거래정지및정지해제(중요내용공시),no_link,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20191004900529,글로앤웰,[기재정정]주권매매거래정지해제(상장폐지에 따른 정리매매 개시),medium_needs_manual,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
20190828900580,모다,[기재정정]주권매매거래정지해제,no_link,cached document.xml ZIP is unparseable (BadZipFile/corrupt),False,re-acquire the OPENDART document.xml for this rcept_no (document.json endpoint) and re-validate the body,False,True,True
