ledger,flag,present,role,distinct_values
universe_body_status_reconciled,manual_review_required,True,must_be_true,False|True
universe_body_status_reconciled,recovery_required,False,must_be_true,
universe_body_status_reconciled,requires_separate_verdict,False,must_be_true,
universe_body_status_reconciled,requires_download_approval,False,must_be_true,
universe_body_status_reconciled,executable_or_safe,True,must_not_be_true,False
universe_body_status_reconciled,downstream_authoritative,False,must_not_be_true,
universe_body_status_reconciled,parsed_clean_and_usable,False,must_not_be_true,
universe_body_status_reconciled,strategy_ready,False,must_not_be_true,
universe_body_status_reconciled,production_ready,False,must_not_be_true,
universe_body_status_reconciled,safe_for_current_use,False,must_not_be_true,
universe_body_status_reconciled,recovery_performed,False,must_not_be_true,
universe_body_status_reconciled,supersession_wired,False,must_not_be_true,
universe_body_status_reconciled,effective_date_extracted,False,must_not_be_true,
universe_body_status_reconciled,parser_change_approved,False,must_not_be_true,
correction_full_universe_links,manual_review_required,True,must_be_true,True
correction_full_universe_links,recovery_required,False,must_be_true,
correction_full_universe_links,requires_separate_verdict,False,must_be_true,
correction_full_universe_links,requires_download_approval,False,must_be_true,
correction_full_universe_links,executable_or_safe,False,must_not_be_true,
correction_full_universe_links,downstream_authoritative,False,must_not_be_true,
correction_full_universe_links,parsed_clean_and_usable,False,must_not_be_true,
correction_full_universe_links,strategy_ready,False,must_not_be_true,
correction_full_universe_links,production_ready,False,must_not_be_true,
correction_full_universe_links,safe_for_current_use,False,must_not_be_true,
correction_full_universe_links,recovery_performed,False,must_not_be_true,
correction_full_universe_links,supersession_wired,False,must_not_be_true,
correction_full_universe_links,effective_date_extracted,False,must_not_be_true,
correction_full_universe_links,parser_change_approved,False,must_not_be_true,
supersession_readiness_full_universe,manual_review_required,False,must_be_true,
supersession_readiness_full_universe,recovery_required,False,must_be_true,
supersession_readiness_full_universe,requires_separate_verdict,False,must_be_true,
supersession_readiness_full_universe,requires_download_approval,False,must_be_true,
supersession_readiness_full_universe,executable_or_safe,False,must_not_be_true,
supersession_readiness_full_universe,downstream_authoritative,False,must_not_be_true,
supersession_readiness_full_universe,parsed_clean_and_usable,False,must_not_be_true,
supersession_readiness_full_universe,strategy_ready,False,must_not_be_true,
supersession_readiness_full_universe,production_ready,False,must_not_be_true,
supersession_readiness_full_universe,safe_for_current_use,False,must_not_be_true,
supersession_readiness_full_universe,recovery_performed,False,must_not_be_true,
supersession_readiness_full_universe,supersession_wired,False,must_not_be_true,
supersession_readiness_full_universe,effective_date_extracted,False,must_not_be_true,
supersession_readiness_full_universe,parser_change_approved,False,must_not_be_true,
correction_residual_action_ledger,manual_review_required,True,must_be_true,True
correction_residual_action_ledger,recovery_required,False,must_be_true,
correction_residual_action_ledger,requires_separate_verdict,False,must_be_true,
correction_residual_action_ledger,requires_download_approval,False,must_be_true,
correction_residual_action_ledger,executable_or_safe,False,must_not_be_true,
correction_residual_action_ledger,downstream_authoritative,True,must_not_be_true,False
correction_residual_action_ledger,parsed_clean_and_usable,False,must_not_be_true,
correction_residual_action_ledger,strategy_ready,False,must_not_be_true,
correction_residual_action_ledger,production_ready,False,must_not_be_true,
correction_residual_action_ledger,safe_for_current_use,False,must_not_be_true,
correction_residual_action_ledger,recovery_performed,False,must_not_be_true,
correction_residual_action_ledger,supersession_wired,True,must_not_be_true,False
correction_residual_action_ledger,effective_date_extracted,False,must_not_be_true,
correction_residual_action_ledger,parser_change_approved,False,must_not_be_true,
residual_blocker_register,manual_review_required,True,must_be_true,True
residual_blocker_register,recovery_required,False,must_be_true,
residual_blocker_register,requires_separate_verdict,False,must_be_true,
residual_blocker_register,requires_download_approval,False,must_be_true,
residual_blocker_register,executable_or_safe,True,must_not_be_true,False
residual_blocker_register,downstream_authoritative,True,must_not_be_true,False
residual_blocker_register,parsed_clean_and_usable,True,must_not_be_true,False
residual_blocker_register,strategy_ready,True,must_not_be_true,False
residual_blocker_register,production_ready,True,must_not_be_true,False
residual_blocker_register,safe_for_current_use,False,must_not_be_true,
residual_blocker_register,recovery_performed,False,must_not_be_true,
residual_blocker_register,supersession_wired,False,must_not_be_true,
residual_blocker_register,effective_date_extracted,False,must_not_be_true,
residual_blocker_register,parser_change_approved,False,must_not_be_true,
parser_nonextracted_taxonomy_ledger,manual_review_required,True,must_be_true,True
parser_nonextracted_taxonomy_ledger,recovery_required,False,must_be_true,
parser_nonextracted_taxonomy_ledger,requires_separate_verdict,False,must_be_true,
parser_nonextracted_taxonomy_ledger,requires_download_approval,False,must_be_true,
parser_nonextracted_taxonomy_ledger,executable_or_safe,True,must_not_be_true,False
parser_nonextracted_taxonomy_ledger,downstream_authoritative,True,must_not_be_true,False
parser_nonextracted_taxonomy_ledger,parsed_clean_and_usable,True,must_not_be_true,False
parser_nonextracted_taxonomy_ledger,strategy_ready,True,must_not_be_true,False
parser_nonextracted_taxonomy_ledger,production_ready,True,must_not_be_true,False
parser_nonextracted_taxonomy_ledger,safe_for_current_use,False,must_not_be_true,
parser_nonextracted_taxonomy_ledger,recovery_performed,False,must_not_be_true,
parser_nonextracted_taxonomy_ledger,supersession_wired,False,must_not_be_true,
parser_nonextracted_taxonomy_ledger,effective_date_extracted,True,must_not_be_true,False
parser_nonextracted_taxonomy_ledger,parser_change_approved,False,must_not_be_true,
source_recovery_candidate_manifest,manual_review_required,True,must_be_true,True
source_recovery_candidate_manifest,recovery_required,True,must_be_true,True
source_recovery_candidate_manifest,requires_separate_verdict,True,must_be_true,True
source_recovery_candidate_manifest,requires_download_approval,True,must_be_true,True
source_recovery_candidate_manifest,executable_or_safe,True,must_not_be_true,False
source_recovery_candidate_manifest,downstream_authoritative,True,must_not_be_true,False
source_recovery_candidate_manifest,parsed_clean_and_usable,True,must_not_be_true,False
source_recovery_candidate_manifest,strategy_ready,True,must_not_be_true,False
source_recovery_candidate_manifest,production_ready,True,must_not_be_true,False
source_recovery_candidate_manifest,safe_for_current_use,True,must_not_be_true,False
source_recovery_candidate_manifest,recovery_performed,True,must_not_be_true,False
source_recovery_candidate_manifest,supersession_wired,False,must_not_be_true,
source_recovery_candidate_manifest,effective_date_extracted,False,must_not_be_true,
source_recovery_candidate_manifest,parser_change_approved,False,must_not_be_true,
