metric,source_phase,source_file,observed,canonical_expected,match
universe_rows,UNIVERSE_RESIDUAL_RECONCILIATION,universe_body_status_reconciled.csv,12187,12187,PASS
usable_html_inline,UNIVERSE_RESIDUAL_RECONCILIATION,universe_body_status_reconciled.csv,12145,12145,PASS
zip_unparseable,UNIVERSE_RESIDUAL_RECONCILIATION,universe_body_status_reconciled.csv,42,42,PASS
no_label_match,UNIVERSE_RESIDUAL_RECONCILIATION,universe_body_status_reconciled.csv,511,511,PASS
label_no_value,UNIVERSE_RESIDUAL_RECONCILIATION,universe_body_status_reconciled.csv,200,200,PASS
correction_rows,CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION,correction_full_universe_links.csv,166,166,PASS
correction_rows,CORRECTION_RESIDUAL_LOCAL_ADJUDICATION,correction_residual_action_ledger.csv,166,166,PASS
blocker_register_rows,RESIDUAL_BLOCKER_REGISTER,residual_blocker_register.csv,862,862,PASS
zip_unparseable,RESIDUAL_BLOCKER_REGISTER,residual_blocker_register.csv,42,42,PASS
correction_zip_subset,RESIDUAL_BLOCKER_REGISTER,residual_blocker_register.csv,39,39,PASS
non_correction_zip_subset,RESIDUAL_BLOCKER_REGISTER,residual_blocker_register.csv,3,3,PASS
no_label_match,RESIDUAL_BLOCKER_REGISTER,residual_blocker_register.csv,511,511,PASS
label_no_value,RESIDUAL_BLOCKER_REGISTER,residual_blocker_register.csv,200,200,PASS
parser_nonextracted_rows,PARSER_NONEXTRACTED_LOCAL_TAXONOMY,parser_nonextracted_taxonomy_ledger.csv,711,711,PASS
no_label_match,PARSER_NONEXTRACTED_LOCAL_TAXONOMY,parser_nonextracted_taxonomy_ledger.csv,511,511,PASS
label_no_value,PARSER_NONEXTRACTED_LOCAL_TAXONOMY,parser_nonextracted_taxonomy_ledger.csv,200,200,PASS
zip_unparseable,SOURCE_RECOVERY_CANDIDATE_MANIFEST,source_recovery_candidate_manifest.csv,42,42,PASS
correction_zip_subset,SOURCE_RECOVERY_CANDIDATE_MANIFEST,source_recovery_candidate_manifest.csv,39,39,PASS
non_correction_zip_subset,SOURCE_RECOVERY_CANDIDATE_MANIFEST,source_recovery_candidate_manifest.csv,3,3,PASS
