file,line_no,trigger_token,benign_reason,line_excerpt
reports/experiments/measurement_A0/S2_HTML_INLINE_PARSER_UNIVERSE_RESIDUAL_RECONCILIATION_A0/prior_phase_input_manifest.md,8,authoritative,"data-provenance 'authoritative source/dataset', not a row-status claim","- `reports/experiments/measurement_A0/S2_HTML_INLINE_PARSER_FULL_UNIVERSE_VALIDATION_A0/pass2_full_universe_parser_outputs.csv` — 12,187-row in-scope universe ("
reports/experiments/measurement_A0/S2_HTML_INLINE_PARSER_UNIVERSE_RESIDUAL_RECONCILIATION_A0/hard_lock_compliance_check.md,15,100%,negation/fixed-False context (2-line window),| Target-set body_unavailable = 0 NOT misrepresented as 100% universe | PASS (see report) |
reports/experiments/measurement_A0/S2_HTML_INLINE_PARSER_UNIVERSE_RESIDUAL_RECONCILIATION_A0/report.md,17,authoritative,"data-provenance 'authoritative source/dataset', not a row-status claim","- `reports/experiments/measurement_A0/S2_HTML_INLINE_PARSER_FULL_UNIVERSE_VALIDATION_A0/pass2_full_universe_parser_outputs.csv` (authoritative 12,187-row set)"
reports/experiments/measurement_A0/S2_HTML_INLINE_PARSER_UNIVERSE_RESIDUAL_RECONCILIATION_A0/report.md,49,100%,negation/fixed-False context (2-line window),"- **NO 100% COMPLETION CLAIM.** Target-set body_unavailable = 0, and every"
reports/experiments/measurement_A0/S2_HTML_INLINE_PARSER_UNIVERSE_RESIDUAL_RECONCILIATION_A0/report.md,51,100%,negation/fixed-False context (2-line window),100%: 42 cached ZIPs are unparseable (corrupt) source defects.
reports/experiments/measurement_A0/S2_HTML_INLINE_PARSER_UNIVERSE_RESIDUAL_RECONCILIATION_A0/report.md,52,100%,negation/fixed-False context (2-line window),- **Usable html_inline body coverage = 12145/12187 = 99.66% (NOT 100%)**; 42 residual rows remain manual_review_required / unavailable.
reports/experiments/measurement_A0/S2_HTML_INLINE_PARSER_UNIVERSE_RESIDUAL_RECONCILIATION_A0/CLOSE_NOTE.md,39,100%,negation/fixed-False context (2-line window),"| **usable html_inline coverage** | **12,145 / 12,187 = 99.66% (NOT 100%)** |"
reports/experiments/measurement_A0/S2_HTML_INLINE_PARSER_UNIVERSE_RESIDUAL_RECONCILIATION_A0/CLOSE_NOTE.md,52,100%,negation/fixed-False context (2-line window),universe usable body coverage is 100%.
reports/experiments/measurement_A0/S2_HTML_INLINE_PARSER_UNIVERSE_RESIDUAL_RECONCILIATION_A0/CLOSE_NOTE.md,62,100%,negation/fixed-False context (2-line window),- No 100% universe completion claim accepted.
reports/experiments/measurement_A0/S2_HTML_INLINE_PARSER_UNIVERSE_RESIDUAL_RECONCILIATION_A0/CLOSE_NOTE.md,86,event log finaliz,negation/fixed-False context (2-line window),- No execution simulation. No C2/C3 integration. No all-event event log finalization.
