rcept_no,parse_status,body_text_len,n_label_hits
20100330901313,no_label_match,410,0
20100329800013,label_no_value,286,1
20100326801884,label_no_value,282,1
20100325800898,label_no_value,284,1
20100324800564,label_no_value,290,1
20100324800285,label_no_value,288,1
20100324900019,no_label_match,572,0
20100323900700,no_label_match,449,0
20100323900697,no_label_match,451,0
20100323900643,no_label_match,557,0
20100323800471,label_no_value,294,1
20100323900006,no_label_match,1043,0
20100322800900,label_no_value,287,1
20100322800327,label_no_value,292,1
20100319802052,label_no_value,291,1
20100312901132,no_label_match,610,0
20100311901592,no_label_match,444,0
20100310800118,label_no_value,315,1
20100308800776,label_no_value,279,1
20100305800323,label_no_value,388,1
20100219900736,no_label_match,435,0
20100208800004,label_no_value,283,1
20100204900181,no_label_match,578,0
20100121800416,label_no_value,283,1
20100121900059,no_label_match,471,0
20100107900091,no_label_match,488,0
20100104800008,label_no_value,281,1
20100625800415,label_no_value,283,1
20100604800002,label_no_value,274,1
20100525800364,label_no_value,306,1
20100510900512,no_label_match,510,0
20100503800090,label_no_value,279,1
20100503800018,label_no_value,285,1
20100503800015,label_no_value,284,1
20100426800466,label_no_value,310,1
20100423900391,no_label_match,409,0
20100423800002,label_no_value,285,1
20100420900404,no_label_match,391,0
20100420800006,label_no_value,285,1
20100415900438,no_label_match,317,0
20100406900218,no_label_match,369,0
20100402800211,label_no_value,289,1
20100816900010,no_label_match,436,0
20100811900299,no_label_match,445,0
20100713800064,label_no_value,272,1
20100709900454,no_label_match,303,0
20101230900335,label_no_value,148,2
20101208900110,no_label_match,489,0
20101207800314,label_no_value,278,1
20101203800171,label_no_value,279,1
20101202900370,no_label_match,420,0
20101126900274,no_label_match,1582,0
20101123900369,no_label_match,314,0
20110328800872,label_no_value,280,1
20110325801948,no_label_match,436,0
20110324800049,label_no_value,287,1
20110321900746,no_label_match,541,0
20110318800229,label_no_value,472,1
20110318800215,label_no_value,279,1
20110314900626,no_label_match,440,0
20110302800011,label_no_value,275,1
20110221900147,no_label_match,449,0
20110215800043,label_no_value,275,1
20110211900655,no_label_match,435,0
20110128800710,label_no_value,276,1
20110105900299,no_label_match,467,0
20110622900185,no_label_match,789,0
20110620900407,no_label_match,404,0
20110506800027,label_no_value,481,1
20110506800018,label_no_value,289,1
20110415800136,label_no_value,286,1
20110414900462,no_label_match,460,0
20110412800404,label_no_value,279,1
20110412800376,label_no_value,355,1
20110406900111,no_label_match,838,0
20110919800008,label_no_value,281,1
20110817900464,no_label_match,381,0
20110727900331,no_label_match,655,0
20111214900344,label_no_value,191,3
20111124900125,no_label_match,870,0
20111118900089,no_label_match,450,0
20111109900220,no_label_match,537,0
20111108900411,no_label_match,358,0
20111024800402,label_no_value,261,1
20111020800078,label_no_value,266,1
20111013900324,label_no_value,207,1
20111010900456,no_label_match,378,0
20120329801417,label_no_value,278,1
20120329901292,no_label_match,1281,0
20120323800032,label_no_value,285,1
20120319800557,label_no_value,365,1
20120302800660,label_no_value,352,1
20120229800348,label_no_value,261,1
20120227700258,no_label_match,500,0
20120220900411,no_label_match,407,0
20120217800440,label_no_value,317,1
20120210900002,no_label_match,632,0
20120125900076,no_label_match,374,0
20120118900240,no_label_match,391,0
20120626800294,label_no_value,266,1
20120430800686,label_no_value,272,1
20120426800011,label_no_value,286,1
20120420800201,label_no_value,283,1
20120417800290,no_label_match,1212,0
20120416800427,label_no_value,365,1
20120412900001,no_label_match,607,0
20120926800335,label_no_value,259,1
20120911900106,no_label_match,481,0
20120831800102,label_no_value,294,1
20120816800423,label_no_value,299,1
20120801800028,label_no_value,285,1
20121221900586,no_label_match,667,0
20121218800591,label_no_value,353,1
20121217900563,no_label_match,561,0
20121213900379,no_label_match,1028,0
20121213900362,no_label_match,1003,0
20121213900372,no_label_match,1004,0
20121203900323,no_label_match,516,0
20121109800571,label_no_value,359,1
20130327800013,label_no_value,283,1
20130321800009,label_no_value,285,1
20130319800680,label_no_value,349,1
20130318800158,label_no_value,281,1
20130315801361,label_no_value,291,1
20130315801356,label_no_value,291,1
20130315801324,label_no_value,274,1
20130314802024,label_no_value,482,2
20130308801153,label_no_value,297,1
20130307901315,no_label_match,553,0
20130227900277,no_label_match,716,0
20130222800147,label_no_value,352,1
20130205800450,label_no_value,324,1
20130204900418,no_label_match,423,0
20130128800355,no_label_match,1306,0
20130125800113,label_no_value,316,1
20130117900277,no_label_match,1676,0
20130117800020,no_label_match,479,0
20130116900339,no_label_match,521,0
20130114800323,label_no_value,361,1
20130625900401,no_label_match,775,0
20130617800407,label_no_value,364,1
20130610900409,no_label_match,490,0
20130607800489,no_label_match,435,0
20130605800237,label_no_value,297,1
20130529800380,label_no_value,269,1
20130520800426,label_no_value,364,1
20130430900002,no_label_match,717,0
20130417900371,no_label_match,546,0
20130930800008,label_no_value,289,1
20130930800006,label_no_value,261,1
20130829901368,no_label_match,363,0
20130823800502,no_label_match,504,0
20130702800345,label_no_value,360,1
20131230800585,no_label_match,732,0
20131227900605,no_label_match,751,0
20131220900479,no_label_match,423,0
20131216900646,no_label_match,412,0
20131213900006,no_label_match,559,0
20131213600005,no_label_match,568,0
20131209900003,no_label_match,543,0
20131118900367,no_label_match,826,0
20131114801425,label_no_value,322,1
20131015800221,label_no_value,368,1
20131010800078,no_label_match,334,0
20140326800718,label_no_value,270,1
20140324800007,label_no_value,274,1
20140321802886,label_no_value,280,1
20140320800864,label_no_value,285,1
20140313802028,label_no_value,297,1
20140313802027,label_no_value,283,1
20140228800018,label_no_value,279,1
20140226900366,no_label_match,705,0
20140214800645,label_no_value,360,1
20140210800006,label_no_value,279,1
20140206800002,label_no_value,287,1
20140205800195,label_no_value,277,1
20140123800276,no_label_match,440,0
20140114800170,no_label_match,633,0
20140626900390,no_label_match,386,0
20140618900276,no_label_match,603,0
20140616800164,label_no_value,288,1
20140613800468,no_label_match,856,0
20140530801640,label_no_value,271,1
