root_cause_class,rcept_no,parse_status,is_correction,body_text_len,n_label_hits,body_snippet_200
only_generic_or_contextual_label,20100330901313,no_label_match,False,410,0,무한투자/기타 주요경영사항에 관한 공시(자율공시)/(2010.03.30)기타 주요경영사항에 관한 공시(자율공시)(타법인 주식 및 출자증권 취득결정 계약 해제) 기타 주요경영사항에 관한 공시(자율공시) 1. 제목 타법인 주식 및 출자증권 취득결정 계약 해제 2. 주요내용 당사와 (주)봉신은 2009년 12월 2일 (주)선우중공업의 경영권 및 주식양수도 계약을
only_generic_or_contextual_label,20100324900019,no_label_match,False,572,0,트루맥스/기타시장안내/(2010.03.24)기타시장안내(상장폐지 실질심사관련 매매거래정지) 기타시장안내 제목 : (주)트루맥스 상장폐지 실질심사관련 매매거래정지 안내 코스닥시장상장규정 제28조의 규정에 의거 2009. 3. 17일자로 매출액 30억원 미달 및 최근 3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생 사유로 관리종목으로
only_generic_or_contextual_label,20100323900700,no_label_match,False,449,0,선우중공업/기타시장안내/(2010.03.23)기타시장안내(상장폐지 실질심사관련 매매거래정지 안내) 기타시장안내 제목 : (주)선우중공업 상장폐지 실질심사관련 매매거래정지 안내 한국거래소는 동사의 2010.03.23 '횡령ㆍ배임 혐의발생' 사실을 공시하였습니다. 동사의 '횡령배임 혐의발생'과 관련하여 상장규정 제38조제2항제5호나목 및 동규정시행세칙 제33조
only_generic_or_contextual_label,20100323900697,no_label_match,False,451,0,한국기술투자/기타시장안내/(2010.03.23)기타시장안내(상장폐지 실질심사관련 매매거래정지 안내) 기타시장안내 제목 : 한국기술투자(주) 상장폐지 실질심사관련 매매거래정지 안내 한국거래소는 동사의 2010.03.23 '횡령ㆍ배임 혐의발생' 사실을 공시하였습니다. 동사의 '횡령배임 혐의발생'과 관련하여 상장규정 제38조제2항제5호나목 및 동규정시행세칙 제3
only_generic_or_contextual_label,20100323900643,no_label_match,False,557,0,모라리소스/기타시장안내/(2010.03.23)기타시장안내(상장폐지 실질심사 관련 매매거래정지) 기타시장안내 (주)모라리소스 기타시장안내(상장폐지 실질심사관련 매매거래정지안내 ) 코스닥시장상장규정 제28조의 규정에 의거 2009년 3월 19일자로 매출액 30억원 미달 사유로 관리종목으로 지정된 동사는 2010년 3월 23일자 ‘감사보고서 제출’ 공시에서 매출
only_generic_or_contextual_label,20100323900006,no_label_match,False,1043,0,트루맥스/기타 주요경영사항에 관한 공시(자율공시)/(2010.03.23)기타 주요경영사항에 관한 공시(자율공시)(광업권 매매계약 해제 등) 기타 주요경영사항에 관한 공시(자율공시) 1. 제목 광업권 매매계약 해제 및 선급금 반환 청구의 소 제기의 건 2. 주요내용 1. 당사는 지난 2008년 7월 29일 아래와 같이 광업권을 취득하는 계약을 체결한 바 있습
only_generic_or_contextual_label,20100312901132,no_label_match,False,610,0,클라스타/기타시장안내/(2010.03.12)기타시장안내(상장폐지 실질심사관련 매매거래정지 ) 기타시장안내 제목 : (주)클라스타 상장폐지 실질심사관련 매매거래정지 안내 코스닥시장상장규정 제28조의 규정에 의거 2009. 3. 28일자로 매출액 30억원 미달 및 최근 3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생 사유로 관리종목으
only_generic_or_contextual_label,20100311901592,no_label_match,False,444,0,한글과컴퓨터/기타시장안내/(2010.03.11)기타시장안내(상장폐지 실질심사관련 매매거래정지 안내) 기타시장안내 제목 : (주)한글과컴퓨터 상장폐지 실질심사관련 매매거래정지 안내 동사는 2010.03.11 '횡령ㆍ배임 혐의발생' 사실을 공시하였습니다. 동사의 '횡령배임 혐의발생'과 관련하여 상장규정 제38조제2항제5호나목 및 동규정시행세칙 제33조제11항제
label_present_but_attachment_or_table_context_required,20100329800013,label_no_value,False,286,1,현대금속/매매거래정지 및 정지해제(풍문 등 조회공시)/(2010.03.29)매매거래정지 및 정지해제(풍문 등 조회공시) 매매거래정지 및 정지해제(풍문 등 조회공시) 1. 종목명 (주)현대금속 주권 2. 매매거래정지 유형 풍문 등 조회공시관련 매매거래정지 3. 매매거래정지 일시 2010년 03월 29일 07:10 4. 매매거래정지 해제일시 - 5. 매매거래정
label_present_but_attachment_or_table_context_required,20100326801884,label_no_value,False,282,1,셀런/매매거래정지 및 정지해제(풍문 등 조회공시)/(2010.03.26)매매거래정지 및 정지해제(풍문 등 조회공시) 매매거래정지 및 정지해제(풍문 등 조회공시) 1. 종목명 (주)셀런 주권 2. 매매거래정지 유형 풍문 등 조회공시관련 매매거래정지 3. 매매거래정지 일시 2010년 03월 26일 17:58 4. 매매거래정지 해제일시 - 5. 매매거래정지 및 
label_present_but_attachment_or_table_context_required,20100325800898,label_no_value,False,284,1,케드콤/매매거래정지 및 정지해제(풍문 등 조회공시)/(2010.03.25)매매거래정지 및 정지해제(풍문 등 조회공시) 매매거래정지 및 정지해제(풍문 등 조회공시) 1. 종목명 (주)케드콤 주권 2. 매매거래정지 유형 풍문 등 조회공시관련 매매거래정지 3. 매매거래정지 일시 2010년 03월 26일 07:00 4. 매매거래정지 해제일시 - 5. 매매거래정지 
label_present_but_attachment_or_table_context_required,20100324800564,label_no_value,False,290,1,C&우방랜드/매매거래정지 및 정지해제(풍문 등 조회공시)/(2010.03.24)매매거래정지 및 정지해제(풍문 등 조회공시) 매매거래정지 및 정지해제(풍문 등 조회공시) 1. 종목명 (주)씨앤우방랜드 주권 2. 매매거래정지 유형 풍문 등 조회공시관련 매매거래정지 3. 매매거래정지 일시 2010년 03월 24일 17:10 4. 매매거래정지 해제일시 - 5. 매
label_present_but_attachment_or_table_context_required,20100324800285,label_no_value,False,288,1,조인에너지/매매거래정지 및 정지해제(풍문 등 조회공시)/(2010.03.24)매매거래정지 및 정지해제(풍문 등 조회공시) 매매거래정지 및 정지해제(풍문 등 조회공시) 1. 종목명 (주)조인에너지 주권 2. 매매거래정지 유형 풍문 등 조회공시관련 매매거래정지 3. 매매거래정지 일시 2010년 03월 24일 14:55 4. 매매거래정지 해제일시 - 5. 매매거
