rcept_no,body_inspectable,n_tables,n_candidate_tables,label_cell_found,n_label_cells,label_text_matched,value_cell_content_class,value_cell_text_sample,value_cell_with_date_found,n_distinct_candidate_dates,any_date_in_body,structure_class
20100329800013,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20100326801884,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20100325800898,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20100324800564,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20100324800285,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20100323800471,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20100322800900,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20100322800327,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20100319802052,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20100310800118,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20100308800776,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20100208800004,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20100121800416,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20100104800008,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20100625800415,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20100604800002,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20100525800364,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20100503800090,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20100503800018,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20100503800015,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20100423800002,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20100420800006,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20100402800211,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20100713800064,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20101207800314,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20101203800171,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
