rcept_no,attempt_time_utc,method_endpoint_label,outcome,error_class
20150122900284,2026-05-25T22:31:51.448807+00:00,OPENDART document.xml (api/document.xml),downloaded,
20150128900203,2026-05-25T22:31:51.887007+00:00,OPENDART document.xml (api/document.xml),downloaded,
20150323600022,2026-05-25T22:31:52.323408+00:00,OPENDART document.xml (api/document.xml),downloaded,
20150421900128,2026-05-25T22:31:52.762762+00:00,OPENDART document.xml (api/document.xml),downloaded,
20150514901020,2026-05-25T22:31:53.199406+00:00,OPENDART document.xml (api/document.xml),downloaded,
20150526800147,2026-05-25T22:31:53.628705+00:00,OPENDART document.xml (api/document.xml),downloaded,
20150911800465,2026-05-25T22:31:54.060083+00:00,OPENDART document.xml (api/document.xml),downloaded,
20150925900143,2026-05-25T22:31:54.501186+00:00,OPENDART document.xml (api/document.xml),downloaded,
20151127900167,2026-05-25T22:31:54.930456+00:00,OPENDART document.xml (api/document.xml),downloaded,
20151230900233,2026-05-25T22:31:55.365870+00:00,OPENDART document.xml (api/document.xml),downloaded,
20151231900042,2026-05-25T22:31:55.797116+00:00,OPENDART document.xml (api/document.xml),downloaded,
20160224900085,2026-05-25T22:31:56.218027+00:00,OPENDART document.xml (api/document.xml),downloaded,
20160429600510,2026-05-25T22:31:56.656934+00:00,OPENDART document.xml (api/document.xml),downloaded,
20160429900298,2026-05-25T22:31:57.079687+00:00,OPENDART document.xml (api/document.xml),downloaded,
20160429900427,2026-05-25T22:31:57.518540+00:00,OPENDART document.xml (api/document.xml),downloaded,
20161017900147,2026-05-25T22:31:57.960604+00:00,OPENDART document.xml (api/document.xml),downloaded,
20161115900075,2026-05-25T22:31:58.402675+00:00,OPENDART document.xml (api/document.xml),downloaded,
20161125900030,2026-05-25T22:31:58.836861+00:00,OPENDART document.xml (api/document.xml),downloaded,
20170124900643,2026-05-25T22:31:59.260597+00:00,OPENDART document.xml (api/document.xml),downloaded,
20170124900649,2026-05-25T22:31:59.690736+00:00,OPENDART document.xml (api/document.xml),downloaded,
20170223600535,2026-05-25T22:32:00.118244+00:00,OPENDART document.xml (api/document.xml),downloaded,
20170327900337,2026-05-25T22:32:00.537082+00:00,OPENDART document.xml (api/document.xml),downloaded,
20170330902219,2026-05-25T22:32:00.989688+00:00,OPENDART document.xml (api/document.xml),downloaded,
20170421900722,2026-05-25T22:32:01.428705+00:00,OPENDART document.xml (api/document.xml),downloaded,
20171110900736,2026-05-25T22:32:01.869069+00:00,OPENDART document.xml (api/document.xml),downloaded,
20180321900419,2026-05-25T22:32:02.316635+00:00,OPENDART document.xml (api/document.xml),downloaded,
20180402900901,2026-05-25T22:32:02.749007+00:00,OPENDART document.xml (api/document.xml),downloaded,
20180724800459,2026-05-25T22:32:03.197196+00:00,OPENDART document.xml (api/document.xml),downloaded,
20181008900701,2026-05-25T22:32:03.634760+00:00,OPENDART document.xml (api/document.xml),downloaded,
20181008900702,2026-05-25T22:32:04.058640+00:00,OPENDART document.xml (api/document.xml),downloaded,
20190117900312,2026-05-25T22:32:04.489592+00:00,OPENDART document.xml (api/document.xml),downloaded,
20190304900009,2026-05-25T22:32:04.918848+00:00,OPENDART document.xml (api/document.xml),downloaded,
20190322600250,2026-05-25T22:32:05.358376+00:00,OPENDART document.xml (api/document.xml),downloaded,
20190411900687,2026-05-25T22:32:05.791453+00:00,OPENDART document.xml (api/document.xml),downloaded,
20190415900808,2026-05-25T22:32:06.213310+00:00,OPENDART document.xml (api/document.xml),downloaded,
20190424600679,2026-05-25T22:32:06.664729+00:00,OPENDART document.xml (api/document.xml),downloaded,
20190828900580,2026-05-25T22:32:07.092485+00:00,OPENDART document.xml (api/document.xml),downloaded,
20191004900529,2026-05-25T22:32:07.521936+00:00,OPENDART document.xml (api/document.xml),downloaded,
20191230800862,2026-05-25T22:32:07.946251+00:00,OPENDART document.xml (api/document.xml),downloaded,
20200320902492,2026-05-25T22:32:08.376080+00:00,OPENDART document.xml (api/document.xml),downloaded,
20200429901359,2026-05-25T22:32:08.798308+00:00,OPENDART document.xml (api/document.xml),downloaded,
20241129900819,2026-05-25T22:32:09.215408+00:00,OPENDART document.xml (api/document.xml),downloaded,
