rcept_no,bucket,prior_source_artifact,prior_source_artifact_exists,prior_source_artifact_sha256,prior_status,manifest_provenance,event_category,source_period
20150122900284,correction,data/acquired/round5_manual_audit_samples/20150122900284.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,resumption_related,pre_2018
20150128900203,correction,data/acquired/round5_manual_audit_samples/20150128900203.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,suspension_related,pre_2018
20150323600022,correction,data/acquired/round5_manual_audit_samples/20150323600022.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,suspension_related,pre_2018
20150421900128,correction,data/acquired/round5_manual_audit_samples/20150421900128.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,resumption_related,pre_2018
20150514901020,correction,data/acquired/round5_manual_audit_samples/20150514901020.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,suspension_related,pre_2018
20150526800147,correction,data/acquired/round5_manual_audit_samples/20150526800147.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,resumption_related,pre_2018
20150911800465,correction,data/acquired/round5_manual_audit_samples/20150911800465.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,resumption_related,pre_2018
20150925900143,correction,data/acquired/round5_manual_audit_samples/20150925900143.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,resumption_related,pre_2018
20151127900167,correction,data/acquired/round5_manual_audit_samples/20151127900167.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,suspension_related,pre_2018
20151230900233,correction,data/acquired/round5_manual_audit_samples/20151230900233.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,resumption_related,pre_2018
