rcept_no,rcept_dt,stock_code,corp_name,report_nm,event_category,body_format,parsed_effective_date,parsed_suspension_start,parsed_suspension_end,parsed_resumption_date,parsed_resumption_time,date_label_used,raw_text_window,parser_confidence,manual_review_required,parse_status,correction_flag,notes,source_period,parser_version,cached_body_at_run,prior_priority_bucket,is_period_change,correction_pass3_confidence
20210326901514,2021-03-26,058420,제이웨이,주권매매거래정지기간변경(감자 주권 변경상장),suspension_related,html_inline,2021-02-04,2021-02-04,,,,정지기간,)제이웨이 보통주 2.변경사유 감자 주권 변경상장 3.정지기간 가.변경전 2021년 02월 04일~ 1)(상장적격성 실질심사 관련) - 상장폐지사유 해당여부 결정일까지 2) 신주권 변경상장일 전일까지 3)(2020년도 감사의견 의견거절 관련,high,False,extracted,False,period_change_disclosure: after-change period selected,post_2018,krx_status_html_inline-1.1.0,True,P2_period_change,True,
20210326901459,2021-03-26,039230,제이앤케이인더스트리,"주권매매거래정지기간변경(주식의 병합,분할 등 전자등록 변경,말소)",suspension_related,html_inline,2020-03-20,2020-03-20,,,,정지기간,"변경사유 주식의 병합,분할 등 전자등록 변경,말소 3.정지기간 가.변경전 2020년 03월 20일 17:05:00~ 1) ('19사업연도 감사의견 상장폐지사유) - 개선기간 종료('21.04.12) 후 상장폐지 여부 결정일까지 2) (상장적",high,False,extracted,False,period_change_disclosure: after-change period selected,post_2018,krx_status_html_inline-1.1.0,True,P2_period_change,True,
20210329902092,2021-03-29,141020,디에스앤엘,주권매매거래정지기간변경(회생절차 개시신청),suspension_related,html_inline,2020-03-13,2020-03-13,,,,정지기간,(주)포티스 보통주 2.변경사유 회생절차 개시신청 3.정지기간 가.변경전 2020년 03월 13일~ 1. (2019사업연도 감사의견 상장폐지사유 관련) - 개선기간 종료('21.4.12)후 상장폐지 여부 결정일까지 2. (2020사업연도 감,high,False,extracted,False,period_change_disclosure: after-change period selected,post_2018,krx_status_html_inline-1.1.0,True,P2_period_change,True,
20210329902088,2021-03-29,056000,코원플레이,주권매매거래정지기간변경(개선기간 부여),suspension_related,html_inline,2021-01-04,2021-01-04,,,,정지기간,)씨오더블유오엔 보통주 2.변경사유 개선기간 부여 3.정지기간 가.변경전 2021년 01월 04일 10:26:00~ 1) 상장적격성 실질심사 대상 결정 - 상장폐지사유 해당여부 결정일까지 2) 상장폐지사유발생 (2020사업연도 감사의견 의견,high,False,extracted,False,period_change_disclosure: after-change period selected,post_2018,krx_status_html_inline-1.1.0,True,P2_period_change,True,
20210329902048,2021-03-29,121890,에스디시스템,주권매매거래정지기간변경(개선기간 부여),suspension_related,html_inline,2020-03-19,2020-03-19,,,,정지기간,주)에스디시스템 보통주 2.변경사유 개선기간 부여 3.정지기간 가.변경전 2020년 03월 19일 07:41:00~ 1. (상장적격성 실질심사 관련) 상장폐지사유 해당여부 결정일까지 2. (2020사업연도 감사의견 상장폐지사유 관련) - 상,high,False,extracted,False,period_change_disclosure: after-change period selected,post_2018,krx_status_html_inline-1.1.0,True,P2_period_change,True,
20210330902453,2021-03-30,115530,씨엔플러스,주권매매거래정지기간변경(상장폐지 사유 발생),suspension_related,html_inline,2018-08-07,2018-08-07,,,,정지기간,씨엔플러스 보통주 2.변경사유 상장폐지 사유 발생 3.정지기간 가.변경전 2018년 08월 07일~ 개선기간 종료('21.02.21) 후 상장폐지사유 해당여부 결정일까지 나.변경후 2018년 08월 07일~ 1) 개선기간 종료('21.02.,high,False,extracted,False,period_change_disclosure: after-change period selected,post_2018,krx_status_html_inline-1.1.0,True,P2_period_change,True,
20210330902448,2021-03-30,226350,아이엠텍,주권매매거래정지기간변경(상장폐지 사유 발생),suspension_related,html_inline,2020-04-06,2020-04-06,,,,정지기간,)아이엠텍 보통주 2.변경사유 상장폐지 사유 발생 3.정지기간 가.변경전 2020년 04월 06일 09:17:00~ 1) 상장폐지사유 발생 관련(2019사업연도 감사의견거절 ) - 개선기간 종료('21.04.12)후 상장폐지 여부 결정일까지,high,False,extracted,False,period_change_disclosure: after-change period selected,post_2018,krx_status_html_inline-1.1.0,True,P2_period_change,True,
20210330902446,2021-03-30,038340,무궁화인포메이션테크놀로지,주권매매거래정지기간변경(상장폐지 사유 발생),suspension_related,html_inline,2021-03-30,2021-03-30,,,,정지기간,료시까지 ※ 조회결과 미확정 공시를 하는 경우 매매거래정지기간이 풍문 사유 해소시까지 연장됩니다. 나.변경후 2021년 03월 30일 17:40:00~ 상장폐지에 대한 이의신청기한 만료일 또는 이의신청에 대한 상장폐지 여부 결정일까지 4.근,high,False,extracted,False,period_change_disclosure: after-change period selected,post_2018,krx_status_html_inline-1.1.0,True,P2_period_change,True,
20210330902441,2021-03-30,050320,에스에이치엔엘,주권매매거래정지기간변경(상장폐지 사유 발생),suspension_related,html_inline,2019-05-31,2019-05-31,,,,정지기간,래스(주) 보통주 2.변경사유 상장폐지 사유 발생 3.정지기간 가.변경전 2019년 05월 31일~ 1) 투자자 보호 - 상장폐지 관련 가처분 결정('19.10.23)에 대한 이의신청 등에 관한 법원의 결정시까지 2) 상장폐지사유 발생 관련,high,False,extracted,False,period_change_disclosure: after-change period selected,post_2018,krx_status_html_inline-1.1.0,True,P2_period_change,True,
20210330902438,2021-03-30,033340,좋은사람들,주권매매거래정지기간변경(개선기간 부여),suspension_related,html_inline,2021-03-22,2021-03-22,,,,정지기간,(주)좋은사람들 보통주 2.변경사유 개선기간 부여 3.정지기간 가.변경전 2021년 03월 22일 16:36:00~ ㅇ 감사의견 의견거절 - 상장폐지에 대한 이의신청기간 만료일 또는 이의신청에 대한 상장폐지 여부 결정일까지 나.변경후 202,high,False,extracted,False,period_change_disclosure: after-change period selected,post_2018,krx_status_html_inline-1.1.0,True,P2_period_change,True,
