rcept_no,rcept_dt,stock_code,corp_name,event_category,report_nm,source_period,prior_priority_bucket,prior_acquisition_status,prior_parse_status,prior_body_status,correction_flag,correction_pass3_confidence,is_period_change,manual_review_required,remaining_target_reason
20210326901514,2021-03-26,058420,제이웨이,suspension_related,주권매매거래정지기간변경(감자 주권 변경상장),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210326901459,2021-03-26,039230,제이앤케이인더스트리,suspension_related,"주권매매거래정지기간변경(주식의 병합,분할 등 전자등록 변경,말소)",post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210329902092,2021-03-29,141020,디에스앤엘,suspension_related,주권매매거래정지기간변경(회생절차 개시신청),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210329902088,2021-03-29,056000,코원플레이,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210329902048,2021-03-29,121890,에스디시스템,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210330902453,2021-03-30,115530,씨엔플러스,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210330902448,2021-03-30,226350,아이엠텍,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210330902446,2021-03-30,038340,무궁화인포메이션테크놀로지,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210330902441,2021-03-30,050320,에스에이치엔엘,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210330902438,2021-03-30,033340,좋은사람들,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210330902427,2021-03-30,053450,세코닉스,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210330902420,2021-03-30,033110,코너스톤네트웍스,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생 및 상장적격성 실질심사 대상(사유발생)),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210331903144,2021-03-31,053660,현진소재,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생 및 상장적격성 실질심사 대상(사유발생)),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210331903068,2021-03-31,099520,DGI,suspension_related,주권매매거래정지기간변경(회생절차 개시신청),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210331902809,2021-03-31,086250,화신테크,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210331902462,2021-03-31,158310,참존글로벌,suspension_related,주권매매거래정지기간변경(상장폐지 사유발생),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210331900650,2021-03-31,028040,미래SCI,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210401901028,2021-04-01,257370,피엔티엠에스,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210401600350,2021-04-01,224880,에스지에이클라우드서비스,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210401600347,2021-04-01,120780,전우정밀,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210401600345,2021-04-01,224760,엔에스컴퍼니,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210402900643,2021-04-02,053450,세코닉스,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210406900729,2021-04-06,045890,금빛,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210406900717,2021-04-06,014100,메디앙스,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210406900711,2021-04-06,058420,제이웨이,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210406900259,2021-04-06,066110,한프,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210407900838,2021-04-07,115530,씨엔플러스,suspension_related,주권매매거래정지기간변경(사업보고서 미제출),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210407900834,2021-04-07,046970,우리로,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210407900822,2021-04-07,050540,엠피씨플러스,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210407600705,2021-04-07,103660,씨앗,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210407900192,2021-04-07,033430,디에스티,suspension_related,주권매매거래정지기간변경(투자자 보호),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210408900784,2021-04-08,038340,무궁화인포메이션테크놀로지,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210408900782,2021-04-08,044490,태웅,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210408900773,2021-04-08,182690,테라셈,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210408900769,2021-04-08,016670,디모아,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210408900767,2021-04-08,069110,유한코스메틱,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210408900705,2021-04-08,141070,맥스로텍,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210408900096,2021-04-08,115530,씨엔플러스,suspension_related,주권매매거래정지기간변경(사업보고서 제출),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210409600901,2021-04-09,223220,로지스몬,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210409900801,2021-04-09,078590,휴림에이텍,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210409900454,2021-04-09,115530,씨엔플러스,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210409900199,2021-04-09,033340,좋은사람들,suspension_related,주권매매거래정지기간변경(상장적격성 실질심사대상(사유발생)),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210412900767,2021-04-12,126870,앤에스,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210412600419,2021-04-12,225860,엠앤씨생명과학,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210412900449,2021-04-12,058530,헬스커넥트,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210413900714,2021-04-13,127160,매직마이크로,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210413900705,2021-04-13,099520,DGI,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210415900649,2021-04-15,033110,코너스톤네트웍스,suspension_related,주권매매거래정지기간변경(회생절차개시결정),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210415600092,2021-04-15,206950,볼빅,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210415600089,2021-04-15,225850,미애부,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210419900684,2021-04-19,046970,우리로,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210419900685,2021-04-19,033430,디에스티,suspension_related,주권매매거래정지기간변경(상장폐지사유 발생(2020사업연도)),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210420600705,2021-04-20,288490,나라소프트,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210420900574,2021-04-20,106520,노블엠앤비,suspension_related,"주권매매거래정지기간변경(주식의 병합, 분할 등 전자등록 변경, 말소)",post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210420900448,2021-04-20,039230,제이앤케이인더스트리,suspension_related,주권매매거래정지기간변경(감자 주권 변경상장),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210421900683,2021-04-21,160600,이큐셀,suspension_related,주권매매거래정지기간변경(상장적격성 실질심사 대상 결정),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210421900656,2021-04-21,065560,녹원씨엔아이,suspension_related,주권매매거래정지기간변경(상장적격성 실질심사 대상 결정),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210421600649,2021-04-21,225850,미애부,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210421600586,2021-04-21,270020,이십일스토어,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210422900665,2021-04-22,208860,다산디엠씨,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210426900628,2021-04-26,208860,다산디엠씨,suspension_related,주권매매거래정지기간변경(회생절차 개시신청),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210427900657,2021-04-27,010280,아이티센엔텍,suspension_related,"주권매매거래정지기간변경(주식의 병합, 분할 등 전자등록 변경, 말소)",post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210427600500,2021-04-27,206950,볼빅,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210427900459,2021-04-27,160600,이큐셀,suspension_related,"주권매매거래정지기간변경(주식의 병합, 분할 등 전자등록 변경,말소)",post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210430901242,2021-04-30,036180,지더블유바이텍,suspension_related,주권매매거래정지기간변경(상장폐지 사유 해소),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210430900986,2021-04-30,080440,에스제이케이,suspension_related,주권매매거래정지기간변경(회생절차 개시결정),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210430900900,2021-04-30,141020,디에스앤엘,suspension_related,주권매매거래정지기간변경(회생절차개시결정),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210430900827,2021-04-30,086250,화신테크,suspension_related,주권매매거래정지기간변경(파산신청),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210503900673,2021-05-03,103230,에스앤더블류,suspension_related,주권매매거래정지기간변경(상장적격성 실질심사 대상 결정),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210503900374,2021-05-03,106520,노블엠앤비,suspension_related,"주권매매거래정지기간변경(주식의 병합, 분할 등 전자등록 변경, 말소)",post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
