year,flow_bucket,ticker,date,panel_foreign,panel_institution,panel_trading_value,year_month,krx_foreign,krx_institution,foreign_diff_pct,institution_diff_pct,foreign_sign_match,institution_sign_match,foreign_within_5pct,institution_within_5pct
2018,100억-1000억,000030,2018-03-06,-10542137350.0,-3678876800.0,29768990200.0,2018-03,-10639430500,-3682505600,0.009144582503734575,0.0009854160167468585,True,True,True,True
2021,<1억,000040,2021-02-10,-86276630.0,1484820.0,11754688125.0,2021-02,-90928500,1425780,0.051159647415276836,0.041408913016033326,True,True,False,True
2022,<1억,000040,2022-02-09,17927431.0,-430559.0,82399542.0,2022-02,17878298,-428494,0.002748192249620182,-0.004819204002856516,True,True,True,True
2023,<1억,000040,2023-11-03,25212803.0,539.0,193377777.0,2023-11,24696050,539,0.020924520318026565,0.0,True,True,True,True
2020,1억-10억,000070,2020-09-15,-532910000.0,-171656600.0,1018196900.0,2020-09,-534221300,-172950900,0.00245460074317516,0.0074836268559458205,True,True,True,True
2026,1억-10억,000070,2026-03-27,322114500.0,-180057000.0,857846700.0,2026-03,317755700,-177500100,0.01371745652398997,-0.01440506230700715,True,True,True,True
2021,10억-100억,000080,2021-07-07,-2682984450.0,-6514319750.0,30039676950.0,2021-07,-2694465550,-6520993100,0.004260993427806119,0.0010233640639797641,True,True,True,True
2025,10억-100억,000100,2025-09-16,-4820197200.0,785590500.0,29922828050.0,2025-09,-4817379050,779137600,-0.0005849965241991908,0.00828210575384887,True,True,True,True
2026,100억-1000억,000100,2026-01-19,-4923820500.0,-11686806300.0,54308535350.0,2026-01,-4915040700,-11704834500,-0.0017863127766164786,0.0015402353617216887,True,True,True,True
2019,10억-100억,000120,2019-04-24,2249218000.0,-4613307000.0,8881832500.0,2019-04,2246321500,-4617738000,0.0012894414267948732,0.0009595607199888777,True,True,True,True
2020,10억-100억,000120,2020-04-06,3741438000.0,-147674500.0,9667544000.0,2020-04,3702948000,-145926500,0.010394420877635873,-0.011978633078981542,True,True,True,True
2019,1억-10억,000140,2019-11-28,221756850.0,282726300.0,966542300.0,2019-11,217954400,279997000,0.017446080464537536,0.009747604438618985,True,True,True,True
2019,10억-100억,000150,2019-01-30,3000129000.0,-2684910500.0,7593370500.0,2019-01,3000124500,-2676080500,1.4999377525832677e-06,-0.0032996017870164968,True,True,True,True
2021,100억-1000억,000150,2021-04-28,6155195200.0,4620431200.0,66173059300.0,2021-04,6085060500,4563047200,0.011525719423824956,0.012575806798579685,True,True,True,True
2022,100억-1000억,000150,2022-12-02,-1239203100.0,-10907727000.0,33486806100.0,2022-12,-1259496800,-10908658500,0.016112545899282953,8.539088468119155e-05,True,True,True,True
2025,10억-100억,000150,2025-07-16,-6305330000.0,-165790000.0,57813526500.0,2025-07,-6310646500,-145883500,0.000842465189580814,-0.13645477384351212,True,True,True,False
2019,10억-100억,000210,2019-12-11,1186360000.0,1140154400.0,10344030700.0,2019-12,1176377800,1137688800,0.008485539254481,0.0021672007318697343,True,True,True,True
2020,10억-100억,000210,2020-08-14,2331640800.0,677369600.0,14900182500.0,2020-08,2340422800,681937000,-0.0037523134708822696,-0.006697686149893612,True,True,True,True
2026,1억-10억,000230,2026-01-12,271646370.0,724140.0,1292721680.0,2026-01,274006440,722160,-0.008613191719143536,0.0027417746759720836,True,True,True,True
2018,10억-100억,000270,2018-01-25,3084628800.0,-4417644600.0,31227488500.0,2018-01,3067197000,-4358060150,0.005683299768485689,-0.013672241306719917,True,True,True,True
2018,10억-100억,000270,2018-12-10,-556202000.0,3328687000.0,15007221250.0,2018-12,-550446050,3314011300,-0.010456883104166157,0.00442837958941178,True,True,True,True
2020,100억-1000억,000270,2020-07-24,8158405500.0,15022432800.0,101082907550.0,2020-07,8276772800,15219477450,-0.01430114162370145,-0.012946873547225499,True,True,True,True
2021,>1000억,000270,2021-01-20,-157409841600.0,-172158615600.0,2443858816100.0,2021-01,-169261679900,-187104414400,0.07002080037845589,0.07987945579973446,True,True,False,False
2021,>1000억,000270,2021-06-04,81903852000.0,41784343000.0,411953747800.0,2021-06,81693119500,41576882700,0.0025795624073334596,0.004989799295366605,True,True,True,True
2021,>1000억,000270,2021-09-09,57014216000.0,-59005632000.0,210678121000.0,2021-09,57368703900,-59152956500,-0.006179116415422451,0.0024905686666734906,True,True,True,True
2022,100억-1000억,000270,2022-06-08,-9309494400.0,-22420725600.0,122744077000.0,2022-06,-9320200900,-22548716400,0.0011487413323890904,0.005676190064637116,True,True,True,True
2023,100억-1000억,000270,2023-05-16,-25673096700.0,-15032885400.0,164090822064.0,2023-05,-25760539400,-15114073300,0.0033944436737997808,0.00537167568189576,True,True,True,True
2023,100억-1000억,000270,2023-10-04,19015869600.0,1601472600.0,141860688748.0,2023-10,18985423200,1695436900,0.0016036724427612443,-0.05542187975264665,True,True,True,False
2024,>1000억,000270,2024-02-02,284759418000.0,-59087850500.0,967704336100.0,2024-02,271024009500,-56741450400,0.0506796741932194,-0.04135248717575961,True,True,False,True
2024,100억-1000억,000270,2024-09-13,-18350295000.0,22595214000.0,105736844300.0,2024-09,-18358484000,22640503200,0.00044606079674116883,-0.0020003619000835637,True,True,True,True
2025,100억-1000억,000270,2025-01-17,-9447315500.0,-5359606000.0,93229606900.0,2025-01,-9442345100,-5333901000,-0.0005263946559208051,-0.004819174559107865,True,True,True,True
2025,100억-1000억,000270,2025-08-07,-13392299000.0,-806561400.0,66221958950.0,2025-08,-13337050850,-810820850,-0.004142456276231413,0.005253256622594251,True,True,True,True
2019,<1억,000300,2019-12-13,38312280.0,-3882192.0,148746199.0,2019-12,38120616,-3896490,0.0050278306100824816,0.0036694563568750336,True,True,True,True
2021,<1억,000300,2021-04-13,96148674.0,-358091.0,385696381.0,2021-04,95865580,-356819,0.0029530306915161834,-0.003564832590192787,True,True,True,True
2023,<1억,000300,2023-11-29,16573960.0,5460.0,585359512.0,2023-11,17167255,5460,-0.03455968936210244,0.0,True,True,True,True
2022,10억-100억,000370,2022-03-02,-1875482760.0,-651895260.0,8256820245.0,2022-03,-1863073890,-648657680,-0.006660428266750064,-0.004991199672529893,True,True,True,True
2020,<1억,000390,2020-05-18,-19319625.0,-6240000.0,81784710.0,2020-05,-19287170,-6200990,-0.0016827248372882078,-0.006290930964249257,True,True,True,True
2020,<1억,000430,2020-08-31,5715840.0,8530080.0,124979445.0,2020-08,5806825,8550060,-0.01566863130884778,-0.0023368257064862704,True,True,True,True
2024,1억-10억,000490,2024-06-13,-127124670.0,44881230.0,1286292900.0,2024-06,-126582760,44890340,-0.004281072714799393,-0.0002029389842001642,True,True,True,True
2023,<1억,000500,2023-04-25,-74842120.0,-165800.0,548172330.0,2023-04,-73707400,-239570,-0.015394926425297866,0.3079267020077639,True,True,True,False
2024,1억-10억,000520,2024-04-05,481140000.0,-24310000.0,5874843770.0,2024-04,461470610,-24365220,0.04262327778577275,0.002266345224873816,True,True,True,True
2025,<1억,000540,2025-06-27,-34765060.0,397100.0,269539295.0,2025-06,-34508420,395150,-0.007437025514352729,0.004934834872833102,True,True,True,True
2018,100억-1000억,000660,2018-01-26,-2955976000.0,9697824000.0,323615824500.0,2018-01,-2891244800,9624664700,-0.022388695692595797,0.007601231033014584,True,True,True,True
2018,>1000억,000660,2018-03-23,10156980600.0,-162758413500.0,618805886356.0,2018-03,10138065100,-166138951100,0.001865789952364776,0.020347652236983454,True,True,True,True
2018,>1000억,000660,2018-03-06,150625140000.0,147408408800.0,619123491100.0,2018-03,149496736900,145332549600,0.007548011571348217,0.014283511888516405,True,True,True,True
2018,>1000억,000660,2018-05-23,306365293800.0,77260186500.0,970733836900.0,2018-05,300428112900,75467200800,0.01976240120369907,0.02375847627834634,True,True,True,True
2018,>1000억,000660,2018-06-14,28358870400.0,-103019330500.0,404542255508.0,2018-06,28426851000,-103561230500,-0.002391422110032518,0.005232653159716947,True,True,True,True
