variant_id,signal,portfolio,rebalance,verdict,role_a_balanced,role_b_defensive,role_c_growth,diagnostic_pass,close_reasons,subperiod_wins_vs_p08_proxy,qqq_return_correlation,after_cost_sharpe,after_tax_sharpe,p08_proxy_sharpe,p08_full_mdd
XETF001_V01,ret_3m,top1_ew,monthly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,0,0.2829093751341343,0.03762616255067513,0.006801420601509339,1.0356430284318556,-0.23428470583478467
XETF001_V02,ret_3m,top1_ew,quarterly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,0,0.46876853413378594,0.13369868585234215,0.08214377686202011,1.0356430284318556,-0.23428470583478467
XETF001_V03,ret_3m,top2_ew,monthly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;subperiod_wins_less_than_2,1,0.3968500491697185,0.42917853046974536,0.36698573327490636,1.0356430284318556,-0.23428470583478467
XETF001_V04,ret_3m,top2_ew,quarterly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,0,0.5470611877249657,0.28509288018420736,0.23609501090508303,1.0356430284318556,-0.23428470583478467
XETF001_V05,ret_3m,top3_ew,monthly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,0,0.46072688837176273,0.36298978114540303,0.30025713852998503,1.0356430284318556,-0.23428470583478467
XETF001_V06,ret_3m,top3_ew,quarterly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,0,0.6342955099617391,0.22238268205218525,0.18094913702133733,1.0356430284318556,-0.23428470583478467
XETF001_V07,ret_3m,positive_top3_shy_fallback,monthly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,0,0.46084677089748144,0.3217426356351117,0.267250055179107,1.0356430284318556,-0.23428470583478467
XETF001_V08,ret_3m,positive_top3_shy_fallback,quarterly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,0,0.632259755985059,0.21485610455957888,0.17335996233106113,1.0356430284318556,-0.23428470583478467
XETF001_V09,ret_3m,all_positive_ew_shy_fallback,monthly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;subperiod_wins_less_than_2,1,0.573573593540599,0.6730445615412154,0.5485412517518925,1.0356430284318556,-0.23428470583478467
XETF001_V10,ret_3m,all_positive_ew_shy_fallback,quarterly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,0,0.6711423062649741,0.3808727125108132,0.3163947639747378,1.0356430284318556,-0.23428470583478467
XETF001_V11,ret_6m,top1_ew,monthly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;subperiod_wins_less_than_2,1,0.40910492966877965,0.5424734554497402,0.4689802369225592,1.0356430284318556,-0.23428470583478467
XETF001_V12,ret_6m,top1_ew,quarterly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,1,0.480322771943267,0.5201305163992502,0.45900671125718556,1.0356430284318556,-0.23428470583478467
XETF001_V13,ret_6m,top2_ew,monthly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;subperiod_wins_less_than_2,0,0.5290572004354146,0.46101498322637263,0.3826833437885687,1.0356430284318556,-0.23428470583478467
XETF001_V14,ret_6m,top2_ew,quarterly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,0,0.6147425708535895,0.33786398863201644,0.26959542643120177,1.0356430284318556,-0.23428470583478467
XETF001_V15,ret_6m,top3_ew,monthly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;subperiod_wins_less_than_2,0,0.6159617529438697,0.5918530025448123,0.4867876248378682,1.0356430284318556,-0.23428470583478467
XETF001_V16,ret_6m,top3_ew,quarterly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,0,0.6627569779582174,0.4582455138553496,0.3678345334267886,1.0356430284318556,-0.23428470583478467
XETF001_V17,ret_6m,positive_top3_shy_fallback,monthly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;subperiod_wins_less_than_2,0,0.6147101455979481,0.5835186242122576,0.4800383882926276,1.0356430284318556,-0.23428470583478467
XETF001_V18,ret_6m,positive_top3_shy_fallback,quarterly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,0,0.6632271410749101,0.45511445497897496,0.36473219211867375,1.0356430284318556,-0.23428470583478467
XETF001_V19,ret_6m,all_positive_ew_shy_fallback,monthly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;subperiod_wins_less_than_2,1,0.6782062537251111,0.6940059887117318,0.5933870618855938,1.0356430284318556,-0.23428470583478467
XETF001_V20,ret_6m,all_positive_ew_shy_fallback,quarterly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,1,0.726472360786307,0.508819459020471,0.4298192364214152,1.0356430284318556,-0.23428470583478467
XETF001_V21,ret_12m,top1_ew,monthly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;subperiod_wins_less_than_2,1,0.3815616860305074,0.4964274254231722,0.41794518912483636,1.0356430284318556,-0.23428470583478467
XETF001_V22,ret_12m,top1_ew,quarterly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,1,0.5184264027549587,0.562449569300226,0.4920856679414503,1.0356430284318556,-0.23428470583478467
XETF001_V23,ret_12m,top2_ew,monthly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;subperiod_wins_less_than_2,1,0.5588634687404849,0.4468254885953254,0.3558156910742867,1.0356430284318556,-0.23428470583478467
XETF001_V24,ret_12m,top2_ew,quarterly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,0,0.6401654208085819,0.26097910725039286,0.21658999142717716,1.0356430284318556,-0.23428470583478467
XETF001_V25,ret_12m,top3_ew,monthly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;subperiod_wins_less_than_2,1,0.6277426091313815,0.5262710488685929,0.4458724267519894,1.0356430284318556,-0.23428470583478467
XETF001_V26,ret_12m,top3_ew,quarterly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,0,0.708849612694297,0.308325184277752,0.27013991063961146,1.0356430284318556,-0.23428470583478467
XETF001_V27,ret_12m,positive_top3_shy_fallback,monthly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;subperiod_wins_less_than_2,1,0.6277426091313815,0.5262710488685929,0.4458724267519894,1.0356430284318556,-0.23428470583478467
XETF001_V28,ret_12m,positive_top3_shy_fallback,quarterly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,0,0.708849612694297,0.308325184277752,0.27013991063961146,1.0356430284318556,-0.23428470583478467
XETF001_V29,ret_12m,all_positive_ew_shy_fallback,monthly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,0,0.7710983555710512,0.6091587953389309,0.5449185063011887,1.0356430284318556,-0.23428470583478467
XETF001_V30,ret_12m,all_positive_ew_shy_fallback,quarterly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,0,0.7639236128443095,0.637060454332455,0.5759813027172553,1.0356430284318556,-0.23428470583478467
XETF001_V31,ret_12m_skip_1m,top1_ew,monthly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;subperiod_wins_less_than_2,1,0.5027742518638865,0.6410836003349851,0.5324342664377161,1.0356430284318556,-0.23428470583478467
XETF001_V32,ret_12m_skip_1m,top1_ew,quarterly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;subperiod_wins_less_than_2,0,0.5477841922390891,0.6732643292177927,0.5807529939457245,1.0356430284318556,-0.23428470583478467
XETF001_V33,ret_12m_skip_1m,top2_ew,monthly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;subperiod_wins_less_than_2,0,0.5790371825240418,0.5721959461004026,0.4603470604209333,1.0356430284318556,-0.23428470583478467
XETF001_V34,ret_12m_skip_1m,top2_ew,quarterly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,0,0.6495774468488283,0.3787759858275154,0.326956995731017,1.0356430284318556,-0.23428470583478467
XETF001_V35,ret_12m_skip_1m,top3_ew,monthly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;subperiod_wins_less_than_2,1,0.655658847553795,0.643958719808452,0.5425389911938666,1.0356430284318556,-0.23428470583478467
XETF001_V36,ret_12m_skip_1m,top3_ew,quarterly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,0,0.7111620855673096,0.41327561381256905,0.3604301902745956,1.0356430284318556,-0.23428470583478467
XETF001_V37,ret_12m_skip_1m,positive_top3_shy_fallback,monthly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;subperiod_wins_less_than_2,1,0.655658847553795,0.643958719808452,0.5425389911938666,1.0356430284318556,-0.23428470583478467
XETF001_V38,ret_12m_skip_1m,positive_top3_shy_fallback,quarterly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,0,0.7111620855673096,0.41327561381256905,0.3604301902745956,1.0356430284318556,-0.23428470583478467
XETF001_V39,ret_12m_skip_1m,all_positive_ew_shy_fallback,monthly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,0,0.7652688038101834,0.6407515511016477,0.5607022435524284,1.0356430284318556,-0.23428470583478467
XETF001_V40,ret_12m_skip_1m,all_positive_ew_shy_fallback,quarterly,CLOSE,False,False,False,False,after_cost_sharpe_not_above_p08_proxy_plus_0_05;not_different_from_random_topk;subperiod_wins_less_than_2,0,0.7730242334678857,0.6998142410877649,0.6311540206915095,1.0356430284318556,-0.23428470583478467
