ranking,rank,variant_id,cost_layer,sharpe,max_drawdown
top10_after_cost_sharpe,1,XETF001_V40,after_cost,0.6998142410877649,
top10_after_cost_sharpe,2,XETF001_V19,after_cost,0.6940059887117318,
top10_after_cost_sharpe,3,XETF001_V32,after_cost,0.6732643292177927,
top10_after_cost_sharpe,4,XETF001_V09,after_cost,0.6730445615412154,
top10_after_cost_sharpe,5,XETF001_V35,after_cost,0.643958719808452,
top10_after_cost_sharpe,6,XETF001_V37,after_cost,0.643958719808452,
top10_after_cost_sharpe,7,XETF001_V31,after_cost,0.6410836003349851,
top10_after_cost_sharpe,8,XETF001_V39,after_cost,0.6407515511016477,
top10_after_cost_sharpe,9,XETF001_V30,after_cost,0.637060454332455,
top10_after_cost_sharpe,10,XETF001_V29,after_cost,0.6091587953389309,
top10_after_tax_sharpe,1,XETF001_V40,after_tax,0.6311540206915095,
top10_after_tax_sharpe,2,XETF001_V19,after_tax,0.5933870618855938,
top10_after_tax_sharpe,3,XETF001_V32,after_tax,0.5807529939457245,
top10_after_tax_sharpe,4,XETF001_V30,after_tax,0.5759813027172553,
top10_after_tax_sharpe,5,XETF001_V39,after_tax,0.5607022435524284,
top10_after_tax_sharpe,6,XETF001_V09,after_tax,0.5485412517518925,
top10_after_tax_sharpe,7,XETF001_V29,after_tax,0.5449185063011887,
top10_after_tax_sharpe,8,XETF001_V35,after_tax,0.5425389911938666,
top10_after_tax_sharpe,9,XETF001_V37,after_tax,0.5425389911938666,
top10_after_tax_sharpe,10,XETF001_V31,after_tax,0.5324342664377161,
top10_lowest_mdd,1,XETF001_V29,after_cost,,-0.16003959224004038
top10_lowest_mdd,2,XETF001_V19,after_cost,,-0.16906629859554623
top10_lowest_mdd,3,XETF001_V30,after_cost,,-0.17292932771058978
top10_lowest_mdd,4,XETF001_V39,after_cost,,-0.17608355623751948
top10_lowest_mdd,5,XETF001_V40,after_cost,,-0.18277650921812638
top10_lowest_mdd,6,XETF001_V09,after_cost,,-0.19507914342963062
top10_lowest_mdd,7,XETF001_V25,after_cost,,-0.2665649967173179
top10_lowest_mdd,8,XETF001_V27,after_cost,,-0.2665649967173179
top10_lowest_mdd,9,XETF001_V34,after_cost,,-0.2678191586497768
top10_lowest_mdd,10,XETF001_V20,after_cost,,-0.27556126707984485
rebalance_comparison,,monthly,after_cost,0.5222175034867809,
rebalance_comparison,,quarterly,after_cost,0.4086311140620989,
signal_comparison,,ret_12m,after_cost,0.46820933065331916,
signal_comparison,,ret_12m_skip_1m,after_cost,0.5720354320912151,
signal_comparison,,ret_3m,after_cost,0.30614847365012776,
signal_comparison,,ret_6m,after_cost,0.5153039987030976,
portfolio_comparison,,all_positive_ew_shy_fallback,after_cost,0.6054409704556287,
portfolio_comparison,,positive_top3_shy_fallback,after_cost,0.43338279826916115,
portfolio_comparison,,top1_ew,after_cost,0.450894218066023,
portfolio_comparison,,top2_ew,after_cost,0.39649086378574727,
portfolio_comparison,,top3_ew,after_cost,0.44091269329563954,
