variant_id,module,verdict,diagnostic_pass,deep_validation_candidate,close_all_criteria_met,no_sharpe_edge_vs_p08_plus_0_05,no_mdd_improvement_2pp,no_2022_stress_improvement,ew13_or_random_explains,after_tax_collapses,turnover_higher_without_mdd_benefit,static_defensive_clone,two_of_three_subperiods_fail,after_cost_sharpe,p08_proxy_sharpe,sharpe_edge,after_cost_mdd,p08_proxy_mdd,mdd_improvement,cagr_drag,after_tax_sharpe,random_percentile,annualized_turnover,subperiod_fail_count_vs_p08,p08_full_mdd
XETF900_V01,A,CLOSE,False,False,False,True,True,False,True,False,True,False,True,0.444244600507582,1.0356430284318556,-0.5913984279242737,-0.3798035772995323,-0.15423501661016636,-0.22556856068936593,0.049492613939377206,0.3578256703425361,90.10000000000001,10.705159220143292,3,-0.23428470583478467
XETF900_V02,A,CLOSE,False,False,False,True,True,False,True,False,True,False,True,0.4322122227169922,1.0356430284318556,-0.6034308057148634,-0.3567674183421967,-0.15423501661016636,-0.20253240173203035,0.05465431605677895,0.342846293393673,89.3,9.908840606443254,3,-0.23428470583478467
XETF900_V03,A,CLOSE,False,False,False,True,True,False,True,False,True,False,True,0.3370088632127112,1.0356430284318556,-0.6986341652191445,-0.4998242583003353,-0.15423501661016636,-0.3455892416901689,0.06793006219362696,0.2727032864013413,20.599999999999998,5.1732601368045,3,-0.23428470583478467
XETF900_V04,A,CLOSE,False,False,False,True,True,False,True,False,True,False,True,0.34170647873166266,1.0356430284318556,-0.693936549700193,-0.46713331560786253,-0.15423501661016636,-0.31289829899769617,0.0693174535166099,0.268279793680915,13.0,4.98583733095951,3,-0.23428470583478467
XETF900_V05,A,CLOSE,False,False,False,True,True,False,True,False,True,False,True,0.43141782278920376,1.0356430284318556,-0.6042252056426518,-0.34255587882474536,-0.15423501661016636,-0.188320862214579,0.052035312874059825,0.35413505529484285,89.0,7.71562863067716,3,-0.23428470583478467
XETF900_V06,A,CLOSE,False,False,False,True,True,False,True,False,True,False,True,0.4545418724088504,1.0356430284318556,-0.5811011560230053,-0.2929005704445954,-0.15423501661016636,-0.13866555383442902,0.050829590427193816,0.37840127170890736,92.10000000000001,6.880181216704758,3,-0.23428470583478467
XETF900_V07,A,CLOSE,False,False,False,True,True,False,True,False,True,False,True,0.3533414903919617,1.0356430284318556,-0.6823015380398939,-0.33595188532287745,-0.15423501661016636,-0.1817168687127111,0.06553875089449757,0.29561081143534057,24.0,4.337417290969284,3,-0.23428470583478467
XETF900_V08,A,CLOSE,False,False,False,True,True,False,True,False,True,False,True,0.3376146964438323,1.0356430284318556,-0.6980283319880234,-0.3012366094530986,-0.15423501661016636,-0.14700159284293224,0.07020716271047411,0.2730667669287078,12.5,3.9627202907382304,3,-0.23428470583478467
XETF900_V09,B,CLOSE,False,False,False,False,True,False,False,True,True,False,True,1.1208428852799037,1.0356430284318556,0.0851998568480481,-0.16025346436148136,-0.15423501661016636,-0.0060184477513149925,-0.03619381920338616,0.9969546803877942,100.0,3.810355223393775,2,-0.23428470583478467
XETF900_V10,B,CLOSE,False,False,False,False,True,False,False,False,True,False,True,1.1494237534192897,1.0356430284318556,0.11378072498743408,-0.14591302219474267,-0.15423501661016636,0.008321994415423695,-0.024249095833689616,1.0658020889075541,100.0,2.752243477182983,2,-0.23428470583478467
XETF900_V11,B,CLOSE,False,False,False,True,True,False,False,True,True,False,True,1.0083493101972933,1.0356430284318556,-0.02729371823456228,-0.20732215187170178,-0.15423501661016636,-0.05308713526153541,-0.02404245951979611,0.8969328504254483,99.8,2.115927520867865,2,-0.23428470583478467
XETF900_V12,B,CLOSE,False,False,False,True,True,False,False,False,True,False,True,0.9462150159971839,1.0356430284318556,-0.08942801243467169,-0.20411222952709518,-0.15423501661016636,-0.049877212916928815,-0.0009068645656982177,0.8852961803842706,99.6,1.7234627405622835,2,-0.23428470583478467
XETF900_V13,B,CLOSE,False,False,False,True,True,False,False,False,True,False,True,1.0547598122819821,1.0356430284318556,0.019116783850126495,-0.18445951769189584,-0.15423501661016636,-0.03022450108172947,-0.03094162382112997,0.9813571380417913,100.0,2.9885180478493396,2,-0.23428470583478467
XETF900_V14,B,CLOSE,False,False,False,True,True,False,False,False,True,False,True,1.0476047929786052,1.0356430284318556,0.011961764546749576,-0.1571536637413048,-0.15423501661016636,-0.00291864713113843,-0.012115467355108933,0.982418170168147,100.0,2.028629613930947,2,-0.23428470583478467
XETF900_V15,B,CLOSE,False,False,False,True,True,False,False,False,True,False,True,0.9782785133740909,1.0356430284318556,-0.05736451505776474,-0.20732215187170167,-0.15423501661016636,-0.0530871352615353,-0.020671364842752338,0.9214159969839696,99.6,1.9895950320190872,2,-0.23428470583478467
XETF900_V16,B,CLOSE,False,False,False,True,True,False,False,False,True,False,True,1.0631846609309012,1.0356430284318556,0.02754163249904562,-0.1592956868713672,-0.15423501661016636,-0.005060670261200828,-0.015190298270936875,1.0095512102043434,100.0,1.394948480497337,2,-0.23428470583478467
XETF900_V17,C,CLOSE,False,False,False,True,True,False,True,False,False,False,True,0.8001587321638884,1.0356430284318556,-0.23548429626796719,-0.14299368299806958,-0.15423501661016636,0.011241333612096782,0.039594503695304706,0.7666761194870614,0.0,0.6511931921400996,3,-0.23428470583478467
XETF900_V18,C,CLOSE,False,False,False,True,False,False,True,False,False,False,True,0.8327333395192864,1.0356430284318556,-0.20290968891256922,-0.1307910943219437,-0.15423501661016636,0.023443922288222674,0.036488801792206926,0.7997507842193042,0.0,0.45393414965609924,2,-0.23428470583478467
XETF900_V19,C,CLOSE,False,False,False,True,True,False,True,False,False,False,True,0.8235674171181103,1.0356430284318556,-0.2120756113137453,-0.13682976938841018,-0.15423501661016636,0.01740524722175618,0.037151363253276726,0.7942700431791585,100.0,0.4861668361607297,2,-0.23428470583478467
XETF900_V20,C,CLOSE,False,False,False,True,False,False,True,False,False,False,True,0.8498352740057526,1.0356430284318556,-0.18580775442610298,-0.12497889285741282,-0.15423501661016636,0.02925612375275355,0.034723426062265306,0.8231005430162891,0.0,0.33234138603312124,2,-0.23428470583478467
XETF900_V21,C,CLOSE,False,False,False,True,True,False,True,False,False,False,True,0.7943328709098004,1.0356430284318556,-0.2413101575220552,-0.1373996348703158,-0.15423501661016636,0.016835381739850552,0.04330520104229585,0.7602543350309118,0.0,0.8624736652500661,3,-0.23428470583478467
XETF900_V22,C,CLOSE,False,False,False,True,False,False,True,False,False,False,True,0.8360897907289507,1.0356430284318556,-0.1995532377029049,-0.12602241740358278,-0.15423501661016636,0.02821259920658359,0.03927890276307089,0.8038265134508512,0.0,0.5703857108056009,2,-0.23428470583478467
XETF900_V23,C,CLOSE,False,False,False,True,False,False,True,False,False,False,True,0.8263097651425815,1.0356430284318556,-0.20933326328927415,-0.13207171529470796,-0.15423501661016636,0.022163301315458406,0.040111151838146286,0.7972160740764269,100.0,0.5696968869944395,2,-0.23428470583478467
XETF900_V24,C,CLOSE,False,False,False,True,False,False,True,False,False,False,True,0.8555660767521671,1.0356430284318556,-0.1800769516796885,-0.11928118200382454,-0.15423501661016636,0.03495383460634183,0.03737272655091539,0.829647385957422,100.0,0.3767654354052996,2,-0.23428470583478467
