variant_id,portfolio_mode,check,value,status,detail
XKR001_V01,long_short,impossible_return_fail_count,0.0,PASS,
XKR001_V01,long_short,duplicate_signal_fail_count,0.0,PASS,
XKR001_V01,long_short,max_exposure_ratio,1.0,PASS,
XKR001_V01,long_short,exposure_fail_count,0.0,PASS,
XKR001_V01,long_short,entry_exit_lineage_bad_count,0.0,PASS,
XKR001_V01,long_short,no_same_day_execution,0.0,PASS,
XKR001_V01,long_short,no_filtered_row_execution,0.0,PASS,
XKR001_V01,long_short,no_implicit_leverage,0.0,PASS,
XKR001_V01,long_short,nav_nonempty,0.0,PASS,2 rows
XKR001_V01,long_short,cash_nonnegative,0.0,PASS,min_cash=0.89985
XKR001_V01,long_short,trade_count,0.0,PASS,2
XKR001_V01,long_short,corporate_action_impossible_return_rows,175.0,PASS,
XKR001_V01,long_only,impossible_return_fail_count,0.0,PASS,
XKR001_V01,long_only,duplicate_signal_fail_count,0.0,PASS,
XKR001_V01,long_only,max_exposure_ratio,1.0,PASS,
XKR001_V01,long_only,exposure_fail_count,0.0,PASS,
XKR001_V01,long_only,entry_exit_lineage_bad_count,0.0,PASS,
XKR001_V01,long_only,no_same_day_execution,0.0,PASS,
XKR001_V01,long_only,no_filtered_row_execution,0.0,PASS,
XKR001_V01,long_only,no_implicit_leverage,0.0,PASS,
XKR001_V01,long_only,nav_nonempty,0.0,PASS,2 rows
XKR001_V01,long_only,cash_nonnegative,0.0,PASS,min_cash=0.89985
XKR001_V01,long_only,trade_count,0.0,PASS,2
XKR001_V01,long_only,corporate_action_impossible_return_rows,175.0,PASS,
XKR001_V02,long_short,impossible_return_fail_count,0.0,PASS,
XKR001_V02,long_short,duplicate_signal_fail_count,0.0,PASS,
XKR001_V02,long_short,max_exposure_ratio,1.0,PASS,
XKR001_V02,long_short,exposure_fail_count,0.0,PASS,
XKR001_V02,long_short,entry_exit_lineage_bad_count,0.0,PASS,
XKR001_V02,long_short,no_same_day_execution,0.0,PASS,
XKR001_V02,long_short,no_filtered_row_execution,0.0,PASS,
XKR001_V02,long_short,no_implicit_leverage,0.0,PASS,
XKR001_V02,long_short,nav_nonempty,0.0,PASS,2 rows
XKR001_V02,long_short,cash_nonnegative,0.0,PASS,min_cash=0.89985
XKR001_V02,long_short,trade_count,0.0,PASS,2
XKR001_V02,long_short,corporate_action_impossible_return_rows,175.0,PASS,
XKR001_V02,long_only,impossible_return_fail_count,0.0,PASS,
XKR001_V02,long_only,duplicate_signal_fail_count,0.0,PASS,
XKR001_V02,long_only,max_exposure_ratio,1.0,PASS,
XKR001_V02,long_only,exposure_fail_count,0.0,PASS,
XKR001_V02,long_only,entry_exit_lineage_bad_count,0.0,PASS,
XKR001_V02,long_only,no_same_day_execution,0.0,PASS,
XKR001_V02,long_only,no_filtered_row_execution,0.0,PASS,
XKR001_V02,long_only,no_implicit_leverage,0.0,PASS,
XKR001_V02,long_only,nav_nonempty,0.0,PASS,2 rows
