variant_id,variant,signal_family,hold_days,portfolio_mode,n_signals,n_trades,gross_cagr,gross_sharpe,gross_max_drawdown,gross_calmar,gross_volatility,gross_end_nav,after_cost_cagr,after_cost_sharpe,after_cost_max_drawdown,after_cost_calmar,after_cost_volatility,after_cost_end_nav,after_tax_22pct_cagr,after_tax_22pct_sharpe,after_tax_22pct_max_drawdown,after_tax_22pct_calmar,after_tax_22pct_volatility,after_tax_22pct_end_nav,random_percentile,total_turnover,annualized_turnover,tax_paid_krw,gross_exposure_max
XKR001_V01,"Same-sector pair residual z-score, 5d hold",pair_residual,5,long_short,6583,2564,-0.025846197749417765,0.1442445165587486,-0.8926497338440689,-0.02895446754699046,0.41707652559012826,0.8038210224489813,-0.39690851130844373,-1.029544061352503,-0.9954517197126856,-0.39872201077014796,0.41854104457901103,0.014740327048458103,-0.4259761032006716,-1.113832561258578,-0.9961748601831573,-0.42761177803899947,0.42811903842101207,0.00976333236691704,0.1,2658.0,318.72439264609324,37304164.45099892,1.0
XKR001_V01,"Same-sector pair residual z-score, 5d hold",pair_residual,5,long_only,6583,3557,1.9881243893799523,1.8298257241016909,-0.9263410269951166,2.1462121739647757,0.7752485388040082,9216.884311604852,0.748520433564738,1.1188995385512082,-0.9639647106466908,0.7765019043721854,0.774782721645207,105.62113356492313,-0.0296670918010139,0.6055400821401321,-0.981268519934687,-0.030233408285622508,0.8936237191390993,0.7779035738663181,100.0,2986.0,358.0553184504268,264501561.5662286,1.0
XKR001_V02,"Same-sector pair residual z-score, 10d hold",pair_residual,10,long_short,6583,2561,-0.02437318233155439,0.24478001738946203,-0.9101768102472897,-0.0267785138636221,0.5805537685783916,0.814013733556765,-0.39536035403779524,-0.5984632187541318,-0.9968288394822536,-0.39661809367708784,0.5812403700222883,0.01505887351837805,-0.4528947196620161,-0.7325831368568969,-0.9979110627231463,-0.45384276873946644,0.5980585942410824,0.006540998155898587,0.0,2652.0,318.00492449113597,73296048.74636252,1.0
XKR001_V02,"Same-sector pair residual z-score, 10d hold",pair_residual,10,long_only,6583,3554,3.70408227683172,2.0116606097800167,-0.992512286625218,3.7320266224879655,1.0670280675231947,405602.0415697389,1.7578008780191636,1.4970334652397386,-0.9969890885272099,1.7631094444733129,1.0660691195435648,4721.407504212351,,0.8170057351881156,-10.911054035138944,,1.2884133114339167,-14.693128080359152,100.0,2980.0,357.33585029546947,441107924.92160666,1.0
XKR001_V03,"Market beta residual z-score, 5d hold",market_beta_residual,5,long_short,18680,5465,,1.1566224338790463,-1.0385330215151847,,0.8981638957663618,-9.670376460579433,,0.44912505162054406,-1.0279426910160556,,0.8979547849630685,-0.05893382227191167,,0.1143244984188977,-1.0102788703997267,,0.9705301735309391,-0.0021256004764851084,100.0,3440.0,412.4950755088641,237351112.6816709,1.0
XKR001_V03,"Market beta residual z-score, 5d hold",market_beta_residual,5,long_only,8395,1272,-0.2791416181362064,0.26618815525804845,-0.9994306235475151,-0.27930064534683074,1.1093103296770381,0.06524400379001209,-0.4753213047527701,-0.024254585023717648,-0.9999090576529378,-0.4753645355193404,1.1098935850940388,0.004613739606807064,-0.5795429987247083,-0.16482932180192159,-0.9999162045512526,-0.5795915658600597,1.1413620528603907,0.000727827791212144,60.8,1744.0,209.12541037426135,130887105.59233662,1.0
XKR001_V04,"Market beta residual z-score, 10d hold",market_beta_residual,10,long_short,18680,5453,0.2223116523584192,0.8185784918553561,-0.9985566593723555,0.22263298759446817,1.0022002125967606,5.334003806087113,-0.3433896506996379,0.18483247521009538,-0.9998754375609676,-0.3434324294806968,1.0020236856440217,0.029952905028318894,-0.6247543201116481,-0.13023026638070725,-0.9999902926928352,-0.6247603848526082,1.0977847641690168,0.0002818438460486114,100.0,3438.0,412.255252790545,266443857.6746921,1.0
XKR001_V04,"Market beta residual z-score, 10d hold",market_beta_residual,10,long_only,8395,1271,-0.6898847507228685,-0.20288962330714044,-0.9999999325145038,-0.6898847972800863,1.3540275112623668,5.7485774204990755e-05,-0.7746506504667854,-0.4402986639557272,-0.9999999907538171,-0.774650657629347,1.3544650641057794,4.010046377768846e-06,-0.8519405214357714,-0.583128676442972,-0.9999999907538171,-0.8519405293129694,1.4085019957005425,1.2074195785274779e-07,0.0,1741.0,208.7656762967827,182653196.49786586,1.0
XKR001_V05,"Sector beta residual z-score, 5d hold",sector_beta_residual,5,long_short,18680,5244,1.9220077498658807,1.8394796122539758,-0.9028470889125557,2.128829758072172,0.796562110338551,7647.979276447189,0.5635429099026863,1.0324936930309139,-0.9511629743579102,0.5924777615351462,0.7960898111280231,41.56975383043353,-0.14455953493869822,0.4816720733342924,-0.9818435316593106,-0.14723276191919638,0.9190753918991171,0.2719550914684342,100.0,3482.0,417.5313525935654,307926864.2682493,1.0
XKR001_V05,"Sector beta residual z-score, 5d hold",sector_beta_residual,5,long_only,8297,1217,-0.29073292739465195,0.1311448473285111,-0.999891870885428,-0.29076436748825757,1.004753457600268,0.05699401912938054,-0.48614312856232533,-0.195316122221742,-0.9999799644838957,-0.48615286888595904,1.005288559999593,0.0038776637228720608,-0.5811673149254679,-0.3655796986267292,-0.999988273207719,-0.5811741302337723,1.02820742491123,0.0007047089025637658,21.6,1776.0,212.96257386736704,145771570.8802101,1.0
XKR001_V06,"Sector beta residual z-score, 10d hold",sector_beta_residual,10,long_short,18680,5227,2.0082638700326023,1.745618985263274,-0.979985905239982,2.049278320529327,0.9165452676423473,9747.933758796513,0.6102761244774346,1.0450383481848096,-0.9902456242781761,0.6162876255295606,0.915938655385992,53.14276592053654,-0.41897760447242083,0.4587597049323265,-1.771810727324483,-0.23646860130771225,1.0892413337513287,0.01080159760692324,100.0,3479.0,417.1716185160867,371439110.54201597,1.0
XKR001_V06,"Sector beta residual z-score, 10d hold",sector_beta_residual,10,long_only,8297,1216,-0.7005904717448617,-0.29047668881618854,-0.9999999921085586,-0.7005904772735303,1.3347732805101018,4.2886491492570325e-05,-0.7836720868142909,-0.5357635189721108,-0.9999999986828924,-0.7836720878464714,1.3357629790388772,2.8521707694779033e-06,,-0.6847376236788417,-1.000000014065797,,1.3803551003143597,-2.962505116741268e-08,0.0,1775.0,212.8426625082075,186354873.80322045,1.0
